ParlaMint-GB_2018-05-21-commons.u1	1. What steps she is taking to implement the 2017 Budget changes to universal credit.
ParlaMint-GB_2018-05-21-commons.u2	I would like to start by thanking my hon. Friend for his support in securing the Budget changes. We have increased advances, so claimants can receive up to 100% of their entitlement within days of a claim. We have removed waiting days, so the time to the first full payment is reduced, and we have given claimants an additional two weeks of housing benefit to provide extra support when they transition to universal credit.
ParlaMint-GB_2018-05-21-commons.u3	I campaigned hard for those changes, along with Members on both sides of the House, and I am delighted that the Government listened and delivered. Does the Secretary of State have any information or feedback on how those changes are helping claimants on the ground?
ParlaMint-GB_2018-05-21-commons.u4	People are moving on to universal credit now with a smoother transition. When on universal credit, they are getting into work quicker, staying in work longer and looking for more opportunities in work. They are also getting more personalised support through the claimant commitment, which is helping them whether they are in debt or need IT support. This is about developing universal credit to respond to people’s needs.
ParlaMint-GB_2018-05-21-commons.u5	The modest changes in the Budget were welcome, but I wonder whether the Secretary of State has seen the recent research showing that food bank demand is growing much faster in areas where universal credit has been fully rolled out than it is elsewhere. Does she have substantial proposals to solve the very serious problems with this new benefit?
ParlaMint-GB_2018-05-21-commons.u6	They were not modest changes; they were quite significant changes, made after listening to what people said on the ground and meeting various action groups on the ground to see what was needed. We listened and we changed, and that is why we have done a very slow roll-out. I meet some of the poverty action groups across the country on a weekly basis to ask what else can be done. All have welcomed the changes we have put in place and the record number of people we have now got into employment, but of course where we need to give debt support or advances, we will continue to do so.
ParlaMint-GB_2018-05-21-commons.u7	With universal credit being fully rolled out in Erewash, can my right hon. Friend state how universal credit can impact the claimant count numbers and what can be done to explain like for like?
ParlaMint-GB_2018-05-21-commons.u8	My hon. Friend asks a pertinent question. Employment is going up and unemployment is going down, which is reflected in the numbers, but because this is a brand new benefit that takes on people in work and people out of work, we are seeing the number of people claiming double. We are now giving support and career progression to people in work, so we will see the claimant count increase and, in some areas, double.
ParlaMint-GB_2018-05-21-commons.u9	Increased debt, job insecurity, rising stress, housing insecurity and unpredictability of income are all highlighted by Gingerbread as issues raised by single parents in receipt of universal credit, and it states that the Government need to go further. How does the Secretary of State plan to address those problems and the estimated 165,000 single parents of pre-school-age children who are highlighted by Gingerbread’s report as being at risk of poverty and debt from new universal credit conditionality?
ParlaMint-GB_2018-05-21-commons.u10	As it is a brand new benefit, we are providing extra childcare support, which is needed by people with children and lone parents. We are also giving tailored support. The claimant commitment and the one-to-one relationship that people have with their work coach is about really understanding the needs of the individual. That is what we are doing to help people to get into a job, get a career and fulfil their job ambitions.
ParlaMint-GB_2018-05-21-commons.u11	The Department for Work and Pensions has been forced recently to reveal that a fifth of universal credit claims are being turned down because claimants are not managing to negotiate the complex application process, meaning that thousands of people are falling out of the system. Claims must be made and managed online, even though, according to an OECD study, 40% of unemployed adults in England have low basic skills. Meanwhile, one in 10 jobcentres are being closed, removing face-to-face support from communities, and the Government are speeding up the roll-out of the full service yet again. What action are the Government taking to identify the factors leading to such a high level of failure?
ParlaMint-GB_2018-05-21-commons.u12	Obviously, this benefit is not failing. That is why we are seeing extra support and why we are seeing record numbers of people in employment and record low unemployment. However, the hon. Lady is right to talk about the low IT skills that people have. Part of the universal support we are giving is to educate and to enable people because the IT skills they need to claim a benefit are the same IT skills they need to get a job and to get cheaper deals online. That is what we are providing. Again, if they are in debt, we are providing that personalised support. As we close some of the jobcentres, most important is the outreach work that we do. As we seek to help more people and some of the most difficult to help into work, we are doing outreach work through the flexible support fund.
ParlaMint-GB_2018-05-21-commons.u13	2. What estimate she has made of the number of families affected by the two-child limit for child tax credits and universal credit since April 2017.
ParlaMint-GB_2018-05-21-commons.u14	The aim of the two-child limit is to strike the right balance between support for claimants and fairness to taxpayers who support themselves solely through work. The policy has been in effect only since April 2017 and statistics relating to its implementation will be published in due course.
ParlaMint-GB_2018-05-21-commons.u15	The High Court recently found that the ordering restriction on the two-child limit for children in kinship care was unlawful. When are the Government going to introduce regulations to make sure that the law is in line with the Court judgment?
ParlaMint-GB_2018-05-21-commons.u16	We welcome the High Court ruling, which showed that the policy is lawful. However, the hon. Lady is absolutely right: in terms of kinship carers, we are going to be making those changes. This will have to come about through regulations in Parliament and we will bring those forward shortly. I would point out that, as the Secretary of State made clear in her written statement, we will be making changes to include not just those in kinship arrangements, but children who are adopted and would otherwise be in local authority care.
ParlaMint-GB_2018-05-21-commons.u17	Does my hon. Friend agree that it is completely right that in our country someone should be able to have as many children as they want as long as they can support them, but it should not be that the taxpayer has to subsidise them?
ParlaMint-GB_2018-05-21-commons.u18	As I said in response to the hon. Member for Blaydon (Liz Twist), the aim of this policy is to strike the right balance between support for claimants and fairness to taxpayers, but of course we do have exceptions in place, quite rightly.
ParlaMint-GB_2018-05-21-commons.u19	When the Government came up with their two-child policy, did they seek any guidance or advice from China about its one-child policy?
ParlaMint-GB_2018-05-21-commons.u20	I will just report that we have exceptions in place and of course this policy is ultimately about being fair both to claimants and to taxpayers.
ParlaMint-GB_2018-05-21-commons.u21	3. What recent assessment the Government have made of trends in youth employment.
ParlaMint-GB_2018-05-21-commons.u22	Youth employment has risen by 150,000 since 2010 and now stands at 3.86 million. The UK has the third highest youth employment in the G7 and the proportion of all 16 to 24-year-olds in work or full-time education now stands at 85%.
ParlaMint-GB_2018-05-21-commons.u23	Youth unemployment has fallen by 43% since 2010. Will the Secretary of State join me in welcoming the work in Moray during Meaningful May, when 93 students have taken part in work placements, taking the total for this year to 330? Will she praise the 186 employers who have facilitated these projects and explain what further the Department is doing to get more young people into work?
ParlaMint-GB_2018-05-21-commons.u24	I will indeed welcome the work that is being done in Moray not only by all the work coaches and the businesses there, but by my hon. Friend, who does so much in his local area. On top of that, Scotland has a different system in place, with the youth obligation traineeships supporting work experience, supporting sector-based work academies through Skills Development Scotland, and supporting and getting people excited about going into a job—excited about what they can do and what they can offer Scotland and the world.
ParlaMint-GB_2018-05-21-commons.u25	Will the Secretary of State commit to raising the minimum wage for young people so that they are not subject to lower rates of pay, and to enacting a real living wage, as Labour will, so that this Government’s promise of making work pay is not an empty one?
ParlaMint-GB_2018-05-21-commons.u26	Obviously, the hon. Lady will know that we have increased the living wage so that the lowest-paid workers have had the fastest wage increase in 20 years. That is what we are doing. What we will do—we are keeping this under constant review—is give support to young people. First and foremost, there are the apprenticeships, the traineeships, the work experience and the education we can give them, all of which are at record highs.
ParlaMint-GB_2018-05-21-commons.u27	15. The all-party parliamentary group for youth employment, together with some other APPGs, are hearing evidence as to how the hospitality industry can help to boost employment for young people, as well as be a career option. Once the report is written, will the Secretary of State, or perhaps one of her Ministers, accept an invitation to hear from the group?
ParlaMint-GB_2018-05-21-commons.u28	I thank my hon. Friend for the work he does on the APPG. I know how important youth employment rates are to him and the group. It will either be me or one of my colleagues—perhaps we will all be there at the APPG once the work has been completed. We are putting the right building blocks in place for young people. It is about education. It is about that work experience. Many young people have never had work experience, so they do not have the soft skills. That is what we are trying to put in place and we would be delighted to go to the APPG.
ParlaMint-GB_2018-05-21-commons.u29	The Tory party launched yet another policy group this morning. Is it not about time that these groups were given some serious work about how we really tackle youth unemployment, how we get more kids into real apprenticeships, and how we tackle child poverty, which is not going down?
ParlaMint-GB_2018-05-21-commons.u30	I might not have said it enough today, so I will put it on the record again: youth unemployment is down 43% since 2010. The number of children not in education, employment or training is down 370,000 since 2010. That is what we are doing. We are providing the building blocks to support young people and to get them into a job, living independently. That is what a Conservative Government does—watch and learn!
ParlaMint-GB_2018-05-21-commons.u31	4. What assessment her Department has made of recent trends in the average level of household debt of people receiving universal credit.
ParlaMint-GB_2018-05-21-commons.u32	The Government have taken a number of steps to prevent problem debt, such as capping payday lending costs. We also have interest-free advances within universal credit, and a system of priority deductions to help claimants who are in arrears.
ParlaMint-GB_2018-05-21-commons.u33	A recent Trussell Trust survey found that 70% of respondents were in debt as a result of the initial universal credit wait and more than half had experienced problems with their housing linked to debts and arrears. Advance payments simply stack up more debt, and food banks in areas where universal credit has been fully rolled out for more than a year have seen an average increase in need of 52%. The Secretary of State has it within her power to make further changes to universal credit to stop this avoidable hardship and distress now. Why will she not do so?
ParlaMint-GB_2018-05-21-commons.u34	As the hon. Lady will know, a report that was published last year by the National Federation of ALMOs found that more than three quarters of tenants who started claiming universal credit were already in rent arrears. Other research shows that after four months on universal credit the number of claimants in arrears fell by a third. The key point is to make sure that we get help to individuals and that is precisely what the budget changes the Secretary of State has outlined do.
ParlaMint-GB_2018-05-21-commons.u35	Could the Minister confirm whether, under universal credit, claimants are more likely to be in work within six months than they were under jobseeker’s allowance?
ParlaMint-GB_2018-05-21-commons.u36	Yes, I can absolutely confirm that under universal credit claimants can get into work faster and stay in work longer than under the legacy system.
ParlaMint-GB_2018-05-21-commons.u37	5. What assessment she has made of the effect of the roll-out of universal credit on the number of evictions in the private rented sector.
ParlaMint-GB_2018-05-21-commons.u38	Housing benefit has been paid direct to tenants since 2008. Universal credit replicates that so we would not expect to see a change in landlord behaviour.
ParlaMint-GB_2018-05-21-commons.u39	I am very disappointed with that answer because, having had meetings with a number of residents associations and landlords, I already know that the private sector is fairly loth to let houses to people on housing benefit. The same applies to universal credit, the reason being that the payment goes direct to the tenant. I urge the Government to at least have a default, if both sides agree, for the payments to be made to the landlord.
ParlaMint-GB_2018-05-21-commons.u40	It is deeply disappointing when Members of this House trade their principles for perceived political advantage, as the hon. Gentleman seems to have done on universal credit, having of course previously been a strong supporter of the coalition Government’s reforms. He knows full well that direct payments to landlords are available. I have myself met the two most prominent residential landlord organisations very recently and, if he looked at the data, he would see that the proportion of working-age recipients of housing benefit and universal credit in the private rented sector seeking support has not really changed over the past 10 years.
ParlaMint-GB_2018-05-21-commons.u41	It is reported that the Law Centres Network says cases are now common in which eviction proceedings come to court after the Department for Work and Pensions has failed to pay rent directly to the landlords of universal credit claimants, even though it says on a claimant’s journal account that a direct rent payment has been made. What action is DWP taking to address this issue as a matter of urgency?
ParlaMint-GB_2018-05-21-commons.u42	As the hon. Lady will know, we have taken significant action to try to improve the situation upfront, not least by providing an additional two weeks of housing benefit for people transitioning to universal credit. People can receive a 100% advance and help with budgeting support, and of course a direct payment is available if landlord or tenant require it.
ParlaMint-GB_2018-05-21-commons.u43	6. What progress her Department has made on processing back-payments for personal independence payment claims.
ParlaMint-GB_2018-05-21-commons.u44	We understand the urgency of this matter and we remain on track to begin making the first payments in the summer. The exercise to identify claimants affected by the MH judgment will start as soon as we have made the changes to the guidance needed to implement the judgment. We are engaging with stakeholders to update the guidance and once guidance has been finalised I will further update the House.
ParlaMint-GB_2018-05-21-commons.u45	Four months without even an update to Members of Parliament does not sound like the matter is being treated urgently by the Government. In January, when the Government were dragged here by an urgent question to give a statement on the court case they lost, the Secretary of State assured the House that, if I wanted to contact her to arrange a meeting to discuss a particular constituency case, her door was open and she would meet me. Six weeks after I wrote to ask for such a meeting, I got a letter back from a junior Minister saying the Secretary of State was not available to meet me. Will she apologise for breaking the promise she made to me and will she apologise on behalf of my constituents, and the constituents of other Members, who still do not know what the Government are doing to sort out this mess?
