ParlaMint-GB_2018-06-13-commons.u1	1. What progress is being made on the roll-out of universal credit in Wales.
ParlaMint-GB_2018-06-13-commons.u2	5. What progress has been made on the roll-out of universal credit in Wales.
ParlaMint-GB_2018-06-13-commons.u3	8. What progress is being made on the roll-out of universal credit in Wales.
ParlaMint-GB_2018-06-13-commons.u4	Universal credit is already operating in 15 jobcentres across Wales, with a further nine scheduled for roll-out this month. The number of people receiving universal credit in Wales is now over 40,000, and 36% of them are in employment. Wales’s jobcentres are in the latter part of the roll-out schedule and will be fully in place by December this year.
ParlaMint-GB_2018-06-13-commons.u5	My constituent suffers from Huntington’s and early onset dementia. As a result of a 10-week delay to receive universal credit, her rent arrears went up £1,000. A couple of weeks ago, she attempted suicide. Thankfully, I managed to help her on this, but there may be other cases in Wales just like it. Will the Secretary of State work with his colleagues and revise this damaging policy?
ParlaMint-GB_2018-06-13-commons.u6	I obviously cannot comment on the individual case, but I am sorry that the hon. Lady’s constituent was in that position. We have tried to do everything we can to ensure that the roll-out has been as smooth and as slow as possible, and where we have had issues such as those that she raised, we have made changes. That is why my right hon. Friend the Chancellor made the announcement in the Budget about the changes—we want to deal with the housing issues that she raises.
ParlaMint-GB_2018-06-13-commons.u7	The IPPR, Shelter Cymru, the National Assembly’s Equality, Local Government and Communities Committee, the Bevan Foundation and the Trussell Trust all argue that Wales should have the same powers that the Scottish Government have been using so effectively to mitigate this Government’s horrendous social security cuts. Why will the Conservative Government here and the Labour Government in Cardiff not make it happen?
ParlaMint-GB_2018-06-13-commons.u8	My understanding is that there has never really been consensus on devolving this to Wales. I also point out that the Scottish Government have many of these powers and are yet to use them.
ParlaMint-GB_2018-06-13-commons.u9	In Scotland, the transfer from disability living allowance to personal independence payment has resulted in a total of more than £56 million being lost in annual payments. In my constituency, the total loss to people with disabilities is over £2 million a year, so what assessment has the Secretary of State made of a similar impact on disabled people in Wales?
ParlaMint-GB_2018-06-13-commons.u10	The reason we have introduced PIP is to make sure that people who are living with disabilities are able to have as independent a life as possible. The problem with the old system of DLA is that people were given the payment and their needs were never reassessed. That is the reason why with PIP, we are making regular assessments, so that as those conditions may deteriorate, they will get more support. I also point out that more people are getting the higher rate of PIP than they did of DLA.
ParlaMint-GB_2018-06-13-commons.u11	Will the Minister reflect on the fact that it is welcome that the Secretary of State for Work and Pensions has put measures in place to make sure that there is no delay in people getting universal credit, and that it is worth reminding people that universal credit means that it always pays to take a job, and that people are better off as they move up the income scale in work? Those are the important benefits of the policy that people need to be reminded of every day of the week.
ParlaMint-GB_2018-06-13-commons.u12	My right hon. Friend is absolutely right. People who are on universal credit are spending 50% more time looking for a job than they did on jobseeker’s allowance. They are getting into work quicker and when they are staying in work, they are staying there longer. The figures are quite staggering: 86% of people on universal credit are looking to increase their hours, because they can do so, compared with just 38% on JSA.
ParlaMint-GB_2018-06-13-commons.u13	The Department for Work and Pensions’ own figures show that 44% of universal credit claimants have seen their arrears rise by the time that they are nine months into their claim. Many of these claimants are vulnerable because they have issues with mental ill health, literacy and using computers, or they may have experienced domestic violence and recent bereavement. Whatever the reason, nearly half of them are suffering financially as a result of universal credit. Will the Minister and his team meet Opposition Members and advice agencies from Wales to discuss these issues and to see how we can improve this dreadful situation?
ParlaMint-GB_2018-06-13-commons.u14	There are a number of reasons why people who come to universal credit have arrears—I presume that the hon. Gentleman is talking about housing costs arrears and rent arrears. Some of those people had arrears when they were on JSA. That said, we have listened very carefully. That is why in the Budget we made provision that from now on, people who are going on to universal credit will have two weeks’ extra payment to address that need.
ParlaMint-GB_2018-06-13-commons.u15	2. What recent discussions he has had with the Secretary of State for Business, Energy and Industrial Strategy on the Swansea Bay tidal lagoon.
ParlaMint-GB_2018-06-13-commons.u16	I have regular discussions with Ministers at the Department for Business, Energy and Industrial Strategy on energy matters pertaining to Wales. A statement on the proposals for the Swansea Bay tidal lagoon will be made in due course.
ParlaMint-GB_2018-06-13-commons.u17	The Swansea Bay tidal lagoon is vital to Britain’s future energy supplies and is the first of many major schemes to harness the vast marine energy resources around our shores to generate electricity and switch the country to renewables, to reduce and prevent climate change. That is now urgent. Given that, among other things, the Welsh Government have offered to help pay for it, when are the Government going to stop dithering and make the scheme happen?
ParlaMint-GB_2018-06-13-commons.u18	I would really like the tidal lagoon to go ahead, but of course it must prove to be value for money. Tidal projects could have a positive energy potential, but of course they must deliver value for money for the taxpayer. A number of proposals have been made, and I am not sure whether the hon. Gentleman is supportive of just the project he mentions or marine and tidal projects in general.
ParlaMint-GB_2018-06-13-commons.u19	The Secretary of State is fast becoming the grim reaper of Welsh politics—the bearer of bad news. When he pulls the plug on the lagoon there will be huge public anger in Wales. Many people back in the motherland will be left asking not only what the point of the current Secretary of State is, but what the point of having a colonial Secretary at all is.
ParlaMint-GB_2018-06-13-commons.u20	I am disappointed with the tone the hon. Gentleman takes. I would hope that he would recognise the fair funding settlement that we got for Wales—something that the Labour party ignored for 13 years; the Severn tolls announcement; and the city and growth deals that we have got. For Swansea there is a £1.3 billion scheme, and the Cardiff scheme is the biggest in the UK. I hope that demonstrates the value that a Secretary of State for Wales can bring.
ParlaMint-GB_2018-06-13-commons.u21	Electrification—we have not had it. Tidal lagoon—if the Financial Times is to be believed, we are not going to have it. When is the Secretary of State going to start speaking up for the people of Wales?
ParlaMint-GB_2018-06-13-commons.u22	No announcement has been made on the tidal lagoon because we are still looking at the numbers. We are doing anything and everything possible to try to make this fit. The hon. Lady should not want it to go ahead if it is not good value for money for the taxpayer. She will be well aware that Tata is an energy-intensive industrial site right next door to the site for the proposed tidal lagoon. I do not think she or any other Member would want to increase energy prices in a way that could put those jobs at risk.
ParlaMint-GB_2018-06-13-commons.u23	Will the Secretary of State point out to the Business Secretary that once nuclear energy commands 12% of global output, we will run out of uranium in 10 years and the price will go up, as will the price of fossil fuels, because we cannot use 80% of them if we are to fulfil the Paris agreement, whereas the price of energy from the lagoon will go down over 100 years? Will the Secretary of State point that out, rather than just sit there doing nothing?
ParlaMint-GB_2018-06-13-commons.u24	I am glad the hon. Gentleman mentions the Wylfa project, because it is a great demonstration of the Government being prepared to look at the financial model and adjust it in order to make projects happen. It will be the biggest infrastructure project in Wales for well over 30 years, and it provides fantastic prospects. I hope that tidal and marine energy could offer the same, but we should want a scheme only if it is good value for money.
ParlaMint-GB_2018-06-13-commons.u25	When the people of Wales and the Welsh Labour Government can see the merit of the Swansea Bay tidal lagoon to the extent that they are prepared to invest more than £200 million to achieve the benefits in jobs, growth and cheap, clean renewable power, why will the Secretary of State’s UK Tory Government not even go as far as to sign the same deal they have already concluded with the French and Chinese Government to pay £92.50 per megawatt-hour for nuclear electricity that will be produced at Hinkley C for the next 35 years?
ParlaMint-GB_2018-06-13-commons.u26	The hon. Lady raises an important point, because she talks about projects that are value for money. Of course £92.50 was rightly highlighted as extremely expensive at the time, and we said that that would be the highest we would pay for such energy projects. We have already said that the tidal lagoon, under the current proposals, would be twice the price of nuclear, so clearly we would not want to be in that position. I should add that I really want this project to happen if it is good value for money for the taxpayer, and my record is strong. I was the one who took Tidal Lagoon Power to meet the special advisers at No. 10 at the very beginning of this process in 2012, and it was from that moment on that the project was taken seriously.
ParlaMint-GB_2018-06-13-commons.u27	The whole of Wales is waiting for this decision, because the tidal lagoon project is not just about Swansea. If the Secretary of State’s UK Tory Government accept Carwyn Jones’s kind offer, tidal lagoons for Cardiff, Colwyn Bay and Newport will quickly become real prospects. They could bring jobs and prosperity to the whole of Wales and boost our vital steel industry. This is about the development of technological innovation and bringing it to the point of full commercial productivity. That is what we do in Wales, in stark contrast to the way the Government have proceeded. Were the Government to participate in a general election in the next few months, what exactly would the Secretary of State be able to claim as the industrial or infrastructure achievement that they have delivered for the people of Wales?
ParlaMint-GB_2018-06-13-commons.u28	I sometimes wonder whether the hon. Lady’s questions are more in the manner of an academic thesis. I trust that they will be published, because they are in Hansard.
ParlaMint-GB_2018-06-13-commons.u29	The hon. Lady referred to the Welsh Government’s commitment of £200 million, but that is merely a small fraction of the cost of the proposal. We are working with the Welsh Government: we have shared our financial analysis of the project and they have not rejected or pushed back on the sharing of that data. That demonstrates the collaborative approach to the project that we want to take. I point out to the hon. Lady that the city and growth deals throughout every part of Wales are a good demonstration of the industrial strategy and of how the UK Government are committed to development and growth in Wales.
ParlaMint-GB_2018-06-13-commons.u30	I call Michael Fabricant.
ParlaMint-GB_2018-06-13-commons.u31	Diolch yn fawr, Mr Speaker.
ParlaMint-GB_2018-06-13-commons.u32	Very good—well done!
ParlaMint-GB_2018-06-13-commons.u33	3. What recent discussions he has had with the Secretaries of State for (a) Digital, Culture, Media and Sport and (b) Environment, Food and Rural Affairs on promoting Wales as a tourist destination; and if he will make a statement.
ParlaMint-GB_2018-06-13-commons.u34	I have regular discussions with my right hon. Friend the Secretary of State for Digital, Culture, Media and Sport, including about how we work together to promote Wales across the globe. Along with the Minister responsible for tourism, my hon. Friend the Member for Northampton North (Michael Ellis), I recently met key figures from our tourism sector to discuss the industry in Wales and the important role that the UK Government and VisitBritain have to play.
ParlaMint-GB_2018-06-13-commons.u35	Whether it be the beautiful beaches of the Gower peninsula, on which I entice my hon. Friend to join me one day, the Clink restaurant in Cardiff prison, or whitewater rafting—I could go on and on—
ParlaMint-GB_2018-06-13-commons.u36	But you won’t.
