ParlaMint-GB_2018-07-23-lords.u1	Q1. If she will list her official engagements for Wednesday 27 February.
ParlaMint-GB_2018-07-23-lords.u2	May I first say that the UK is deeply concerned about rising tensions between India and Pakistan and urgently calls for restraint on both sides to avoid further escalation? We are in regular contact with both countries urging dialogue and diplomatic solutions to ensure regional stability. We are working closely with international partners, including through the UN Security Council, to de-escalate tensions and are monitoring developments closely and considering implications for British nationals. Mr Speaker, I understand that Eve Griffith-Okai in your office retires at the end of the week. She has worked for four Speakers and I am sure that the whole House will want to join me in wishing her the very best for the future This morning I had meetings with ministerial colleagues and others. In addition to my duties in this House, I shall have further such meetings later today.
ParlaMint-GB_2018-07-23-lords.u3	I thank the Prime Minister for her initial response. In the face of her total failure to secure the agreement of this House, when will the Prime Minister call time on this farce, extend article 50 and put her deal versus remain back to the people?
ParlaMint-GB_2018-07-23-lords.u4	First, I made a statement and answered 82 questions on these issues in the House yesterday. We will be bringing the meaningful vote back by 12 March. As I said yesterday, if that meaningful vote is rejected again by the House, we would have a vote in this House on 13 March on whether the House accepts leaving without a deal on 29 March. If the House rejects leaving without a deal on 29 March, there would be a vote on a short, limited extension to article 50. On the hon. Gentleman’s final point, I continue to believe that it is right for us to deliver on the result of the referendum that took place in 2016.
ParlaMint-GB_2018-07-23-lords.u5	Q2. The 2017 Birmingham bin strike led to mass fly-tipping across the borough border in my beautiful town of Solihull. With the threat of another strike ever present, will the Prime Minister join me in urging Birmingham City Council to do what often seems to be beyond it—namely, to be a good neighbour and sort out these strikes, which seem to be just a taster of what would happen under a hard-left Labour Government?
ParlaMint-GB_2018-07-23-lords.u6	Obviously, this is a matter for Labour-controlled Birmingham City Council to resolve: rubbish piling up on the streets because of the failure of the Labour council to get a grip. Not only does it show what a hard-left Labour Government would be like; it shows all of us that, under Labour councils, you pay more and get less.
ParlaMint-GB_2018-07-23-lords.u7	There is an urgent question coming up on Kashmir, but I will just say that from our side of the House we strongly support rapid dialogue between India and Pakistan in order to reduce the tension and deal with the root causes of the conflict before more lives are lost I also join the Prime Minister in wishing Eve a very happy retirement, Mr Speaker. She has been absolutely brilliant in your office over the many years of people rushing in and out and making totally unreasonable demands. She has always sorted it out. Could you pass on to her the thanks of lots and lots of Back Benchers over many years The Bank of England forecasts that growth for this year will be the slowest in over a decade. Does the Prime Minister blame her shambolic handling of Brexit or her failed austerity policies for this damaging failure?
ParlaMint-GB_2018-07-23-lords.u8	First, I think the right hon. Gentleman should have seen the report that actually showed the expectation that in this country over the coming year we will have higher growth than Germany. He talks about the economy, so let us just say what we see in the economy under a Conservative Government: more people in work than ever before; unemployment at its lowest level since the 1970s; borrowing this year at its lowest level for 17 years; and the largest monthly surplus on record. Conservatives delivering more jobs, healthier finances and an economy fit for the future.
ParlaMint-GB_2018-07-23-lords.u9	I know that the Prime Minister is very busy—I understand that—and she possibly has not had a chance to look at the Bank of England forecasts, which suggest that there is a one in four chance of the UK economy dipping into recession. Manufacturing is already in recession, car manufacturing has declined at the steepest rate for a decade—down 5% in the past quarter alone—and Honda, Jaguar Land Rover and Nissan have announced cuts to either jobs or investment in recent months. Does she blame her shambolic Brexit or her Government’s lack of an industrial strategy for this very sad state of affairs?
ParlaMint-GB_2018-07-23-lords.u10	I have just explained to the right hon. Gentleman the positives in the economy and the consistent quarter-by-quarter growth that we have seen under this Government. What do we know would be the worst thing for the economy in this country? It would be a run on the pound, capital flight and £1,000 billion of borrowing under a Labour Government.
ParlaMint-GB_2018-07-23-lords.u11	As manufacturing industry declines, it is skilled well-paid jobs that are lost. But the Prime Minister is right—there is something that is increasing, and that is the income of the top fifth richest people in this country, which went up by 4.7% last year while the incomes of the poorest fell by 1.6%. With the poorest people worse off, will the Prime Minister now commit to ending the benefit freeze, or does she believe that rising poverty is a price worth paying?
