ParlaMint-GB_2018-10-22-commons.u1	1. What steps he is taking to improve veterans’ access to support services.
ParlaMint-GB_2018-10-22-commons.u2	13. What steps he is taking to improve veterans’ access to support services.
ParlaMint-GB_2018-10-22-commons.u3	I recently made a series of announcements on new schemes and initiatives designed to support serving personnel and their families throughout their military careers and beyond. Those include a further package to support armed forces personnel as they enter civilian life, a veterans ID card and a new fund dedicated to supporting the careers of the spouses and civil partners of those who serve.
ParlaMint-GB_2018-10-22-commons.u4	I am sure we all agree that more could be done to help veterans when they return to civvy street. Steps have already been taken to improve co-ordination and co-operation between Government Departments on the provision of services for veterans, but what more can be done to improve co-ordination between Departments and local authorities?
ParlaMint-GB_2018-10-22-commons.u5	My hon. Friend makes a valuable point. The armed forces covenant, which I know his local authorities are members of, plays a vital role in ensuring that armed forces service personnel and those who have served are able to plug into health services, help with finding a home or any other support that it is so vital for local authorities to provide.
ParlaMint-GB_2018-10-22-commons.u6	Would the Secretary of State consider visiting the Heyford and Bicester veterans’ group, which meets once a month on Fridays in my constituency and provides a one-stop-shop for veterans and their families, where they can access all the services that they need?
ParlaMint-GB_2018-10-22-commons.u7	I was hoping that I would get such an invite in the near future, and one has just come along. I would be delighted to visit the group. I know that my hon. Friend does so much work there and is so supportive of them, and I look forward to seeing that at first hand.
ParlaMint-GB_2018-10-22-commons.u8	Many veterans who have come to my constituency surgeries are being subjected to unnecessary face-to-face medical assessments in order to access social security benefits. Will the Secretary of State speak to his ministerial colleagues at the Department for Work and Pensions, to stop that happening?
ParlaMint-GB_2018-10-22-commons.u9	I would be delighted to do that.
ParlaMint-GB_2018-10-22-commons.u10	As we approach Remembrance Week, we pay tribute to all those veterans who have served Queen and country, as well as those personnel still serving Many of the support services that veterans rely on are delivered by local authorities, but councils across the country have faced deep cuts in recent years, with the Local Government Association estimating that in England alone they will face a funding gap of £7.8 billion by 2025. There is a similar picture in devolved nations, due to cuts to the block grant. Bearing in mind the vital role that local authorities play in supporting our veterans, will the Secretary of State join me in urging the Chancellor to rule out any further cuts to local authorities in his Budget next week?
ParlaMint-GB_2018-10-22-commons.u11	It is very important that all parts of government, whether local or national, play a role in delivering the very best services for our armed forces. The introduction of a veterans ID card will hopefully go a long way towards helping former service personnel to access the vital services provided by local authorities. That will be an important step forward.
ParlaMint-GB_2018-10-22-commons.u12	19. I welcome what the Secretary of State says about supporting veterans. My constituent, Lieutenant Colonel L.T., served with distinction for almost 30 years. Ever so typically for a man of his standing, he is more concerned about the investigations into the men he served with in Northern Ireland than where investigations may lead for himself. Does my right hon. Friend agree that those veterans also deserve our support?
