ParlaMint-GB_2018-10-22-lords.u1	To ask Her Majesty’s Government what steps they are taking to reduce youth crime in London.
ParlaMint-GB_2018-10-22-lords.u2	My Lords, the Serious Violence Strategy sets out our response to tackling serious violence, including recent increases in knife crime, gun crime and homicide. The strategy emphasises early intervention and prevention to stop young people getting involved in violence in the first place. On 2 October, the Home Secretary announced further measures, including a £200 million youth endowment fund that will support children and young people to prevent their involvement in violence and crime.
ParlaMint-GB_2018-10-22-lords.u3	I thank the Minister for that response. The alarming rise in knife crime and the number of deaths by stabbing of young people in London prompted me to put this Question down, on behalf of those of us who have boys and are terrified about whether they will come home in one piece. The streets are not safe any more for young people. According to figures, knife crime has gone up by 15% in the past year in London, with 91 killings. That means an average of 40 knife crimes per day. Will sufficient police resources be put in place to tackle this, as well as a public health approach, which the Youth Violence Commission has recommended and which worked so well in Glasgow? It was the knife-crime capital of western Europe but has seen a decline following a public health approach. Will the Government put proper resources in place to tackle this?
ParlaMint-GB_2018-10-22-lords.u4	I mentioned in my Answer to the noble Baroness’s original Question the £200 million youth endowment fund. In addition, and given that the noble Baroness is talking about London—this does, in many ways, seem to be a particular problem for London—in July, the Home Secretary doubled the early intervention youth fund to £22 million. Through the trusted relationships fund, we are supporting nine projects that will support children vulnerable to county lines criminal exploitation. Four of these are based in London and will receive a total of £4.8 million. Further, £175,000 has been provided to support Redthread to expand work in London hospitals that will help victims of violent crime avoid or withdraw from gang activity, and £150,000 to support Safer London in its work to deliver young people’s advocates for young women in gangs and to reduce knife crime.
ParlaMint-GB_2018-10-22-lords.u5	Is the Minister aware that, since 2012, about 30 youth centres in London have closed? While this might not wholly explain the worrying rise in violence, it must have been a contributory factor. Will my noble friend tell the House whether the Government have any plans to substitute that loss?
ParlaMint-GB_2018-10-22-lords.u6	My noble friend will of course know that youth provision is a decision for local authorities and how they allocate funds.
ParlaMint-GB_2018-10-22-lords.u7	Oh!
ParlaMint-GB_2018-10-22-lords.u8	Before the House gets totally fed up with me, I will tell noble Lords that the Government have given £40 million, and £40 million has come from the Big Lottery Fund, for youth provision and social action. We continue to fund the growth of the very successful National Citizens Service, and £700,000 has gone into the Delivering Differently for Young People programme.
ParlaMint-GB_2018-10-22-lords.u9	My Lords, I draw the attention of the House to my relevant interests. There has been a cut to policing in real terms since 2010-11. In London, as the noble Lord, Lord Garel-Jones, mentioned, 81 youth centres have closed, 800 full-time youth workers are no longer there and there has been a £39 million cut in youth services in the capital since 2011. Does the Minister not accept that these spending reductions have a direct effect on the ability of the police and local authorities to tackle knife crime?
ParlaMint-GB_2018-10-22-lords.u10	My Lords, we have talked a lot in this place about police funding. It is important to note that public investment in policing has grown by over £1 billion from £11.9 billion in 2015-16 to £13 billion in 2018-19, including investment in counterterrorism policing, local policing and funding for national programmes. There are other funding streams, including the £175 million police transformation fund and special grants.
ParlaMint-GB_2018-10-22-lords.u11	My Lords, in view of the IDPC report published today, which shows huge increases in the use of drugs across the globe despite harsh punishments and criminalisation, will the Minister seriously consider decriminalising the possession and use of drugs, as Portugal did very successfully more than 20 years ago? That would massively reduce youth crime and is probably the quickest and best way of doing that. It would also increase children’s recovery from drug use and enhance their ability to return to education and work.
ParlaMint-GB_2018-10-22-lords.u12	The noble Baroness will know that my right honourable friend the Home Secretary has no intention of decriminalising drugs, but intends to get a better understanding of who drug users are, what they take, how often they take it and so much more. He is launching a review into the market for legal drugs.
ParlaMint-GB_2018-10-22-lords.u13	My Lords, I declare an interest as a trustee of Safer London, as mentioned by the Minister. Does she recognise what is behind the following tweet from a young person today: “We’re desperate to see police patrols. Friendly neighbourhood officers who know the community. All we now get is aggressive cops jumping out of bully vans” Does the Minister realise the impact of the loss of community policing and local intelligence both on young people’s fear, which often leads to their carrying knives, and on stop and search?
ParlaMint-GB_2018-10-22-lords.u14	My Lords, I pay tribute to the work that the police do. Of course, the PCC decides how to allocate funding to the various types of policing mentioned by the noble Baroness. I also point out the initiative to reduce moped crime, which noble Lords were so concerned about. There has been a 32.6% fall in that type of crime. That is not to undermine exactly what noble Lords are saying, which is that certain types of crime are increasing, but the police are working to reduce crime in local areas in the way that it presents itself.
ParlaMint-GB_2018-10-22-lords.u15	My Lords, the noble Baroness has told us about a blizzard of initiatives—some worth £150,000, some worth £700,000 and so on—but that does not alter the fact that the totality of services, by which I mean the whole-system approach, which is surely what is needed here, has suffered. We have seen huge reductions in local government funding, in health funding and in policing. How on earth can the Government continue to blame local authorities, police and crime commissioners and everyone else for the fact that it is their policies that are creating this situation?
ParlaMint-GB_2018-10-22-lords.u16	My Lords, I am not in any way seeking to blame local authorities or PCCs; rather I am saying that they have budgets and they can decide what their priorities are for their budget allocations. However, I will say that my right honourable friend the Home Secretary and the Policing Minister recognise the strain under which the police find themselves, particularly in the light of changing crime patterns and of course the terrorist attacks that this country saw last year.
ParlaMint-GB_2018-10-22-lords.u17	To ask Her Majesty’s Government what steps they are taking to ensure that operators of online marketplaces take all reasonable steps to mitigate VAT evasion.
ParlaMint-GB_2018-10-22-lords.u18	My Lords, the UK is the first country in the world to make online marketplaces jointly and severally liable for VAT fraud committed on their platforms. Since 2016, HMRC has received around 43,500 VAT registration applications from non-EU based online sellers, which compares with 1,650 in 2015.
ParlaMint-GB_2018-10-22-lords.u19	This issue is of course important to UK high street retailers which are facing intense competition from Amazon. Does my noble friend the Minister share my concern that HMRC estimates that the loss of VAT through evasion by foreign online supply companies is between £600 million and £900 million? However, despite having the powers to do so, HMRC has not frozen any funds, it has not blocked any listings and it has not seized one item of stock from warehouses where goods from overseas suppliers are stored awaiting dispatch the next day.
ParlaMint-GB_2018-10-22-lords.u20	My Lords, I congratulate my noble friend on his commitment and consistency in raising these very important issues which the Government recognise. That is why, for exactly the reasons he has outlined, we were the first country in the world to introduce joint and several liability for market sellers. We have issued more than 3,000 joint and several liability orders since they were introduced and the amount of tax revenue, which is the crucial point raised by my noble friend, is expected to increase to £1 billion over the review period leading up to 2023. However, more needs to be done.
ParlaMint-GB_2018-10-22-lords.u21	My Lords, are Ministers seriously considering any Treasury recommendations to increase the VAT threshold and thereby bring a lot more traders under the rules? Would that not increase the tax take substantially?
ParlaMint-GB_2018-10-22-lords.u22	There are other ways of approaching the issue, one of which is to crack down on the loopholes. We have introduced successive initiatives and we have spent some £2 billion for HMRC to cut down on evasion. Next April, we will bring in an important measure to address the point made by my noble friend Lord Leigh. It will require that due diligence is carried out on online marketplaces to ensure that people are actually paying the correct amount of tax. Our emphasis and focus is on closing the gap and ensuring that more people pay the tax that is due rather than looking at the rates.
ParlaMint-GB_2018-10-22-lords.u23	My Lords, despite its expanded powers, HMRC is shockingly poor at collecting VAT from overseas sellers. The number has been 4% of the amount that it is owed, and if I understand the Minister’s numbers, it will not even attempt to get the figure up to 10%. As we go through the Brexit process we run the risk that another 27 countries are going to fall into the same overseas sellers category without the single market and the ECJ to ensure that we can collect VAT from entities that are based elsewhere but selling in the UK. What does he anticipate will be the consequence of that?
ParlaMint-GB_2018-10-22-lords.u24	We have to recognise that the UK has the largest online marketplace in the EU. We also need to recognise that beyond the EU, this is a global issue. Most of the goods coming in are actually from outside the EU, and that is why the G20 and OECD base erosion and profit shifting initiatives are so important, as well as moving our tax system on to a digital basis so that we can ensure that digital businesses pay the correct amount of tax due.
ParlaMint-GB_2018-10-22-lords.u25	Does my noble friend not understand that small retailers are now being required to produce their returns online, although that has been temporarily suspended, while in the meantime their main competition is committing evasion on a substantial scale—never mind the fact that business rates are hugely generous for online businesses? Are Her Majesty’s Government saying that they are not concerned about the loss of the high street? If they are, is it not time that they showed a little more understanding of what faces our shopkeepers up and down the country?
ParlaMint-GB_2018-10-22-lords.u26	We sympathise with those people, which is why we have listened to the calls that have been made. We have introduced pioneering joint and several liability for marketplaces and are introducing a due diligence system. While we are working through the G20 and the OECD, we are looking at initiatives that could be considered to solve the problem, such as split payments to ensure that VAT is automatically paid when someone domiciled in the UK makes a transaction.
ParlaMint-GB_2018-10-22-lords.u27	My Lords, the PAC noted that HMRC does not know how many fulfilment houses, or packaging establishments, there are in the UK and is therefore unable to systematically target VAT fraud. Is that right? If so, what will the Government do about it?
ParlaMint-GB_2018-10-22-lords.u28	That is right, which is why we require those establishments to register.
ParlaMint-GB_2018-10-22-lords.u29	My Lords, does my noble friend think that Sir Nicholas Clegg may have some spare time to devote to this?
ParlaMint-GB_2018-10-22-lords.u30	I do not know whether he is domiciled in the UK any longer.
ParlaMint-GB_2018-10-22-lords.u31	My Lords, is this not a problem of HMRC resources? Is it not very difficult now to reverse the cuts that have been made in HMRC over the years? This is a clear example of loss of revenue to the Exchequer and the damage it does to the high street.
ParlaMint-GB_2018-10-22-lords.u32	I do not accept the premise that we are reducing the amount of money going into HMRC. Since 2010, as I said earlier, we have spent some £2 billion on closing that loophole. The increased yields which that has brought into the Exchequer are evidence that it is working.
ParlaMint-GB_2018-10-22-lords.u33	To ask Her Majesty’s Government when they plan to withdraw from service the Batch 1 River-class offshore patrol vessels HMS “Tyne”, “Severn”, “Mersey” and “Clyde”.
ParlaMint-GB_2018-10-22-lords.u34	My Lords, our plans to withdraw the Batch 1 River-class offshore patrol vessels from service have yet to be finalised. Our decision will be informed by the outcome of cross-government discussions to determine our requirement for fisheries protection and compliance of patrols in UK waters following our exit from the EU. HMS “Severn” left service in December 2017 and is held alongside pending these deliberations.
ParlaMint-GB_2018-10-22-lords.u35	I thank the Minister for his reply. Yesterday was of course the 213th anniversary of the Battle of Trafalgar—
ParlaMint-GB_2018-10-22-lords.u36	Hear, hear.
ParlaMint-GB_2018-10-22-lords.u37	A great hurrah! The Secretary of State wrote in a Sunday paper that Nelson would look at the modern Navy with great pride and amazement. I think the amazement would be because he said that the Navy was growing, but it is not. Nelson had 280 frigates and we have 13, so I find that difficult to imagine The Minister touched on one area where there is real concern: our exclusive economic zone and territorial seas. We do not have enough assets there. Here is a wonderful opportunity to increase the number of ships available to look after those waters at a very low cost. They could be manned by the RNR and we would achieve something rather than just talking about it. Does he agree?
ParlaMint-GB_2018-10-22-lords.u38	I am sure that the noble Lord will acknowledge the extent of the investment devoted to the Royal Navy over the past few years. His point is a good one. The watchword in this context is “flexibility”. The programme to replace the Royal Navy’s offshore patrol vessels is continuing; the Batch 1 vessels will be replaced by the Batch 2 ships as they enter service. It is important that we keep open the possibility of extending the service of and/or keeping in reserve HMS “Clyde” or HMS “Mersey”, for example, to meet any requirements emerging from not only Brexit but other contingencies. That is what we intend to do.
ParlaMint-GB_2018-10-22-lords.u39	If the patrol vessels are to work in the EEZ, which would be highly desirable, there are of course multifarious parties and agencies that also work there—the Navy, the Border Force, customs, Defra, HMRC and so forth. Which government department has the overall lead on such matters as command and control, training and funding for the activities that will be done in the EEZ?
ParlaMint-GB_2018-10-22-lords.u40	My Lords, there are two key requirements to ensure the security of our waters. One is that operations need to be intelligence-led, and the other is that they should be well co-ordinated—the noble and gallant Lord makes an excellent point. In the protection of our borders, the capability to detect and deter vessels and aircraft approaching the UK is just one part of a multilayered approach that the Government take in protecting our country. The Ministry of Defence is just one organisation with a role in this. It is important though to recognise the importance of co-ordination. That is why the permanent Joint Maritime Operations Coordination Centre exists—to deliver a national and international focal point for home waters maritime security and planning. The key is for all agencies to work together in a concerted fashion.
ParlaMint-GB_2018-10-22-lords.u41	Is my noble friend aware that I have a special interest in this matter? I think I was the Minister who ordered the original 11 River-class minesweepers, of which now apparently four remain. What has happened to the other seven?
ParlaMint-GB_2018-10-22-lords.u42	My Lords, they have been decommissioned. In congratulating my noble friend on the foresight that he showed in commissioning those vessels, I hope he will be reassured by my initial Answer—that we are maintaining flexibility to cope with unforeseen contingencies.
ParlaMint-GB_2018-10-22-lords.u43	Is this issue part of the defence modernisation programme, which is of course a defence review by another name? The results of that review were promised in June this year. So far, no results have been published. What is the reason for the delay, and when will the results be announced?
ParlaMint-GB_2018-10-22-lords.u44	My Lords, the Defence Secretary published a Written Ministerial Statement on 19 July, as the noble Lord will be aware. It set out the headline conclusions of the modernising defence programme. I know that noble Lords were slightly disappointed with that Statement. We had hoped that it would be informative and reassuring—we had certainly intended it to be so. It confirmed the direction of travel; it described the work done to date; it set out some headline conclusions. Strictly speaking, the matter of the offshore patrol vessels is not part of that but, as I have explained, it is important to prepare now for the contingencies that may ensue from Brexit.
ParlaMint-GB_2018-10-22-lords.u45	My Lords, how many of these ships will protect our fishing fleet after Brexit at any one time? After all, we are taking back all these waters and presumably clawing back the allocation of catches from the Spanish and everybody else.
ParlaMint-GB_2018-10-22-lords.u46	As we speak, the Marine Management Organisation within Defra is making a full assessment of the scale and volume of both sea-based and non-seaboard patrol and surveillance capability required after we leave the EU. This is the key point for us to focus on. The Ministry of Defence and other agencies are tracking this work, but it is important to remember that fisheries protection is multilayered. It is not just the Royal Navy that enforces protection. The Marine Management Organisation relies on a lot of other systems to do that very thing.
ParlaMint-GB_2018-10-22-lords.u47	My Lords, I have just flown in from New York, having attended Trafalgar Night on board the “Queen Elizabeth”. It was a most splendid occasion. We entertained the seniors of both the United States Navy and their Marine Corps. They could not have emphasised more their pride in having us as an ally, and everybody in this House can be very proud of the professionalism of all our sailors on board that ship. But when I asked the head of their navy, “Could you remind me how many people you have?”, he said, “363,000”. What was very clear was that they would like us to have greater capability. Do the Government recognise that, to keep this valuable friendship with the Americans, greater capability must be provided by the Government?
ParlaMint-GB_2018-10-22-lords.u48	My Lords, I am sure that my noble friend will know that the national shipbuilding strategy recognises the need for greater volume in the destroyer and frigate force. The Type 31e will enable us to grow the size of the frigate force.
ParlaMint-GB_2018-10-22-lords.u49	To ask Her Majesty’s Government whether they have received reports or information about (1) outside interference, and (2) irregularities, in the conduct of the European Union referendum.
ParlaMint-GB_2018-10-22-lords.u50	My Lords, the Government have not received any reports or information about any successful outside interference in the European Union referendum. We nevertheless remain vigilant and are committed to defending the UK from all forms of malign state interference in UK democratic processes. The Electoral Commission’s report on the referendum, published in September 2016, stated that the poll was delivered without any major issues and that there was a clear and timely final result.
ParlaMint-GB_2018-10-22-lords.u51	I don’t believe it. Everyone knows the irregularities, the fraud and the corruption that took place. The Electoral Commission declared that there was illegal spending by Vote Leave. A whistleblower at Cambridge Analytica showed that Russian money was pumped into the Vote Leave campaign through Aaron Banks and others. This result was obtained by fraud and corruption. The Government have an opportunity to put this right and to satisfy the wishes of at least 700,000 marchers on Saturday by giving the British people the opportunity to decide whether they want to accept the deal, once the terms are known, or to stay in the European Union through a people’s vote.
ParlaMint-GB_2018-10-22-lords.u52	My Lords, the Prime Minister has made her position quite clear on a second referendum: she does not want one. The Electoral Commission is investigating whether Mr Banks was the true source of the loans reported by a referendum campaign in his name and whether any individual facilitated a transaction with a non-qualifying person. But it is important to keep this in perspective. The Atlantic Council and the Oxford Research Institute, both of which have researched this, found that the impact of the Russians on the referendum was at best marginal. One estimate was 0.3% of tweets. I was as disappointed as the noble Lord with the outcome of the referendum, but unlike him I do not believe that it was lost because of what I might call the Zinoviev Twitter.
ParlaMint-GB_2018-10-22-lords.u53	My Lords, this is the Act of Parliament that set out the conditions under which the referendum was fought. This is not a minor matter of rules or regulations; this is the law of the land. Can the noble Lord confirm that the Electoral Commission passed files detailing what had happened in terms of lawbreaking by the leavers during the campaign to the Metropolitan Police several months ago? Can he reassure the House that the police will never halt or delay an investigation because it is claimed that there are political sensitivities?
ParlaMint-GB_2018-10-22-lords.u54	I think it is a malign slur on the police to imply that they would defer to political pressure in that way. It is indeed the case that the responsible person for Vote Leave has been referred to the police, as has Mr Grimes, in relation to false declarations of campaign spending. A number of pro-remain organisations were also fined by the EC for breaking referendum law, including the Liberal Democrats.
ParlaMint-GB_2018-10-22-lords.u55	My Lords, will the noble Lord agree that the most irregular aspect of the EU referendum was the £9.5 million the Government spent on a deceitful little brochure which went through every letterbox in the land in an attempt to mislead the British people into voting to stay in the EU?
ParlaMint-GB_2018-10-22-lords.u56	The Government followed the precedent of earlier referendums, including those from the 1970s and 1990s, in distributing a leaflet setting out the Government’s view.
ParlaMint-GB_2018-10-22-lords.u57	My Lords, the DCMS Committee in the other place has just published alarming evidence of a so-called “Mainstream Network”, which appears to have spent £250,000 to reach 10 million Facebook users, urging them to lobby their MPs to “chuck Chequers”. Could the Minister ask the Electoral Commission to investigate this because it could fall into a pre-election period, or get his own department to consider whether, if this is not against the law, some regulation is needed if we are not to have just millionaires putting money into our political system?
ParlaMint-GB_2018-10-22-lords.u58	I understand the concern expressed by the noble Baroness and, indeed, by DCMS. It might be a matter for the Information Commissioner, who has been given new powers under the Data Protection Act, which has recently been passed. She is already investigating the possible misuse of data held by Facebook and used by Cambridge Analytica. We will shortly publish a White Paper on online harm setting out our objective to make the UK the safest place in which to be online.
ParlaMint-GB_2018-10-22-lords.u59	My Lords—
ParlaMint-GB_2018-10-22-lords.u60	My Lords—
ParlaMint-GB_2018-10-22-lords.u61	We have heard enough from the remain side; let us hear from the other—
ParlaMint-GB_2018-10-22-lords.u62	Oh!
ParlaMint-GB_2018-10-22-lords.u63	My Lords, let us hear from the noble Lord, Lord Grocott.
ParlaMint-GB_2018-10-22-lords.u64	I am grateful to the noble Lord. My noble friend Lord Foulkes spoke with passion and eloquence on behalf of the 700,000 people who marched. If I can say a word on behalf of the 17.4 million people who voted leave, it is this: ever since the referendum result was declared—this just another step along the way—there has been an unremitting campaign to try to discredit or, at best, reverse the result of the referendum on numerous different fronts, of which this is just the latest example. Can the Minister put this all in perspective and recognise that the 17.4 million people who voted leave were not all duped by the Russians and were not all ignorant about the issues which were before them? All they asked was this simple request, which we want the Government to get on with: to leave the European Union.
ParlaMint-GB_2018-10-22-lords.u65	The noble Lord will know that after the referendum the relevant legislation was passed through both Houses. Legislation will shortly be introduced, following a successful negotiation with the European Union. I share his wish, as much as anybody else, that this whole matter be brought to a conclusion swiftly and cohesively, and we can then move on to other matters.
ParlaMint-GB_2018-10-22-lords.u66	To ask Her Majesty’s Government, in the light of the recent prosecutions in Huddersfield, whether there are sufficient resources to investigate the alleged sexual offences in the other towns and cities of the United Kingdom in a timely manner.
ParlaMint-GB_2018-10-22-lords.u67	My Lords, I beg leave to ask a Question of which I have given private notice.
ParlaMint-GB_2018-10-22-lords.u68	My Lords, these horrific crimes are sickening and I commend the bravery of victims coming forward and the police for the successful prosecutions so far. The Government have made a commitment to tackle child sexual abuse in all its forms and we have made a significant investment to help transform law enforcement’s response.
ParlaMint-GB_2018-10-22-lords.u69	My Lords, justice delayed is justice denied and this seems to have happened from Huddersfield to Rochdale, from Halifax to Newcastle, and in many other towns. Criminal law practitioners have sought to maintain the rule of law for victims and perpetrators without fear or favour. Have timely investigation and prosecution been sacrificed in favour of social cohesion? Will the Government invite the inspectors of constabulary and the CPS to analyse and report on the timeliness of the investigations and the prosecutions?
ParlaMint-GB_2018-10-22-lords.u70	My Lords, I do not think that what has happened here is political correctness; I think that, given the sheer number of people involved in the types of crimes they committed against some very vulnerable girls, it has taken time to bring this case forward—and, of course, the case was delayed for reasons outside the CPS’s control. It is really important, for successful prosecutions to be brought, that full rigour goes into the investigation and subsequent prosecutions.
ParlaMint-GB_2018-10-22-lords.u71	My Lords, first, I join the noble Baroness in paying tribute to the police and to the bravery of the victims of these appalling crimes. By coming forward, they have highlighted this evil, had the criminals brought to justice and protected other young girls from becoming victims. Compare that to the irresponsible actions of those who risked collapsing the trial. What work are the Government undertaking to understand the full scope and size of this crime, of these offences, in our country? Without understanding that, it will be very hard to effectively resource both prevention and investigations, and to bring all the perpetrators to justice.
ParlaMint-GB_2018-10-22-lords.u72	The noble Lord makes a very good point: unless we can understand the root causes of this, it is very difficult to tackle it. There have been several similar cases of the abuse of children. My right honourable friend the Home Secretary has said: “I will not let cultural or political sensitivities get in the way of understanding the problem ... I’ve instructed my officials to explore the … characteristics of these types of gangs and if the evidence suggests that there are cultural factors that may be driving this type of offending, then I will take action”.
ParlaMint-GB_2018-10-22-lords.u73	My Lords, according to the Sunday Times, the Chancellor of the Exchequer thinks that the police would help their case for more money if they were more responsive to local residents and investigated crimes such as burglary, rather than labour-intensive investigations into historical sexual offences. Does the Minister agree?
ParlaMint-GB_2018-10-22-lords.u74	I have to apologise to the noble Lord because, although I read the Sunday Times, I did not read that particular article. But nobody can be in any doubt about the commitment of this Government commitment to tackling this type of abuse, and in particular that of my right honourable friend the Home Secretary. Child sexual abuse has been declared a national threat and the Government are investing millions of pounds to enable officers to actively seek out and bring these types of offenders to justice. Last February, the Government published our tackling child sexual exploitation progress report and we have announced a £40 million package of measures to protect children and young people from sexual abuse, exploitation and trafficking, and to crack down on offenders. This has included £7.5 million for a new, ground-breaking centre of expertise that will identify, generate and share high-quality evidence of what works in preventing and tackling child sexual abuse and exploitation. We have put a significant increase in resources into the NCA, leading to a near doubling of the CEOP command’s investigative capability, and an additional £20 million has been committed up to 2020 to maintain this. There is a further £20 million of transformation funds going into the regional organised crime units, which do a superb job in bringing to justice perpetrators who target children online.
ParlaMint-GB_2018-10-22-lords.u75	My Lords, this Question from the noble and learned Lord, Lord Morris, is actually just a provincial equivalent of the discussion we had on the first Oral Question. The simple fact is that the Minister is explaining small penny-packets of money that are being put into a particular problem. My successor but two as commissioner, Cressida Dick, has 20% less money than I had when I left 10 years ago. Will the Minister accept that it is simply impossible for the police service to go on with 20% less money without something giving? Something is already starting to give and the Government must take action.
ParlaMint-GB_2018-10-22-lords.u76	I think I have made it clear, in response to both this and the earlier Question, that there are certain types of crime patterns, such as knife and gang crime in London, which are worrying and into which the Government have sought to put specific types of funding, but also that this type of child sexual abuse and exploitation requires a dedicated approach to a specific problem. But I do not resile from the fact—and my right honourable friend the Home Secretary recognises this, as does the Policing Minister—that considering all the things that the police have to do and the strain they are under, they have significant burdens on them. Both my right honourable friend the Home Secretary and the Policing Minister are very aware of this as we go into next year.
ParlaMint-GB_2018-10-22-lords.u77	My Lords, does the Minister agree that the police’s resources and priorities should be in part determined by public concern? Is she in any doubt at all that the public are deeply concerned about the exploitation of vulnerable girls by gangs? What role have the police commissioners played in this matter?
ParlaMint-GB_2018-10-22-lords.u78	My Lords, this has to be a multiagency approach. It is a job that local government will have across its desk in terms of protecting vulnerable children. The police will have it across their desks. The Department of Health will have it across its desk. It is also the job of education to ensure that girls—predominantly—who may be vulnerable to this sort of exploitation are supported in the communities in which they live. I have outlined the various funding packages to try to prevent such things happening, but the noble Lord is not wrong when he says that resources need to go into this. Sometimes the public’s priorities are not the priorities that the police might seek to invest in, but this is a major national priority.
ParlaMint-GB_2018-10-22-lords.u79	My Lords, the Minister may have read the Times report this morning on the county lines abuse of young children in Bradford. I am sure that the Government think that getting at this abuse of children through county lines drug networks is also a priority. The last time I was driven around north Bradford by one of our local councillors, I did not see a single policeman on the streets all afternoon—although I did see three people peddling drugs on the streets as we passed by. Does that not mean that we need larger resources than we have at the moment to cope with the underlying social issues that give rise to this sort of exploitation of children, male and female?
ParlaMint-GB_2018-10-22-lords.u80	The noble Lord is absolutely right to bring up the issue of county lines, because that encompasses everything we have been talking about in response to the Question of the noble Baroness, Lady Hussein-Ece, as well as to this one. There is definitely a link between gangs, guns, drugs and exploitation, and at the heart of it—always—is exploited children.
ParlaMint-GB_2018-10-22-lords.u81	My Lords, do the Government accept that if we extrapolate nationally the Jay report on Rotherham and other reports from Telford and Oxford, there appear to have been upwards of 250,000 young white girls raped in this century, very largely by Muslim men, usually several times a day for years? What is the Government’s answer to the chief constable of Northumbria Police, who has just said that there is every likelihood that these grooming gangs are operating in every one of our major cities? What are the Government doing to prosecute those in authority who turned a blind eye to all this because they were afraid of being called Islamophobic and so on? What are they doing to compensate and help these victims mentally?
ParlaMint-GB_2018-10-22-lords.u82	My Lords, I refute the charge that those in authority are turning a blind eye to this. Noble Lords from across the House have outlined various child sexual abuse perpetrations in various parts of the country. One thing we can say above all else is that what these people target is vulnerability. It is not specific to race, creed or colour—it is vulnerability.
ParlaMint-GB_2018-10-22-lords.u83	That the Bill be considered in Committee in the following order: Clauses 1 to 12, Schedule 1, Clauses 13 to 18, Schedule 2, Clauses 19 to 21, Schedule 3, Clause 22, Schedule 4, Clauses 23 to 27, Title.
ParlaMint-GB_2018-10-22-lords.u84	That the Report be now received.
ParlaMint-GB_2018-10-22-lords.u85	The question is—
ParlaMint-GB_2018-10-22-lords.u86	Order!
ParlaMint-GB_2018-10-22-lords.u87	Sorry, there is this old rule in this House that when the Speaker is up, Members are down. Perhaps that could be remembered. The question is that this Report be now received.
