ParlaMint-GB_2018-11-01-commons.u1	1. What steps he is taking to support tourism throughout the UK.
ParlaMint-GB_2018-11-01-commons.u2	2. What steps he is taking to support tourism throughout the UK.
ParlaMint-GB_2018-11-01-commons.u3	Tourism is hugely important for the UK. One of my major focuses is to encourage visitors from across the world to visit the whole of the United Kingdom. We provide financial support through both VisitBritain and VisitEngland, which are responsible for promoting the UK through a range of initiatives and campaigns.
ParlaMint-GB_2018-11-01-commons.u4	One of the many reasons why millions of people from around the world come to the UK and Scotland is because of our world-class food and drink sector, of which Angus is a powerhouse—the Minister is very welcome to come and taste our Forfar bridie whenever he wishes. Can he reassure me that the UK Government are working to support the Scottish food and drink industry, and to develop the necessary links between that sector and the UK tourism industry?
ParlaMint-GB_2018-11-01-commons.u5	I thank my hon. Friend for that question because we are working hard to protect and promote some of our world-leading produce, and she is doing a wonderful job in her Angus constituency with regard to tourism as well as many other areas. I am sure that she will join me in welcoming the Chancellor’s Budget because the support it shows to the whisky industry by freezing duty clearly helps. Food and drink is particularly important. I attended a board meeting yesterday of the GREAT campaign, which covers Scotland, and I am disappointed that the Scottish Government have not been as supportive of that campaign as my hon. Friend.
ParlaMint-GB_2018-11-01-commons.u6	West Oxfordshire has many famous tourist attractions that bring economic benefits to the surrounding areas, including Blenheim Palace, which attracts almost 1 million visitors annually. What are the Government doing to ensure that lesser-known tourist attractions such as Kelmscott Manor, Crocodiles of the World and Cotswold Wildlife Park have their fair share of the tourism cake to bring in all those benefits?
ParlaMint-GB_2018-11-01-commons.u7	As you know, Mr Speaker, West Oxfordshire is a beautiful part of the country and we are supporting it in a number of ways. VisitBritain has organised travel trade trips to West Oxfordshire, including to Blenheim Palace. My officials at the Department also work closely with Experience Oxfordshire, a good organisation that makes sure that as many visitors as possible come to that part of the UK.
ParlaMint-GB_2018-11-01-commons.u8	With the building of the new £83 million international convention centre at Celtic Manor, there is huge potential for Newport. What are Ministers doing with the Wales Office to encourage more events and conferences in Newport, the home of the NATO summit in 2014?
ParlaMint-GB_2018-11-01-commons.u9	I commend the hon. Lady for her support for that conference facility. Conferences, business events and events of all types are very important to the economy of this country. We engage with the Wales Office, as indeed we do with the Scottish Government, to support business events.
ParlaMint-GB_2018-11-01-commons.u10	It is nice to have the festival for Great Britain and Northern Ireland that is due to take place in 2022. Will the Minister commit to ensuring that Northern Ireland does not get left behind and has the same opportunities as our GB counterparts to show off our business, technology, culture, sport and arts expertise to the rest of the world?
ParlaMint-GB_2018-11-01-commons.u11	Northern Ireland will certainly not be left behind. I was delighted to visit Belfast only a few weeks ago, when I saw its wonderful tourism offer, including the Titanic exhibition and so much else. I would recommend visiting Northern Ireland to anyone, as there are wonderful tourism opportunities—“Game of Thrones” is filmed there, and there is so much else.
ParlaMint-GB_2018-11-01-commons.u12	Steve Ridgway of VisitBritain, along with Anthony Pickles, together with airlines, hotels and all the rest of it, have pulled together a sector deal. I do not want to bore the House because I have raised this before, but when are the Government going to support it?
ParlaMint-GB_2018-11-01-commons.u13	My Department is working very hard on that matter. We have been pursuing it and we continue to do so.
ParlaMint-GB_2018-11-01-commons.u14	Tourism should not just be beaches and city breaks. The wonders of Ealing include our world famous studios of Ealing comedy and Downton fame, the basement blues club where the Stones first played, and the Questors theatre, the biggest am-dram venue in the world. They should all be linked together in a cultural quarter, but our council is cash-strapped in its provision of even the most basic services. The Minister mentioned the effect of Brexit on the number of overseas visitors. [Interruption.] So my question is—[Interruption.] I was building up to the question, Mr Speaker; thank you for reminding me. What are the Government doing to put suburbs on the tourist trail?
ParlaMint-GB_2018-11-01-commons.u15	We want to support tourism around the country, and of course that includes Ealing. The hon. Lady mentioned Ealing Studios and the Ealing comedies—I think I have a box set actually—and the reality is that VisitBritain and VisitEngland support lots of programmes around the country. [Interruption.] Some of the comedians are on the Opposition Benches at the moment.
ParlaMint-GB_2018-11-01-commons.u16	The biggest concern for the tourist industry at the moment is access to labour once we end the free movement of people. Will the Minister join my calls for the Government to introduce a seasonal migrant workers scheme for the tourism and hospitality sector?
ParlaMint-GB_2018-11-01-commons.u17	We are in close discussions with our colleagues in the Home Office about that, and my hon. Friend can be assured, as can the whole House, that I am representing the tourism sector and all its interests.
ParlaMint-GB_2018-11-01-commons.u18	3. What recent discussions he has had with internet service providers on the occurrence of secondary ticketing websites in search rankings.
ParlaMint-GB_2018-11-01-commons.u19	I take this issue very seriously, and I know that the hon. Lady has done fantastic work on it over the years. Ticketing website advertisements must comply with the Advertising Standards Authority code, and those using advertising facilities attached to search engines must also comply with their terms of service to prevent misleading ads and to protect consumers. I am in touch with internet service providers, and they assure me that they are prepared to take action where necessary.
ParlaMint-GB_2018-11-01-commons.u20	I thank the Minister for her work on this issue and her support for my work on it. According to research by the FanFair Alliance in a study carried out earlier this year, Viagogo was in the top two results on Google in 80 out of 100 searches. Time and again, victims of Viagogo tell me that they have been directed to Viagogo by a Google search. Does the Minister think it is appropriate that Viagogo is still able to buy itself to the top of the Google search rankings while it is facing court action by the Competition and Markets Authority?
ParlaMint-GB_2018-11-01-commons.u21	The hon. Lady makes a good point. Viagogo is the subject of legal action by the CMA. However, she might be interested to know that the Advertising Standards Authority has ruled that consumers would not assume that Viagogo was the primary ticketing agent for an event, and that there was therefore nothing in the ad to claim that it was the primary—[Interruption.] If you will permit me, Mr Speaker, I will just say that Google’s conditions state that resellers must prominently disclose themselves as resellers. The hon. Lady can therefore draw her own conclusions from that—
ParlaMint-GB_2018-11-01-commons.u22	Order. I am sorry, but there is great pressure on time today because the House has decreed a 10 o’clock finish for substantive questions, so shorter questions and shorter answers are needed.
ParlaMint-GB_2018-11-01-commons.u23	Does the Minister accept, however, that Google is accepting ads through Viagogo agents that are in breach of consumer protection law and of Google’s own terms of service, and that it is effectively taking money through being party to a fraud by allowing those ads to run?
