ParlaMint-GB_2018-11-26-lords.u1	To ask Her Majesty’s Government what plans they have to split payments in Universal Credit.
ParlaMint-GB_2018-11-26-lords.u2	Split payments are already available on request for universal credit claimants. We have processes in place to record complex needs for individual claimants and have introduced a new IT function so that these claimants are instantly visible to the staff helping them. We are also examining how claimants tell us about their complex needs, how we record those needs and how we can extract data which can help us monitor and improve support.
ParlaMint-GB_2018-11-26-lords.u3	I thank the Minister. To mark White Ribbon Day yesterday, I want to ask specifically about the impact of universal credit split payments on people suffering domestic abuse. At present money for children is paid in tax credits to the main carer once a fortnight, and that supporting low-paid work to the main earner once a fortnight. Universal credit rolls up all those payments with housing, childcare and disability payments, and is paid once a month into the bank account of one member of a couple. There is widespread concern that this may exacerbate economic abuse. Domestic abuse survivors can request a split payment, but charities such as Women’s Aid are concerned that simply asking for it can put them at risk because of course it triggers the evidence that they have done so concerning the abusive partner. My noble friend Lady Lister raised this in a Question in July and presumably the Minister has been thinking about it. But the latest statistics show that only 20 households have split the payments, even though 40% of awards are to couples. Can the Minister please tell the House what action the Government are going to take?
ParlaMint-GB_2018-11-26-lords.u4	The Government support White Ribbon Day—the International Day for the Elimination of Violence against Women—and will be making a number of announcements over the 16 days of action, which I am sure all noble Lords will welcome. The Government are committed to doing everything we can to end domestic abuse. It is important to stress that it is the responsibility of government across Whitehall to support victims of domestic abuse. The single payment of universal credit usually allows both people in the household to make the money management choices that are best for them in considering how their decisions about work affect their household income. The reality is that I and my honourable friend in another place, the Minister for Family Support, Housing and Child Maintenance, Justin Tomlinson, are working hard with stakeholders to see what improvements could be made.
ParlaMint-GB_2018-11-26-lords.u5	My Lords, the Minister said that split payments are available on request but, as my noble friend said, if somebody asks for a split payment, her abusive partner will know. How many of us would be willing to take the risk of further abuse? Can the Minister tell me why the Government think that they know better than survivors of domestic abuse and the organisations working with them, and continue to put the onus on the survivor and put her at greater risk?
ParlaMint-GB_2018-11-26-lords.u6	My Lords, it is important to stress that claimants can request a split payment during a face-to-face meeting and a phone call could be made away from the perpetrator of domestic abuse or online, via the journal. Research carried out for the department suggests that only 2% of married couples and 7% of cohabiting couples keep their finances completely separate. Indeed, a number of legacy payments have always been paid as one payment.
ParlaMint-GB_2018-11-26-lords.u7	My Lords, many people who have experienced domestic abuse would find it extremely traumatic to relate the details of what has happened to them. Does the DWP require details of the abuse before they can receive split payments?
ParlaMint-GB_2018-11-26-lords.u8	My Lords, that is a very helpful question—
ParlaMint-GB_2018-11-26-lords.u9	Ha!
ParlaMint-GB_2018-11-26-lords.u10	Well, it is helpful because it is constructive. No, we do not expect people to disclose the details of domestic abuse. Any individual can be accompanied by a third-party organisation to provide expert support when discussing their situation with a work coach. Each case is unique and the work coach will therefore ensure that the process is claimant-centric, to best support the needs of the individual. We treat all personal information in confidence and do not disclose it to third parties without explicit consent, but we also ensure mandatory training for our work coaches to give the support that people who are in a vulnerable situation require.
ParlaMint-GB_2018-11-26-lords.u11	My Lords, what assurance can the Minister give that split payments will be part of the test and learn DWP pilot scheme to be introduced early next year? Can she also give assurances that any results will be published before the managed migration takes place in 2019?
ParlaMint-GB_2018-11-26-lords.u12	My Lords, the noble Baroness may know that during the test and learn phase, we will be working within a co-design phase for seven months on a number of projects with stakeholders from all parts of the welfare system to assist us in the kinds of questions that we need to ask. But we are also going to look at how Scotland implements this. Scotland has made its own decision, which it is entitled to make, to go ahead and implement split payments. We want to learn from Scotland, too, about how this can be done, what challenges there might be and how practical it will actually be when six benefits are being brought into one under UC.
