ParlaMint-GB_2019-04-10-lords.u1	To ask Her Majesty’s Government what steps they are taking to tackle plastic pollution.
ParlaMint-GB_2019-04-10-lords.u2	My Lords, our priority is to prevent plastic from entering the environment in the first instance. The resources and waste strategy published in December last year sets out our plans to eliminate all avoidable plastic waste by 2042. To do this we are currently consulting on a suite of measures that include making recycling easier and financially incentivising producers to take greater responsibility.
ParlaMint-GB_2019-04-10-lords.u3	My Lords, I declare an interest as a trustee of WRAP, which has convened the UK Plastics Pact, which is now supported by 68 of the UK’s largest businesses and organisations. In light of the Government’s proposed plastic packaging tax, which is currently being consulted on, and appreciating that it is not my noble friend’s normal brief, how do the Government intend to ensure that the Plastics Pact and the plastic packaging tax will work together to best effect?
ParlaMint-GB_2019-04-10-lords.u4	My Lords, I can actually answer that question. The plastic packaging tax will provide a clear economic incentive for businesses to use recycled material in the production of packaging. Subject to consultation, any business that produces or imports plastic packaging that does not contain at least 30% recycled content will have to pay a tax from 2022. The UK Plastics Pact has pledged to meet the same target of 30% recycled plastics in its packaging by 2025. This is a voluntary arrangement, and of course the Government support it, but we want to ensure that all businesses achieve this ambitious target and that they do so as quickly as possible.
ParlaMint-GB_2019-04-10-lords.u5	My Lords, does the noble Baroness understand why we are so frustrated about this issue? We have debated it here time and again, yet we seem to be stuck in an endless cycle of consultations. There is broad cross-party support right across the country on this, and it would be very popular with the public, so why do the Government not just get on with, for example, introducing a bottle deposit scheme, which all the evidence shows would cut the number of plastic bottles littering our countryside and waterways? As I say, this would be extremely popular. Why the delay?
ParlaMint-GB_2019-04-10-lords.u6	I agree that many of the things the Government are proposing are extremely popular—these things are popular, and the Government are doing them—but I have to be honest with the noble Baroness: this is a very complicated, complex area and we must not introduce one of these things on its own without looking at the whole environment for recycling plastic. That is why the resources and waste strategy sets out the three different areas—from production to consumption and end of life. We are consulting on the deposit return scheme; we have to make sure that the local authorities are on board and can do it too, and we need to understand exactly what sort of DRS we will have.
ParlaMint-GB_2019-04-10-lords.u7	My Lords, the supermarkets convince us that we need plastic in order to preserve the life of vegetables, yet a quarter of all food that is thrown away is still wrapped in its plastic—it has not been undone—so we are convinced in the wrong ways. Most fruit and vegetables have perfectly good skins that keep them alive. Why is this not mandatory? We pay for plastic bags, which has been effective. It is a cost to the consumer which I think we all agree with. Why are supermarkets not taxed en masse for the kind of plastic they produce? If they had to pay for it, they would sure as hell change their habits.
ParlaMint-GB_2019-04-10-lords.u8	The noble Baroness raises a number of different questions. Of course, she is absolutely right that much of the packaging we use may not be necessary. That is why the UK Plastics Pact is working on ways to reduce supermarket packaging, and we absolutely welcome that. One thing we are consulting on is extended producer responsibility. This is really important; we will look to the people who produce packaging to pay the full net costs of that packaging. That will include the collection and transportation of waste recycling, the sorting and the treatment, the clean-up of litter, and the collection of data about packaging. A lot can be done, we are doing it, and we are looking to work with the supermarkets to reduce packaging as much as we can.
ParlaMint-GB_2019-04-10-lords.u9	My Lords, creating genuinely sustainable alternatives to polluting plastics is vital. What is Defra doing to ensure that BEIS’s industrial strategy challenge fund is making money available to fund R&D for such innovation?
ParlaMint-GB_2019-04-10-lords.u10	The noble Baroness is quite right. There is a huge amount of innovation going on around plastics. Again, it is a very complicated area. The industrial strategy challenge fund has put aside £66 million, which will be match funded by industry, to develop smart, sustainable plastic packaging.
ParlaMint-GB_2019-04-10-lords.u11	Can my noble friend find a way to get local councils and the organisers of public events to clear up plastic waste after major events? It was disgusting along the banks of the River Thames after the boat race.
