ParlaMint-GB_2019-04-30-commons.u1	1. What steps his Department has taken to promote youth entrepreneurship.
ParlaMint-GB_2019-04-30-commons.u2	First, I would like to update the House: unfortunately, my right hon. Friend the Minister for Energy and Clean Growth will be unable to join us this morning due to a family illness Our young people provide an invaluable contribution to the UK economy—they are more than twice as likely to be entrepreneurs as their peers in France and Germany—and we are supporting them. The start-up loans programme has provided over £60 million in loans to 18 to 24-year-olds since 2012. To further realise young entrepreneurs’ potential, I have asked the Prince’s Trust to lead a review to identify the barriers that they face.
ParlaMint-GB_2019-04-30-commons.u3	In 2017-18, recent graduates from the University of East Anglia set up 247 start-ups employing 1,015 people. Will my hon. Friend reassure me that the Government will continue to fund these schemes, as they mean so much to young people and help to create a vibrant economy?
ParlaMint-GB_2019-04-30-commons.u4	I thank my hon. Friend for that question. Through our industrial strategy, we recognise the valuable contribution from the creation of spin-outs and start-ups by businesses from university. That is why we have committed to increasing higher education innovation funding from £160 million to £250 million per year by 2020-21. This will help to increase universities’ capacity to engage in commercialisation and work with business.
ParlaMint-GB_2019-04-30-commons.u5	Is the Minister aware that recent research from Sheffield University and King’s College London shows that young entrepreneurs face a very bleak future? In particular, the impact of leaving the EU on many of the very constituents who voted leave is a drop of between 17% and 20% in GDP. That is ruinous for so many of our industrial towns. What is she going to do about it?
ParlaMint-GB_2019-04-30-commons.u6	The hon. Gentleman makes a valid point, but it is true that young people in the UK are twice as likely to be entrepreneurs as those in France and Germany. Our percentages for young entrepreneurs are significantly higher. We are committed to our industrial strategy. I have asked the Prince’s Trust to undertake the review so that we understand specifically what the barriers are for young people and come up with a package to be able to help them.
ParlaMint-GB_2019-04-30-commons.u7	I congratulate the Minister on her inspired decision to appoint the Prince’s Trust, which is a wonderful organisation that does magnificent work. Will it concentrate on 18 to 30-year-olds, and when is she expecting it to report?
ParlaMint-GB_2019-04-30-commons.u8	I am grateful to my hon. Friend for allowing me to highlight some of the details of the youth entrepreneurship review. It has started and the board will be announced shortly. It will be looking at 18 to 30-year-olds, and we are hoping that it will report in the autumn. He is absolutely correct: the Prince’s Trust does amazing work with young people from all types of background. In fact, there is already a programme with the Prince’s Trust and Innovate UK that provides mentoring to young people and makes available loans of up to £5,000.
ParlaMint-GB_2019-04-30-commons.u9	The Scottish Government’s 2018-19 Budget means that 90% of firms in Scotland pay lower rates than they would if they were based elsewhere in the UK. Given that 55% of individuals will pay less tax than they would in the rest of the UK, what lessons do the Government plan to take in terms of supporting Scotland’s young entrepreneurs and those elsewhere in the UK?
ParlaMint-GB_2019-04-30-commons.u10	The hon. Gentleman highlights specific differences within Scotland, but we are interested in making sure that young people are able to follow their dreams and aspirations whichever part of the country they happen to be in. We are announcing the young entrepreneurs’ review so that we can look at all the different barriers, including access to finance—something that the Government and I, as the small business Minister, take very seriously—and make sure that we create the right environment for our small businesses to start up, thrive and grow.
ParlaMint-GB_2019-04-30-commons.u11	2. What steps he is taking to support small businesses.
ParlaMint-GB_2019-04-30-commons.u12	10. What recent steps he has taken to support small businesses.
ParlaMint-GB_2019-04-30-commons.u13	Small businesses are the backbone of our economy, employing over 16 million people, and they make a collective contribution of over £2 trillion. We have provided nearly £5.9 billion of finance to over 82,000 small businesses across the UK. We have also just announced an additional £200 million for innovation for British business.
ParlaMint-GB_2019-04-30-commons.u14	What discussions has the Minister had with landlords running small businesses about the proposed abolition of section 21 notices? We all want to help renters, but we need to take care that we do not pass new laws that might actually make it harder for vulnerable people to get rented accommodation.
ParlaMint-GB_2019-04-30-commons.u15	I thank my right hon. Friend for her question. We want both to encourage good landlords to stay in the sector and to make sure that proposals do not impact on supply. The Ministry of Housing, Communities and Local Government will be consulting landlords and looking at similar changes in Scotland. However, I reassure her that we recognise that small landlords, or incidental landlords, may have different requirements and they will therefore be very much part of the consultation.
ParlaMint-GB_2019-04-30-commons.u16	Will the Minister join me in paying tribute to Snap-on UK Holdings in King’s Lynn in my constituency? It now employs 141 people and has recently won two Queen’s awards for enterprise and international trade. It is currently exporting to France, Poland, Italy and Spain, and it is trying to open up markets in Asia and Africa. What can she do to encourage other businesses in the country to follow Snap-on’s example and boost their exports, boost our economy and create jobs?
ParlaMint-GB_2019-04-30-commons.u17	I thank my hon. Friend for highlighting the excellent work of Snap-on UK Holdings, which has won a Queen’s award for enterprise. Businesses in north-west Norfolk have benefited from 60 start-up loans, totalling nearly £500,000. They also have the growing business fund, which provides grants of up to £500,000 per business, where there is an opportunity to innovate and grow and create jobs.
ParlaMint-GB_2019-04-30-commons.u18	Small businesses often rely on each other for mutual support; that is certainly the case in my constituency. Will the Minister please explain to her colleagues in the Department for Work and Pensions how detrimental it would be for small businesses and the town centre economy if they relocate 250 jobs out of Merthyr Tydfil town centre as part of their push to centralise jobs and services?
ParlaMint-GB_2019-04-30-commons.u19	The hon. Gentleman raises an important point about our high streets. Obviously, the Government play an important part in that respect in making decisions that affect our regions. I would like to reassure him about what we are doing for high streets and the retail sector. With the Retail Sector Council, we are looking at business costs and elements around skills and employment on the high street. We remain committed to making sure that our high streets remain the heart of our communities. I will make sure that I do everything in my capacity as Minister to achieve that.
ParlaMint-GB_2019-04-30-commons.u20	Can the Minister outline any initiatives that are being considered to offset high street rates to encourage businesses to not only trade online but have a presence in local high streets? Some of my constituents have done that, and they have been quite successful.
ParlaMint-GB_2019-04-30-commons.u21	The hon. Gentleman makes an important point with regard to traditional retail and online sales. I have spoken with the likes of Amazon and eBay, and one thing I have been extremely surprised at is that they have worked with small businesses that have started online but then invested in bricks-and-mortar retail outlets. We need to work to make sure we have a mixed economy, and I have outlined the work we are doing with the Retail Sector Council, particularly looking at business rates and other issues.
ParlaMint-GB_2019-04-30-commons.u22	I congratulate the Minister on the work she does for small businesses. She will know that one of the major challenges small businesses face is not just with late payments but with getting prompt payments and reasonable terms from bigger businesses. Will she ensure that the Government do all they can to end the scourge of late payment? Will she also ensure that the prompt payment code has some teeth so that it actually does the job it is supposed to?
ParlaMint-GB_2019-04-30-commons.u23	I thank my hon. Friend for highlighting prompt payment. It is a particular focus within the Department to tackle late payments, which can be very damaging to small businesses. This week, the Chartered Institute of Credit Management has announced that there are 17 businesses that I have removed or suspended from the prompt payment code to make sure that we highlight where bad practice is occurring. We want to bring business with us. We do know that late payments can have a major impact on small businesses, and I therefore stand committed to ensuring that we do all we can as a Government to end this poor practice.
ParlaMint-GB_2019-04-30-commons.u24	This morning I met Matt Dowling of the Freelancer Club, who adumbrated to me some of the terrible situations that freelancers have faced when trying to be paid, often being coaxed into working for nothing for things like experience. Will the Minister meet me and Mr Dowling to discuss how we might crack down on that?
ParlaMint-GB_2019-04-30-commons.u25	Absolutely. I reiterate that this Government do not support the culture of poor payments and late payments. The hon. Gentleman is absolutely right to raise the concerns of those in a particular sector who might face trouble getting paid for legitimate work. I would be very happy to meet him and that organisation.
ParlaMint-GB_2019-04-30-commons.u26	3. What assessment he has made of the effect of uncertainty of the UK’s trading relationship with the EU on the delivery of the industrial strategy.
ParlaMint-GB_2019-04-30-commons.u27	As the hon. Gentleman will know, there are huge opportunities for advanced manufacturers, especially in his region, and the sector benefits from a minimum of frictions in trade, so it is very important that we conclude a deal with the European Union.
