ParlaMint-GB_2019-05-22-commons.u1	1. What recent assessment she has made of the security situation in Northern Ireland.
ParlaMint-GB_2019-05-22-commons.u2	2. What recent assessment she has made of the security situation in Northern Ireland.
ParlaMint-GB_2019-05-22-commons.u3	The threat from dissident republican terrorism continues to be severe in Northern Ireland after the appalling killing of Lyra McKee. This Government’s first priority is to keep people safe and secure. Vigilance against this continuing threat is essential, and we remain determined to ensure that terrorism never succeeds.
ParlaMint-GB_2019-05-22-commons.u4	I congratulate my right hon. Friend on securing the £105 million of UK Government funding for the new Derry/Londonderry city deal and the inclusive future fund. Does she agree that it is vital that we provide young people with the jobs and skills they need to move on in the future in a world that is rejecting violence and that all these things will help?
ParlaMint-GB_2019-05-22-commons.u5	My hon. Friend makes a very important point. I am sure that she will have heard the words of Father Martin Magill at the funeral of Lyra McKee; he said that young people need jobs, not guns. It is exactly right that we should focus our efforts on providing jobs as well as tackling terrorism, so that we can give those young people the alternative to violence so that they can have a future that is fit for them.
ParlaMint-GB_2019-05-22-commons.u6	Does my right hon. Friend agree that the Police Service of Northern Ireland is doing an outstanding job and showing tremendous courage and professionalism in dealing with violence and dissident activity? What can the Government do to support the PSNI to ensure that it faces down the dissidents and people who are spreading hatred and violence?
ParlaMint-GB_2019-05-22-commons.u7	My hon. Friend is absolutely right. This Government’s first priority is to keep people safe and secure across the whole United Kingdom. We saw incredible bravery from the Police Service of Northern Ireland on the night of Lyra McKee’s killing. Although the police faced an onslaught of petrol bombs and shooting towards them, they got out of their vehicles to try to save Lyra, and we all owe them a debt of gratitude. We need to see people across Northern Ireland working with the PSNI to stamp out terrorism, and the Government stand steadfast in our commitment to assisting that work.
ParlaMint-GB_2019-05-22-commons.u8	It is vital that we give the right message to young people. However, we have recently seen, yet again, shots being fired over coffins at funerals and before funerals by IRA and INLA terrorists, using weapons that were supposed to have been decommissioned. Is it not incumbent on all political parties in Northern Ireland, including Sinn Féin, to make it clear that such paramilitary displays with weapons are harmful to our society, send out the wrong message to young people and should stop immediately?
ParlaMint-GB_2019-05-22-commons.u9	I agree with the right hon. Gentleman that these sorts of outward displays of violence are not acceptable. What I saw after Lyra’s killing was the community coming together and rejecting those outward displays, leading to the cancellation of the proposed march through Londonderry on Easter Monday.
ParlaMint-GB_2019-05-22-commons.u10	I am sure that the Secretary of State will have had a briefing earlier today—or, indeed, perhaps yesterday—from the Chief Constable of the Police Service of Northern Ireland about the security situation in Northern Ireland. In that context, would the Secretary of State update the people of Northern Ireland about the success of the PSNI in stopping the spate of ATM thefts and apprehending those responsible? Such an update would be very welcome.
ParlaMint-GB_2019-05-22-commons.u11	The hon. Lady is absolutely right that I saw the Chief Constable yesterday, and I share her concern about the issue. This is an ongoing operational matter, but the actions of the PSNI are to be applauded.
ParlaMint-GB_2019-05-22-commons.u12	The whole House will share the Secretary of State’s admiration for all the officers of the PSNI—and of the Garda Siochana—who have stopped numerous hideous incidents over recent months and years. What assessment has she made of the PSNI’s morale and of the situation for recruitment to the PSNI and other security forces, should there be a different regime for the veterans of Operation Banner compared with other military operations in other theatres?
ParlaMint-GB_2019-05-22-commons.u13	I have seen that the PSNI conduct a very difficult job. I am always pleased to have the chance to meet police officers—particularly at Strand Road in Londonderry, where I have made a number of visits following dreadful incidents that we have seen in that city—and to hear the camaraderie and commitment shown by those individuals. I am determined that we will deal with the matters regarding the legacy of Operation Banner appropriately, lawfully and in a way that reflects exactly the commitment that we see today from the Police Service of Northern Ireland.
