ParlaMint-GB_2019-06-06-commons.u1	I call Vicky Ford—not here.
ParlaMint-GB_2019-06-06-commons.u2	2. What steps his Department is taking to tackle climate change through trade policy.
ParlaMint-GB_2019-06-06-commons.u3	3. What steps his Department is taking to tackle climate change through trade policy.
ParlaMint-GB_2019-06-06-commons.u4	The UK has long supported the promotion of our values globally, including ambitious global action to tackle climate change, and this will continue. We are exploring all options in the design of future trade policy, including how to tackle climate change. We are working to realise the potential for low-carbon exports from the UK and supporting UK jobs.
ParlaMint-GB_2019-06-06-commons.u5	While the Department for International Development has a clear strategy for promoting low-carbon development in low-income countries, fossil fuels made up a shocking 99.4% of UK Export Finance’s energy support to low and middle-income countries in the last financial year. Does the Secretary of State agree with the International Development Committee’s finding that his Department’s spending is “damaging the coherence of the Government’s approach to combating climate change”, and what steps has he taken to ensure a more joined-up approach among his Cabinet colleagues?
ParlaMint-GB_2019-06-06-commons.u6	The UK has an enviable record of success in decarbonisation. A target will be agreed of 80% of reduction by 2050; renewable capacity is up four times since 2010; and there will be £10 billion in annual support by 2021. Expertise is being built in offshore, smart energy, sustainable construction, precision agriculture, green finance, electric vehicles and so on. As I travel around the world, I meet many representatives from developing countries who are interested in all these technologies. Our trade policy is focused absolutely on ensuring that our exporters are set up to spread this green technology around the world. UKEF will play its part in funding this global revolution. In the short term, I have no doubt that some fossil fuel investments will be made, but as we progress that will transform into low-carbon development.
ParlaMint-GB_2019-06-06-commons.u7	The Secretary of State has previously stated that “poverty reduction objectives are deemed to outweigh the impact on climate change.” However, his colleague the Secretary of State for International Development has previously stated that unless we tackle climate change with the urgency it requires “100 million more people” will be thrown “into poverty”. Can the Minister confirm who is correct and what the Government position actually is?
ParlaMint-GB_2019-06-06-commons.u8	Certainly from the Department for International Trade point of view, our job is to promote international trade. We are out there making sure that the deals we do internationally suit those countries with which we do them. We are bringing in the unilateral preferences that are transitioning across from a European perspective. We are confident that the backing we can give developing countries is suitable for their circumstances, and allows them to participate in world trade and so bring their people out of poverty.
ParlaMint-GB_2019-06-06-commons.u9	I think we are spending £1.5 billion in the current period on climate change for less-developed nations, and the same amount—£1.5 billion—on promoting economic development and trade, so there is some synergy for us to work with, is there not?
ParlaMint-GB_2019-06-06-commons.u10	There absolutely is. As we grow our capacity in this country, we have more capability of exporting and, indeed, advising others on climate change. Yes, we can work in countries on poverty reduction at the same time as promoting energy sustainability.
ParlaMint-GB_2019-06-06-commons.u11	Will the Minister say a bit more in relation to climate change and trade policy, particularly vis-à-vis the US, because the President of the United States has said: “The concept of global warming was created by and for the Chinese in order to make U.S. manufacturing non-competitive”?
ParlaMint-GB_2019-06-06-commons.u12	The recent chapters in CETA— the EU-Canada comprehensive economic and trade agreement—and the EU agreements with Japan, Singapore and Vietnam include quite clear climate change commitments. We are of course signatories to the Paris agreement. I recognise that the President of the United States has said it is going to withdraw from that; it has currently not done so. Where it is possible to have chapters in our free trade agreements on climate change and on our climate change policies, we will do so; where not, we have to understand that we can open doors to dialogue through those trade deals. Indeed, we can then create flows of exports on untariffed sales at more favourable rates into those economies and help the transition, even in more developed countries where it is difficult to negotiate such chapters in our FTAs.
ParlaMint-GB_2019-06-06-commons.u13	May I congratulate the Government on their policies and on what they are doing on the way forward? We should set an example to the rest of the world when it comes to global policies on how we trade. The recent election results have proven that there is a wish among all parties for that to happen, so we need to set an example. What has been done with the regional Administrations to ensure that Scotland, Northern Ireland, Wales and England work together to set that example?
ParlaMint-GB_2019-06-06-commons.u14	As the hon. Gentleman knows well, the UK has extensive funding for climate change mitigation and for sustainability. I would simply say to him that, as and when we manage to reinstitute the Stormont Assembly in Northern Ireland, we can have discussions between the DIT and other parts of the UK Government to ensure that those issues are taken forward.
