ParlaMint-GB_2019-10-24-commons.u1	1. What steps he is taking to improve transport sustainability.
ParlaMint-GB_2019-10-24-commons.u2	9. What steps he is taking to improve transport sustainability.
ParlaMint-GB_2019-10-24-commons.u3	I want to echo the sentiments expressed yesterday by my right hon. Friend the Prime Minister regarding the awful events in Grays, Essex. Inquiries are ongoing, but, having worked with the haulage industry over the past few months, I feel keenly the tragedy that has taken place, and the Department stands ready to assist in any way we can On 15 October I announced that the Government would develop a world-leading transport decarbonisation plan. That will bring together the bold and ambitious programme of action across transport that is needed to achieve our net zero target by 2050.
ParlaMint-GB_2019-10-24-commons.u4	I associate myself with the remarks of the Secretary of State about the terrible tragedy yesterday. The Scottish National party and Members across the House have been deeply shocked by it, and we hope that matters will be investigated thoroughly so that those who are guilty of this terrible crime are brought to justice as quickly as possible The Government’s electric car strategy is obviously not working, with sales still only at approximately 2%. Transport for London figures confirm that any successful scrappage scheme requires central Government support. The SNP has been calling for such support for years. When will the UK Government invest in a proper diesel scrappage scheme?
ParlaMint-GB_2019-10-24-commons.u5	The figure is 2.6% for low emission and electric cars, and the hon. Lady will be aware that there has been an 122% increase in sales of electric cars this year compared with last year—indeed, I am proud to make up one small percentage of that percentage by owning one. Electric cars are fantastic, and for that reason we are about to see a big increase in the number of them on the road. There are already more public charging locations than there are petrol stations, and we will be doing a whole host of things—40 or 50 different measures—that I will describe in the decarbonisation plan. I think the hon. Lady will be pleased with a lot of the things that she sees coming along.
ParlaMint-GB_2019-10-24-commons.u6	On aircraft emissions, will the Government agree to incentivise the use of aviation biofuels? Does the Secretary of State have ambitions similar to those of the Scottish Government, who are seeking to introduce electric aircraft in the highlands and islands?
ParlaMint-GB_2019-10-24-commons.u7	The hon. Gentleman will be interested to know that just the other day I went to see the aircraft that is being developed at Cranfield University by Britten-Norman for electric flights in the highlands and islands. The day before yesterday I had a meeting about biofuels, which are very important for meeting our commitment to net zero emissions by 2050 in aviation.
ParlaMint-GB_2019-10-24-commons.u8	Road improvements are a key part of making transport sustainable for the future. The A30 goes all the way from London to my home town of Penzance, and part of it runs through villages and has traffic lights. Will the Minister meet me to ensure that improvements to the A30 are included in road investment strategy 2?
ParlaMint-GB_2019-10-24-commons.u9	My hon. Friend has been fighting hard on this issue, and I would be more than happy to meet him, with the Minister of State, Department for Transport, my hon. Friend the Member for Mid Norfolk (George Freeman), who has responsibility for roads.
ParlaMint-GB_2019-10-24-commons.u10	Sustainability also includes safety. Last November, my constituent Priscilla Tropp suffered a fatal fall at Mill Hill Broadway station. Staff did not follow the emergency plans, and people walked over her as she lay dying. At her inquest, Govia Thameslink said it would introduce a new local incident response plan, but that has not been introduced. Can the Secretary of State advise whether that is the responsibility of the Office of Rail and Road, or some other organisation, because sustainability and safety at stations is not happening?
ParlaMint-GB_2019-10-24-commons.u11	I am very concerned to hear about my hon. Friend’s constituent Priscilla and the way that that incident unfolded. Rail safety, in all its forms, is clearly a big concern to Members across the House, and I propose a meeting between my hon. Friend and the Minister of State, Department for Transport, my hon. Friend the Member for Daventry (Chris Heaton-Harris), on this issue.
ParlaMint-GB_2019-10-24-commons.u12	More than half of total carbon emissions in the UK come from cars on our roads, yet so far the UK Government have refused to introduce mandatory E10 fuel, which would reduce emissions. Unlike in Scotland, the UK Government remain wedded to cars that use fossil fuels until 2040. Will the Secretary of State heed the assertion by the Committee on Climate Change that action is required if the UK is to meet its targets for 2025 and 2030, let alone have zero emissions by 2050? What corrective measures will he take, and will he tell us about the exiting new measures that he spoke about earlier?
ParlaMint-GB_2019-10-24-commons.u13	For the record, let me correct the figures given inadvertently by the hon. Gentleman. About a third of emissions come from transport, and about 90% of those are from vehicles. On the specifics, and E10 in particular, yes, I intend to move on the issue very soon.
ParlaMint-GB_2019-10-24-commons.u14	Norway has the highest per capita sales of electric vehicles in the world, and an average of 50% of new cars sold there in the first half of this year were electric vehicles. Second and third in the world are Iceland and Sweden. The UK still hovers at an average of about 2%, although the Secretary of State said 2.6% earlier. Is it not the case that Scotland could fulfil its ambitions and commitments like those Scandinavian countries if it was only independent?
ParlaMint-GB_2019-10-24-commons.u15	The interesting thing about the countries the hon. Gentleman cites is that largely they do not produce cars. It is very, very easy if you are not a car manufacturer to introduce all sorts of measures that essentially mean that only electric cars will be favoured and sold. In this country, we have a big car manufacturing sector and we export 80% of the cars we produce. I am very anxious to move the sector to a faster timetable, but to protect jobs as well as the environment it is a question of doing that at a programmed pace. We have managed to do that so far.
