ParlaMint-GB_2020-03-03-lords.u1	To ask Her Majesty’s Government what assessment they have made of the costs of clinical negligence.
ParlaMint-GB_2020-03-03-lords.u2	My Lords, when people are harmed under NHS care, the impact on their lives and families can be devastating. We have a clear duty to shoulder that responsibility. However, the costs of clinical negligence continue to rise every year at an unsustainable rate, eating into resources that should be available for front-line care. This is despite our substantial safety programmes. We are working across government on solutions to address this and will bring forward a publication in due course.
ParlaMint-GB_2020-03-03-lords.u3	My Lords, I am grateful for the Minister’s very helpful reply. He will be aware that criminal negligence claims are running at about £1.8 billion and forecast in the next few years to go to £3 billion. Is the Minister concerned that, by paying NHS defence legal costs regardless of the outcome of the claim, the Government are creating perverse incentives that reward “deny, defend, delay” behaviours by lawyers?
ParlaMint-GB_2020-03-03-lords.u4	My Lords, the arrangements for clinical negligence payments are currently under review. The National Audit Office made it clear that this should be the focus of a substantial government review programme. We view the current arrangements as completely unsatisfactory, and that review will be published shortly along the terms that the noble Lord described.
ParlaMint-GB_2020-03-03-lords.u5	My Lords, will the Minister consider whether Section 2(4) of the 1948 Act should continue, as it tends to swell these claims for damages? Is there any procedure followed when a particular claim is accepted to see whether the same accident is repeated again, and, if so, what should be done to stop it?
ParlaMint-GB_2020-03-03-lords.u6	I can confirm that, at this stage, there is a wide review going on. The department is looking at a wide range of options, but a repeal of Section 2(4) of the Law Reform (Personal Injuries) Act 1948 is not planned for the moment. He makes a profound and important point about the importance of better understanding when repeated errors are made. Patient safety has been put at the centre of the NHS’s priorities for 10 years. Big improvements have been made, but more can be made in the future. We will be bringing the HSSIB Bill to this House later in the Session.
ParlaMint-GB_2020-03-03-lords.u7	My Lords, many of the negligence cases that are brought forward are down to the shortage of staff within hospitals. If there is a shortage of staff, is that the fault of the hospital or of the Government?
ParlaMint-GB_2020-03-03-lords.u8	The noble Lord has teed up a difficult question for me. The truth is that too often, as my noble and learned friend Lord Mackay said, the biggest payments are made in the area of obstetrics, where lessons should and could be learned, regarding not the shortage of staff but the techniques and responsibilities of those who are concerned. The Government are very determined to put right any gaps in practice in that area.
ParlaMint-GB_2020-03-03-lords.u9	My Lords, further to what the noble Lord, Lord Storey, said, in fact the amount that NHS Resolution has reserved for claims is £83 billion. May I suggest to the Minister that, as well as looking at Section 2(4), which I am sorry to say the Government do not seem to be looking at, they review the question of the discount rate, among other things, which has resulted in such huge claims? They should also bear in mind the effect that these claims have on clinical practice. I declare an interest as having practised in this area for the last 30 years.
ParlaMint-GB_2020-03-03-lords.u10	The noble Lord is absolutely right; the total sum of money for claims on the liabilities book is second only to the potential costs of cleaning up our nuclear industry. He is also right that the discount rate is a critically important part of this extremely complex area. It is true that, in 2017, a change to the personal injury discount rate added significantly to damages awards over and above existing drivers. However, that increase was subsequently unwound in August 2019, following the introduction of the Civil Liability Act 2018, and the Government project that it will partially reduce the impact of PIDR in future claims.
ParlaMint-GB_2020-03-03-lords.u11	My Lords, would my noble friend agree that often, and for short-term economic reasons, health authorities have a tendency to settle low-value claims even though the justification for them is sometimes very slight? Does not this practice encourage further claims, very often backed by no-win no-fee agreements?
ParlaMint-GB_2020-03-03-lords.u12	My noble friend is absolutely correct to emphasise the dangers of no-win no-fee arrangements, and in fact trusts have arranged for lawyers representing personal injury practices to leave the premises of trusts for that reason. However, the Government believe that the fixed recoverable costs consultation that ran in 2017 has powerful recommendations for tackling the issue which he describes, and we look forward to acting on the CJC report, published in October 2019.
ParlaMint-GB_2020-03-03-lords.u13	My Lords, so far, all the questions have related to costs and lawyers and the NHS side. The trauma to patients and to families of extended delays is significant, and some families, particularly in obstetrics cases, take five to 10 years to get a resolution. What will the Government do to speed up the process, keeping patients and their families in mind?
ParlaMint-GB_2020-03-03-lords.u14	The noble Baroness, Lady Brinton, makes exactly the right point. The human cost here is far greater than the financial one. How can it be right that a family that has been through the trauma of some major health disaster then has to stand in court and fight its case against lawyers? This Government are determined to seek to resolve that human cost. This area is extremely complex. Several models have been tried, but we do not have the answers yet. We are working hard to publish a strategy, but I assure the noble Baroness that the human dimension is absolutely uppermost in our considerations.
ParlaMint-GB_2020-03-03-lords.u15	To ask Her Majesty’s Government what steps they are taking to improve the provision of arts and cultural services at (1) local, and (2) regional, level.
ParlaMint-GB_2020-03-03-lords.u16	My Lords, the Government have committed to supporting our vital cultural and creative sectors across the country. In October 2019, we announced a new £250 million cultural investment fund—the largest ever single investment in regional cultural infrastructure, local museums and neighbourhood libraries. DCMS’s arm’s-length body, Arts Council England, invests more than £600 million in arts and culture each year. It is spending more outside London than ever before, particularly targeting places where cultural engagement is low.
ParlaMint-GB_2020-03-03-lords.u17	My Lords, arts and cultural services have been among the first to go as a result of the Government’s policy of austerity, with £400 million cut from local authority spending for England alone since 2011, according to the County Councils Network. Museums have been squeezed, libraries have closed and there has been a significant decrease in serious theatre production originating outside London. Does the Minister not agree that local authority funding remains the most effective means of day-to-day maintenance of the arts? The future will be bleak if the Government do not reverse the cuts. Will they do so? The regions deserve better.
ParlaMint-GB_2020-03-03-lords.u18	The noble Earl is obviously right to reflect on the challenging funding environments faced by local authorities over the past few years, but he will be aware that local authorities across England will see a 4.4% increase—£2.9 billion in real terms—in their core spending power in 2020. Local authorities are extremely well placed to decide how to prioritise their spending. We are clear that expenditure on arts and culture is one of the best decisions that local authorities can make.
ParlaMint-GB_2020-03-03-lords.u19	My Lords, we were told a year ago that there was a plan for business rate relief for music venues, particularly in the regions. When will we get it?
ParlaMint-GB_2020-03-03-lords.u20	I will have to write to the noble Lord on that. I do not have that information.
ParlaMint-GB_2020-03-03-lords.u21	My Lords, I welcome the £250 million cultural investment fund and the allocation of £90 million to the cultural development fund, but the Minister will know that the former focuses on infrastructure and the latter on urban, not rural, areas. Can she clarify plans to improve cultural services in urban areas where there is little in the way of cultural infrastructure and where revenue, not capital funding, matters? Can she say more about how the Government will address the discrepancy in provision between urban and rural areas, which have suffered the most by far as a result of the local authority cuts mentioned?
ParlaMint-GB_2020-03-03-lords.u22	The noble Baroness is right to raise the issue of need in rural areas. The Government are approaching this principally through the lens of ensuring equality of access to cultural provision; we have focused on programmes such as Creative People and Places, reaching more than 3 million people in the areas in the bottom quartile for access. All the funds being looked at at the moment will look through the lens of rural access but our principal aim, in the words of the noble Baroness’s speech the other evening, is to unleash the creative potential of the nation.
ParlaMint-GB_2020-03-03-lords.u23	My Lords, while the provision of arts and cultural services by local authorities is clearly crucial to our society’s well-being, does the Minister share the frustration felt by many of us at the increasingly utilitarian approach taken by schools and further and higher education, which often devalues arts and culture at a time when we know less about what skills will be required in the workplace of the future but we know that the sort of broad vision provided by arts and culture—and, perhaps, religion—will be invaluable?
ParlaMint-GB_2020-03-03-lords.u24	The right reverend Prelate makes an important point. He will be aware that the Government committed in their manifesto to offering an arts premium to secondary schools to fund enriching activities for pupils; we have committed £107 million of funding to that for 2021-22. On careers progression, good work is going on between Arts Council England and the creative industries body to develop apprenticeships, particularly in this area.
ParlaMint-GB_2020-03-03-lords.u25	My Lords, I am sure the Minister is aware of the importance of the creative arts and creative industries to the economy in general. Is she aware of a recent survey showing that 42% of employees in the creative industries generally lack the necessary skills, that 22% of employees in those industries come from overseas, and that 10% came as freelance workers from the EU last year? How does all this fit with the Government’s immigration policy?
ParlaMint-GB_2020-03-03-lords.u26	As the noble Lord knows, the Government have set out a points-based immigration system that will recognise skills and talent rather than the origin and nationality of the individual. The UK’s existing rules permit artists, entertainers and musicians to perform at events. I know this has been a concern of a number of your Lordships.
ParlaMint-GB_2020-03-03-lords.u27	My Lords, the country’s private historic houses welcome—
ParlaMint-GB_2020-03-03-lords.u28	We have not had a question yet. I thank the noble Earl very much. Does my noble friend accept that, where a wonderful purpose-built gallery and grade 2 listed building—such as the Usher Gallery in Lincoln—is at risk, the local authority has a duty to consider every possible means of maintaining it, and perhaps to explore the creation of a trust to which the gallery can be transferred? Does she accept that to deprive people of a gallery that is the most important benefaction the city has ever received would be a very serious step indeed?
ParlaMint-GB_2020-03-03-lords.u29	I hear the concern about the situation in Lincoln in my noble friend’s voice. I feel, however, that it is up to the local authority to look at every possible option, as he says.
ParlaMint-GB_2020-03-03-lords.u30	To ask Her Majesty’s Government what steps they are taking to tackle radicalisation in prisons in England and Wales.
