ParlaMint-GB_2020-03-12-commons.u1	1. What steps he is taking to improve bus services in (a) rural and (b) other areas.
ParlaMint-GB_2020-03-12-commons.u2	11. What steps his Department is taking to encourage more frequent bus services.
ParlaMint-GB_2020-03-12-commons.u3	Our £220 million better deal for bus users includes measures to improve bus services in rural and urban areas. This is together with the new £5 billion fund for overhauling bus and cycle links throughout the country.
ParlaMint-GB_2020-03-12-commons.u4	Towns such as Crook, Willington and Burnopfield in my constituency are starved of late evening and weekend bus services. What plans will the Government bring forward in the next few months to enable those areas to have better services?
ParlaMint-GB_2020-03-12-commons.u5	As I mentioned, there is not only the £220 million fund, but the £5 billion fund, which will enable us to bring forward a comprehensive package of measures, which I hope will significantly boost Durham County Council’s current £347,000 towards the bus service operators grant.
ParlaMint-GB_2020-03-12-commons.u6	My constituents tell me that very often buses come late or do not turn up at all. As we look to invest more in buses, what are we going to do to make sure that the companies delivering the services are doing a decent job for our residents?
ParlaMint-GB_2020-03-12-commons.u7	My hon. Friend is right: it is really important to make these bus services work in a manner where people can just rely on them and where they do not even have to look at a timetable because the frequency is there. As part of doing that, we will be opening up bus open data powers, which will ensure that that information is transferred and available to people at bus stops and in their apps, enabling a much more frequent service to run.
ParlaMint-GB_2020-03-12-commons.u8	2. What steps he is taking to reduce the cost of rail fares.
ParlaMint-GB_2020-03-12-commons.u9	5. What steps he is taking to reduce the cost of rail fares.
ParlaMint-GB_2020-03-12-commons.u10	8. What steps he is taking to reduce the cost of rail fares.
ParlaMint-GB_2020-03-12-commons.u11	9. What steps he is taking to reduce the cost of rail fares.
ParlaMint-GB_2020-03-12-commons.u12	Fares are crucial to funding railway operations and our upgrade programme. We have frozen regulated rail fares in line with inflation for the seventh year running.
ParlaMint-GB_2020-03-12-commons.u13	Given that rail fares have gone up by a massive 40% since 2010, we now have the second most expensive railway in Europe. However, I still have a situation where constituents in the Northwich part of my constituency cannot get a reliable train service—in fact, disabled passengers cannot get one on one side at all. What are the Minister and the Government going to do about that?
ParlaMint-GB_2020-03-12-commons.u14	The hon. Gentleman would probably like to know that 98p of every £1 paid in fares goes back into the railways, which allows investment in all the areas where he would like to see it, including accessibility for his constituents.
ParlaMint-GB_2020-03-12-commons.u15	Under the Conservatives, rail fares have rocketed by 40%. An annual season ticket from Coventry to London is now £5,760, to Birmingham it is £1,400 and to Nuneaton it is £1,200. That unfairly puts rail travel beyond the reach of many of my constituents and it discourages green travel. Privatisation has failed, so will the Government bring our railways into public ownership to slash fares and combat the climate emergency?
ParlaMint-GB_2020-03-12-commons.u16	I am sure the hon. Lady will look forward, as I do, to the issuing of the Williams review, which answers some of the questions she raised, but she should be careful what she wishes for because, today, using a single fare—£7, I believe it is—to go from London to Coventry, a host of Conservative Members are going to campaign in her hyper-marginal seat, at very good value for money.
ParlaMint-GB_2020-03-12-commons.u17	Trade unions represent the hard-working staff on Northern who have had to take the brunt of passenger frustrations as the franchise has collapsed under Arriva Rail North. Will the Minister explain why, with Northern having been taken back into public ownership, the expert advisory panel established to guide the new service through its first 100 days excludes rail unions, the experience and expertise of which could ensure that passengers in the north finally get the rail service that they need and deserve?
ParlaMint-GB_2020-03-12-commons.u18	It is a fair question. The answer is that Richard George, the head of the operator of last resort, is working closely with the unions and will continue to do so, because the workforce is all important to the delivery of a reliable service for passengers.
ParlaMint-GB_2020-03-12-commons.u19	Many Portsmouth people rely heavily on South Western Railway for their daily commute. The service that they receive is substandard, with less than 50% of mainline services operating on time, while rail fares have soared by 2.7%. Put simply, Portsmouth people are paying more but getting less. Will the Minister confirm what steps his Department is taking to address this injustice for my community?
ParlaMint-GB_2020-03-12-commons.u20	I thank the hon. Gentleman for his correspondence and the way that he has engaged with my Department over this issue. He has been representing his constituents on this matter very well. As he knows, a request for a proposal has been issued to the south-west franchise owners, FirstGroup and MTR, and to the operator of last resort. Parliament will be kept informed of those developments. It is all about trying to improve the service for the hon. Gentleman’s constituents.
ParlaMint-GB_2020-03-12-commons.u21	As we have heard, rail passengers throughout the country are struggling with the exorbitant cost of train travel, with fares having risen by a staggering 40% since the Conservatives took office. In stark contrast, Germany has recently cut rail fares, and in Luxembourg public transport has been made entirely free, thereby both supporting families and helping to tackle the climate crisis. The Government used yesterday’s Budget to prioritise once again unsustainable and expensive new roads ahead of support for public transport. When will the Government finally treat this issue seriously and take the urgent action that is needed?
ParlaMint-GB_2020-03-12-commons.u22	I completely get where the hon. Gentleman is coming from, but he should understand that taxpayers already subsidise the rail network by more than £4 billion a year, meaning that 54% of our transport budget is spent on the 2% of journeys that the railways account for. He mentions Germany, which has cut rail fares, but to do that Germany cut the VAT on rail fares from 19% to 7%; he might like to know that we charge no VAT on rail fares in this country.
ParlaMint-GB_2020-03-12-commons.u23	Question 18, Mr Speaker. [Interruption.] Will my hon. Friend give an indication of his estimate for completing the new airports national policy statement? Will there be sufficient time to take into account—
ParlaMint-GB_2020-03-12-commons.u24	Order. It has to be linked to the question that you were standing for. Do not worry; we will come back later.
ParlaMint-GB_2020-03-12-commons.u25	I note that the questions that my honourable and hairy friend has answered so far were about reducing the cost of rail fares, but that implies that either more people must make more journeys by rail, or taxpayers generally, such as those in Lincoln, must subsidise the rail industry more. Which would my hon. Friend prefer? Does he have any plans to improve the franchise process to make bidding for them more attractive to businesses?
ParlaMint-GB_2020-03-12-commons.u26	We are going to change the franchise model—the Williams review is absolutely going to change how our franchise model operates—but my hon. Friend will have to wait a bit longer to see how that is going to happen. We have strong views on the direction of travel and look forward to informing the House shortly.
ParlaMint-GB_2020-03-12-commons.u27	It is important to have affordable rail fares so that residents can access our railways, but many of my constituents do not have any access to trains at all because they do not have a local train station. The people of Gamesley were promised a railway station more than 50 years ago, but it has still not been delivered. Will the Minister meet me to discuss the bid for Gamesley train station?
ParlaMint-GB_2020-03-12-commons.u28	My hon. Friend wisely highlights a proposal that will be considered among the bids for the Restoring Your Railway fund. I would be delighted to meet him to talk about it.
ParlaMint-GB_2020-03-12-commons.u29	The Secretary of State is already aware of how unhappy my constituents who use Lockerbie station are—after fare increases, they have seen an appalling level of service from TransPennine. TransPennine has now made certain commitments to improve the service; what can the Department do to ensure that it meets those commitments?
ParlaMint-GB_2020-03-12-commons.u30	The Secretary of State and I met the TransPennine leadership not so long ago to put the very points that my right hon. Friend has just made. As he knows, there has been quite a big change at the head of that franchise. We are working with the new management to ensure that the new trains operate correctly and that the service his constituents would like is actually delivered for them.
ParlaMint-GB_2020-03-12-commons.u31	While rail fares remain too high, the cost of disruption to our commuters when services go wrong, as is so often the case with Southern, is considerable. Although Delay Repay has been helpful, it does not reflect the true cost of taxis, hotels and loss of work that our constituents have been suffering. Can the Minister tell us whether the new ombudsman is going to tackle the issue and make sure that we have a compensation scheme that accurately reflects the costs that our commuters and constituents suffer?
ParlaMint-GB_2020-03-12-commons.u32	It is absolutely true that there are huge numbers of delays and cancellations on our railway on a daily basis. That completely disrupts people going to work and kids going to school, and it also affects students and people just socialising. Different plans are being mooted. The Williams review will have a fuller plan, on which I will be able to communicate with my hon. Friend.
ParlaMint-GB_2020-03-12-commons.u33	People who live and work in Nottingham need Ministers to do something about fares, sooner rather than later. Highways England’s partial closure of the A52 Clifton bridge is making their car journeys unbearable, and we urgently need more people to use trains, trams and buses to get into the city. Will the Minister or one of his colleagues meet me and other hon. Members representing constituencies in and around Nottingham, to discuss how the Department and Highways England can support Nottingham City Council and its efforts to get our city moving during this serious disruption?
ParlaMint-GB_2020-03-12-commons.u34	Again, the hon. Lady raises valid points on behalf of her constituents. I or perhaps another appropriate member of the ministerial team will be delighted to do that.
ParlaMint-GB_2020-03-12-commons.u35	3. What steps he is taking to improve bus links in North Warwickshire.
ParlaMint-GB_2020-03-12-commons.u36	The bus market outside London is deregulated, with service provision being a matter for bus operators and local authorities. We are, however, providing £5 billion of new funding to overhaul buses and cycling across the country.
ParlaMint-GB_2020-03-12-commons.u37	The reality in predominantly rural North Warwickshire is that I can get to London quicker by train than it takes for me to travel by bus from outside my house to my constituency office just 6 miles away. The situation makes it really difficult for people to get to hospital appointments, to work, to school and, as I found out last week, to Jobcentre Plus appointments. What can we do to reinvigorate transport across North Warwickshire and Bedworth so that my constituents can access the fantastic opportunities that this Government are keen to deliver as part of their levelling-up agenda?
ParlaMint-GB_2020-03-12-commons.u38	I understand my hon. Friend’s frustration. I am pleased to say that the Government have launched two schemes that are relevant to North Warwickshire. The first is a call for an expression of interest in a £20 million rural mobility fund to support innovative solutions to transport problems in rural areas, and the second is the allocation of £30 million to every local authority in England to support new bus services or replace lost services.
ParlaMint-GB_2020-03-12-commons.u39	4. What steps he has taken to help avoid the spread of covid-19 on public transport.
ParlaMint-GB_2020-03-12-commons.u40	We have published health guidance for staff and the transport sector, following carefully the Public Health England advice on protocols. In addition, I have contacted the various ports on several occasions.
ParlaMint-GB_2020-03-12-commons.u41	As the Secretary of State knows, the World Health Organisation has declared covid-19 to be a pandemic. Will he clarify what new measures will be taken to keep passengers and transport workers safe on public transport?
ParlaMint-GB_2020-03-12-commons.u42	The hon. Gentleman is absolutely right. Obviously, the issue of covid-19 is occupying the minds of everybody in this country at the moment. As an example, 2,500 posters—digital as well as printed—have gone up in our railway stations. There is a very wide programme of enhanced engagement, and we are working with the Public Health England protocols. Yesterday I met the chief executive and chair of Network Rail to discuss the subject. The Under-Secretary of State for Transport, my hon. Friend the Member for Rochester and Strood (Kelly Tolhurst), who has responsibility for aviation, and I have also had similar discussions with all the aviation industry leaders.
ParlaMint-GB_2020-03-12-commons.u43	Yesterday, we saw welcome support in the Budget for small and medium-sized enterprises to deal with coronavirus, but ferry companies and airlines are very much at the forefront of that challenge. What financial support and liquidity are available to these companies? Will the Secretary of State update the House on what progress he has made on reforming slot allocation, and will he meet me and sector representatives to discuss the adequacy of the Government’s support so far?
ParlaMint-GB_2020-03-12-commons.u44	My hon. Friend was absolutely right last week to raise the issue of the so-called ghost flights; I think he was the first person to raise the matter in this House. I have since written both to the slots allocator in this country, Airport Coordination Limited, and to the European Commission, which has indicated that it will alleviate those slots to stop empty flights flying. My hon. Friend is also right about the pressure that the airlines are under, and we are doing further work with the Civil Aviation Authority and the EU, particularly over EU regulation 261. I would be very happy to meet him to discuss the matter.
ParlaMint-GB_2020-03-12-commons.u45	6. What steps he is taking to increase bus patronage.
ParlaMint-GB_2020-03-12-commons.u46	The Bus Services Act 2017 introduced powers for local authorities and operators to work to grow their patronage. That is in addition to the £5 billion national bus strategy that I just mentioned.
ParlaMint-GB_2020-03-12-commons.u47	Will the Secretary of State back the “Bring Back the Buses” campaign to reconnect communities and isolated villages in my area that have lost their services?
ParlaMint-GB_2020-03-12-commons.u48	Yes, I will gladly back that campaign. Everyone recognises that buses could and should be doing a lot more. I recognise that we have lost services over a period of time. Buses are still the chosen form of transport for 50% of travel, so it is important that we get this right. Even going back as far as 2017, we were passing legislation to ensure that franchises can work in conjunction with local authorities, and those processes are going into place. We want to see the London standard of bus service everywhere in the country.
ParlaMint-GB_2020-03-12-commons.u49	As we have heard, the Government like to say that they support bus travel. However, they have cut bus funding for supported bus services by 45% since 2010. To make matters worse, the Chancellor has just announced 27 times more spending on new roads than on supporting buses and local transport. Will the Secretary of State tell the House when the Government will finally stop paying lip service to public transport, and actually provide the investment that bus passengers so urgently need?
ParlaMint-GB_2020-03-12-commons.u50	I am surprised that the figure 5 with “billion” after it did not answer the hon. Gentleman’s question. We are not just paying lip service; we are doing it. What he does not seem to understand about building roads is that buses run on them.
ParlaMint-GB_2020-03-12-commons.u51	Of the £250 million in direct revenue support for bus operators, just £43 million goes to local councils outside London. We are going to need a lot more than that if we are going to reinstate local bus services in rural areas, aren’t we?
ParlaMint-GB_2020-03-12-commons.u52	My hon. Friend is absolutely right, and that is where the £5 billion national bus strategy, which we will be publishing shortly, comes in. Our aim is quite simply to get to a London standard of service throughout the country, including in rural areas and his constituency.
ParlaMint-GB_2020-03-12-commons.u53	For £1.50 in London—which the Secretary of State mentioned—I can get two buses anywhere across the capital for up to 30 miles. In Newcastle, £1.50 will not even get me three stops up the West Road, while if I want to go to Ashington, which is 18 miles away, it will cost me £8. Can we have a comparative study of bus fares in London and the north-east so that we can understand what we need to do to make them fairer and improve bus patronage?
ParlaMint-GB_2020-03-12-commons.u54	The hon. Lady is absolutely right. I can assure her that that is exactly the process that we will be following in developing the national bus strategy, and I would be more than happy to work with her and incorporate her ideas. We can argue about the past, but it sounds to me that we both want to see bus services that are excellent for all our constituents, so I completely agree with her.
ParlaMint-GB_2020-03-12-commons.u55	Does the Secretary of State agree that, to get more people on the buses, we need to make them cleaner and greener? In that vein, what is the Secretary of State doing to promote the use of hydrogen?
ParlaMint-GB_2020-03-12-commons.u56	My hon. Friend is absolutely right. We want buses that are cleaner and greener. We want them to be the right temperature—air-conditioned in summer, and warm in winter—with 5G plug-in points for phones. And we want to have electric buses—4,000 of them, with this new money. These new buses can be electric or, indeed, hydrogen powered, like the buses being developed by Wrightbus in Northern Ireland. We warmly welcome all such developments. My hon. Friend can be reassured that we are working closely with bus operators to develop new British buses.
ParlaMint-GB_2020-03-12-commons.u57	7. Whether he plans to take into account the Paris climate change agreement in future decisions on airport expansion.
ParlaMint-GB_2020-03-12-commons.u58	The Court of Appeal judgment on the airports national policy statement is complex, and we will set out our next steps in due course. This Government remain supportive of airport expansion, but we will permit it only within our environmental obligations.
ParlaMint-GB_2020-03-12-commons.u59	From “No ifs, no buts, no third runway”, to engineering a trip to Afghanistan to skip the vote, the last three Prime Ministers have started off very clear on Heathrow expansion and then obfuscation and U-turns have set in. Why do not the Government take the opportunity of the Court of Appeal ruling that expansion is incompatible with our Paris climate accord obligations and make this dead and buried once and for all, and also review the other 21 planned airport expansions?
ParlaMint-GB_2020-03-12-commons.u60	As I have already outlined, the Government are, and remain, supportive of airport expansion where we are able to deliver it within our environmental obligations. I must point out to the hon. Lady that the Court did not conclude that airport expansion is incompatible with climate change. As I have already outlined, we are reviewing this complex judgment and will lay out our next steps soon.
ParlaMint-GB_2020-03-12-commons.u61	In the light of the Court of Appeal’s decision, the Government were wrong to deny the relevance and application of the Paris agreement. Do the Government now accept that their overriding obligation is one of compliance with our Paris accord commitments in reducing emissions, meaning that their national policy statement on aviation has to be revisited and revised, and that they should be saying no to climate-busting expansion at Heathrow?
ParlaMint-GB_2020-03-12-commons.u62	I can understand the concerns that many hon. Members may have around the Government’s next steps. That is why we have outlined that it is currently an ongoing legal process. We have said that we will review the judgment, which is complex, and set out our next steps. As I have already outlined, the Court did not judge that the airport expansion is incompatible with climate change. But we will obviously update the House as soon as possible on any future steps that we will be prepared to take.
ParlaMint-GB_2020-03-12-commons.u63	The Court of Appeal said that it was illegal In the midst of a climate crisis, the Chancellor announced the biggest-ever programme of road building—a £27 billion splurge that will increase car use, worsen congestion, and increase climate emissions. In anticipation of legal challenges, as with airport expansion, and before the Government go any further, can they confirm that the roads programme has been subject to rigorous environment impact assessments and complies with our Paris agreement obligations?
ParlaMint-GB_2020-03-12-commons.u64	Yes.
ParlaMint-GB_2020-03-12-commons.u65	The climate emergency concerns us all, and the aviation sector faces a particularly tough challenge to decarbonise, whether or not additional airport capacity is added in the south-east. However, we cannot shirk that challenge, so I am proud that Loganair, based in my constituency, is currently working to provide passenger services using electric planes to help to tackle our climate change targets. In Scotland, these targets include aircraft emissions. Will this Government match that level of transparency and honesty, and include emissions in their targets?
ParlaMint-GB_2020-03-12-commons.u66	I thank the hon. Gentleman for outlining his particular interest and his understanding of the situation within Scotland. As he will know, Sustainable Aviation has committed to delivering on its net zero target.
ParlaMint-GB_2020-03-12-commons.u67	As the Minister has outlined, progress has been made with new engine technology continually setting new standards of efficiency and reducing carbon emissions, and there is huge research and development in the sector right now. Given that background, plus the fact that it may cost up to 10 times more, and that it is one of just two bodies whose regulations are followed the world over, replacing the European Aviation Safety Agency properly may take up to a decade, and recruiting the expertise required will be extremely difficult. Does the Minister not realise that leaving EASA is an act of sheer folly that is putting Brexit politics before passenger safety?
ParlaMint-GB_2020-03-12-commons.u68	I thank the hon. Gentleman for his question. He will know—I believe he spoke about it last week—that we will potentially see the first electric flight this year. We have invested £300 million in the future flight challenge fund. We are committed to working with everyone across the industry to ensure that we have the technology and the skills and can deliver on our target.
ParlaMint-GB_2020-03-12-commons.u69	10. What steps his Department is taking to support the roll-out of charging infrastructure for electric vehicles.
ParlaMint-GB_2020-03-12-commons.u70	As the Chancellor announced yesterday, the Government are providing an additional £500 million over the next five years to support the roll-out of a fast charging network for electric vehicles, ensuring that drivers will never be further than 30 miles from a rapid charging station.
ParlaMint-GB_2020-03-12-commons.u71	I thank the Minister for that answer. I commend the Government on the progress that has been made on charging infrastructure over the last decade, from dozens to hundreds and now thousands of charging points; that challenge is being well met. My concern is that, even with the current grants, the purchase price of electric vehicles is still out of reach for most people on lower incomes. Does she agree that, if we are to see more electric vehicle use in the years to come, the purchase price of electric vehicles is equally as important as the availability of charging infrastructure?
ParlaMint-GB_2020-03-12-commons.u72	I thank my hon. Friend for his remarks about the Government’s support. It is right that the Government are committed to supporting the up-front cost of an electric vehicle. That is why I am pleased that, at yesterday’s Budget, a further £532 million of funding was announced to keep the plug-in vehicle grant for another three years. He will know that those with fully electric cars will pay no company car tax this year, and vehicle excise duty for all electric vehicles in all price brackets has been abolished.
ParlaMint-GB_2020-03-12-commons.u73	The extension of the plug-in taxi grant until 2022-23 is welcome. That works for bespoke vehicles, but what about cities such as Cambridge, where the city council rightly expects higher standards, but for hard-pressed drivers, the cost of the vehicles is prohibitive, as the hon. Member for Windsor (Adam Afriyie) said? What are the Government doing to help them?
ParlaMint-GB_2020-03-12-commons.u74	I thank the hon. Gentleman for his question and for what is happening in Cambridge. He will know that a range of support is available for all vehicles, including taxis that want to upgrade to electric vehicles, and the Government are committed to continuing the funding for those grants.
ParlaMint-GB_2020-03-12-commons.u75	I wonder whether the Minister could help me with the next vehicle I should buy. I used to drive a petrol car, then Dave persuaded us all to go green, so I bought a biofuel car, which was destroying the planet, so they said, “Buy a diesel car because it emits less CO2,” so I bought a diesel car, and now I am poisoning people. An electric vehicle might be the solution, though it might be terrible because of the batteries, but I live in a flat both here in Westminster and in my constituency, so an electric car is not the answer. Is it a diesel car with AdBlue? Help me!
ParlaMint-GB_2020-03-12-commons.u76	I am delighted to assist my hon. Friend. I encourage him to think about purchasing an electric vehicle. The answer is to ensure that there are charging points at his block of flats and across the country. In fact, the Government have doubled the funding available to local authorities to install charging points for electric vehicles on-street, to £10 million. I am sure that that will assist him.
ParlaMint-GB_2020-03-12-commons.u77	Or he could get roller-skates!
ParlaMint-GB_2020-03-12-commons.u78	13. Whether he plans to make road network national policy statements compatible with the UK’s commitments on climate change.
ParlaMint-GB_2020-03-12-commons.u79	We take our commitment to climate targets seriously. We have one of the world’s most ambitious plans for reducing carbon emissions from our roads, and our infrastructure policy is entirely consistent with that.
ParlaMint-GB_2020-03-12-commons.u80	Does not the decision on Heathrow demonstrate that the Government need to upgrade their statements in the light of climate change, otherwise there is a danger that their massive expansion of road building will get bogged down in legal challenges?
ParlaMint-GB_2020-03-12-commons.u81	As the hon. Gentleman will know, the Court of Appeal judgment on Heathrow is a very complex issue. Our road policy contains many elements, including a plan for decarbonisation, funding to improve public transport and plans for road improvements. That balanced package is entirely consistent with reaching net zero, which is what the Government are committed to doing.
ParlaMint-GB_2020-03-12-commons.u82	14. What plans he has to reduce the number of people affected by aircraft noise living (a) near and (b) under Heathrow airport flight paths.
ParlaMint-GB_2020-03-12-commons.u83	The Government’s airspace modernisation programme should allow aircraft to climb more quickly and descend continuously, which will have a noticeable noise reduction benefit for communities overflown by Heathrow flights.
