ParlaMint-GB_2020-03-24-lords.u1	That the Bill be now read a second time.
ParlaMint-GB_2020-03-24-lords.u2	My Lords, I bring this Bill to the House with a huge sense of regret about the challenge we are facing and foreboding about the cost to the country of this terrible virus The Bill contains key administrative measures that are absolutely essential in helping us to fight the pandemic. It is not everything that we are doing, but it is essential for what we are doing. I am deeply conscious that many Peers are not present for the debate, because they are, quite rightly, following the official medical advice on social distancing and isolation. We have sought to give this Bill a proper level of scrutiny during our extensive engagement. In my remarks, I intend to reflect on some of the concerns that absent noble Lords have raised with me in recent days Before getting into the detail of the Bill, let me start by taking a step back and saying a word about its purpose. Fundamentally, this Bill is about buying time. You might not think it from looking at those alarming graphs charting the growth of the disease, but time can help us. With each day that passes, the science gets better. Each day, the models are refined and improved as more data becomes available. Each day brings us closer to faster, more accurate testing capabilities and, ultimately, a vaccine. The infection rate is exponential, but so too is our scientific understanding Many commentators have been drawing comparisons between the current pandemic and the grave situation facing our country in 1940. There is value in that, but the historical parallel I would draw is that of the Great War. In 1914, the military planners relied on tactics and technology that would have been familiar to Napoleon. By 1918, the tactics developed would have been recognisable to a veteran of the Gulf War. The learning curve was exponential. I believe it will be the same with this pandemic. Think how little we knew about coronavirus back in December. The genome had not been sequenced, there was no serology test to tell you if you had already been infected, and we did not even know whether there was human-to-human transmission. Imagine what we will know in six months’ time, once the world’s most advanced economies, including our own, have applied their best minds to solving this problem I am an optimist. I am hopeful about our ingenuity and the progress we can make in fighting this virus. That is why time matters. Each day that we can slow the rate of transmission is a small victory that will lead to the ultimate defeat of the virus. We need to buy time for the NHS, flattening the infection curve and raising the capacity line, moving the peak away from the most dangerous winter months. We need to buy time for our society too, saving as many lives as possible and keeping essential public services running as we weather the storm. That is our plan and that is what this Bill contributes to There are five main parts to the Bill, and I will take each in turn. The first part is about increasing the available health and social care workforce, shoring up the system as far as possible as it comes under pressure. It allows for the temporary registration of NHS staff and social care workers, for instance those who may have recently retired. It allows recently retired staff to return to the NHS and social care without a negative impact on their pensions. It provides additional indemnity cover, if necessary, to key workers who are called upon to undertake additional duties as part of the response, and it protects the income and employment rights of our dedicated army of NHS volunteers. I know that everyone wishes to thank each and every one of those NHS and social care workers, who are going above and beyond on behalf of the country. We can thank them with deeds as well as words: not buying more than we need, not taking public transport if it is not essential, staying at home to protect the NHS The second part of the Bill concerns measures to keep essential services running while easing the burden on front-line staff. This includes introducing flexibility into education legislation, such as temporarily allowing for larger class sizes once schools reopen. It includes expanding the circumstances in which audio and video can be used in the court system. It allows the Home Secretary to suspend airport and port operations if the level of Border Force staff falls below a safe level. To ensure that the Treasury can transact its business at all times, it allows a single Minister or commissioner to sign or act on behalf of the others The Bill also ensures that our national security investigatory powers regime remains fully operational during the course of the epidemic, allowing for the temporary appointment of additional judicial commissioners who can sign off vital investigation warrants for our police and security services. Such appointments will be made only at the request of the Investigatory Powers Commissioner. It also allows the Home Secretary to extend the lifespan of a warrant from five to 12 days. Again, this power would be activated only at the request of the Investigatory Powers Commissioner Because of the unprecedented pressure on front-line staff, there are some areas where we will have to temporarily relax strict legal requirements for the duration of the emergency. We do not take these measures lightly; they will be triggered only in order to keep people safe and on the basis of expert clinical advice, and they will be relinquished as soon as the danger period has passed. The Bill will allow mental health professionals to secure the advice of one doctor, instead of the usual two, when applying to detain a person with a mental health disorder for the protection of themselves or others. These clauses also allow for flexibilities in the time limits governing the short-term detention of mental health patients. These emergency powers would be activated only in circumstances where there were so few mental health staff available that having to wait for a second doctor would endanger patient safety. Even when enacted, the powers would be used only at the discretion of local mental health trusts, and they would be switched off by government as soon as reasonably possible NHS England and NHS Improvement are currently preparing detailed guidance setting out the exact circumstances in which such powers would be used. During the peak period, we also need to ensure that patients are rapidly discharged from hospital when they are medically fit to be. The Bill supports this by allowing the NHS and local authorities to delay continuing healthcare assessments, which can take weeks, until after the pandemic. People who need this support will still receive NHS funding in the interim, but it will mean that local authorities might not meet all the individual’s assessed care needs in full. Instead, under powers in this Bill, local authorities will be required to prioritise people’s most urgent and serious needs and keeping people safe Local authorities will still be expected to do as much as they can to meet everybody’s needs during this period, and this will be underpinned by a duty for them to meet needs where not doing so would breach an individual’s human rights. Again, these powers would be triggered only in circumstances in which staff shortages meant not prioritising was putting vulnerable people in danger and they can be switched off while still in the emergency period if circumstances allow. In any event, they would last only for the duration of the emergency The third part of the Bill contains measures for delaying transmission of the virus. It gives us the power to restrict or prohibit events and public gatherings and, where necessary, to shut down premises. I know that this will not be easy, particularly for our world-leading creative industries. Yet I have no doubt that the months and years after the pandemic will be a time of extraordinary cultural flourishing for our nation. Consider that William Shakespeare wrote “King Lear”, “Macbeth” and “Antony and Cleopatra” while London theatres were shut down because of plague in 1606. This part of the Bill also allows us to close down educational settings or childcare providers and gives us the power to postpone elections due to take place this year in England until May 2021 To ensure enforcement of the public health advice, this part of the Bill strengthens the isolation powers of the police and immigration officials, allowing them to detain those at risk of spreading the virus for screening or assessment and to isolate people if necessary. The police or immigration officials would use these powers only in cases in which they had reasonable grounds for thinking that an individual was at risk of spreading the virus, such as due to their travel history or symptoms. It goes without saying that the powers will last only for the duration of the public health emergency. I sincerely hope that they will not have to be widely used because everybody will follow the public health advice, if not to protect themselves, to protect others and the NHS The fourth part of the Bill is about managing the deceased. These are not pleasant matters to think about but, as the Health Secretary has said throughout this crisis, we must plan for the worst and work for the best. It expands the list of people who can register a death to include funeral directors. It means that coroners have to be notified only when there is no medical professional available to sign a death certificate. It allows death certificates to be emailed instead of physically presented and removes the need for a second confirmatory medical certificate in order for a cremation to take place All of this is designed to ensure that the deceased can be treated with dignity and respect at a time when bereaved families may be self-isolating and many of the professionals who would normally be involved in the process may be unwell. In extreme circumstances, if the level of mortality were to overwhelm the capacity of local funeral services, the Bill contains powers that would allow local authorities to take control of parts of the process. This could include operating crematoria for longer than usual or drafting in parts of the wider public sector to assist. It would be triggered only if there were a risk to public health from not acting The fifth part of the Bill contains measures to support people to get through this crisis. It will ensure that statutory sick pay is paid from day one, applying retrospectively from 13 March. It enables small businesses with fewer than 250 employees to get a full refund for sick pay relating to coronavirus during the course of the emergency. It requires industry to provide information about food supplies should it fail to do so voluntarily Lastly, the Bill contains clauses that will make it easier to make changes to national insurance contributions, giving us the freedom and the tools to respond to a changing situation if necessary This is a Bill for the whole country, jointly agreed by all four Governments of the UK. We understand that it significantly increases government power in some areas, while temporarily scaling back some areas of government responsibility. This is why the Bill has been constructed in a way which means that the different measures can be switched on and off as the clinical situation requires. We have tabled an amendment to give this House an opportunity every six months to confirm that these powers are still required. This gives us the flexibility to respond to the course of the disease. The Bill also requires Ministers to update Parliament regularly on how these powers have been used across the UK. Finally, the Bill will expire after two years unless Parliament decides to extend it This is an extraordinary Bill for an extraordinary moment in the history of our country. It gives us the legislative and regulatory toolkit that we need to respond to a constantly evolving situation. It balances public safety with democratic accountability. In a situation where time is the most precious commodity, it gives us more time. I beg to move.
ParlaMint-GB_2020-03-24-lords.u3	My Lords, I thank the Minister for his clear description of the Bill and the openness with which he has treated our team engaged in it; personal trust is very important in these matters. I declare an interest: my youngest son is a doctor in an NHS hospital in London, which is now almost exclusively devoted to treating those with Covid-19 Her Majesty’s loyal Opposition support this Bill. In normal times, it would be utterly unacceptable, but these are not normal times. As long as the emergency lasts and these powers are necessary, they should be available to the Government. We also support the instructions, to be backed subsequently by legal enforcement powers, that the Prime Minister announced last night. Inevitably, more detail is needed about the measures announced by the Prime Minister, but there is no doubt that there needs to be immediate compliance by the public with the “stay at home” message. Legitimate issues about the limits do not detract from the Government’s message to the country: stay at home unless you have a very good reason for leaving. Can the Minister provide details of the legal powers that will be introduced to back up the Prime Minister’s message last night? When will they be introduced and what is the basis for them Again, we in the Opposition will assist as necessary in ensuring that effect can be given to the Prime Minister’s statement. The Bill before us today can be improved to make it more effective in fighting the virus, to give more support to those on the front line in the struggle and to provide better economic security for the public. We recognise that full scrutiny cannot be given to the Bill—the needs are too urgent and the time too short. We will focus on the key issues and table only a small number of amendments in Committee tomorrow. In these circumstances, the right course for the Opposition is to assist in getting the Bill on to the statute book with focused amendments on the key issues, but also to ensure that each power lasts only as long as is necessary to fight the virus and that there are regular time-restricted limits on its continuation. If it needs to continue beyond the sunset clause, the time before sunset should be taken to improve it, as, inevitably, time will reveal it can be improved Parliament has a critical role in the weeks and months to come in legislating, scrutinising the Government and providing national leadership. It cannot function as normal: we cannot meet like this, debate like this and do our job like this as the crisis develops. We need urgently to work out remote and different ways of doing our job—but our job is to hold the Government to account, to provide national leadership and to legislate when the country needs it. The country will need more scrutiny, more leadership and more legislation than it has at the moment. In this national effort, we need to ensure that the Government are moving fast enough and clearly enough, and that they are giving the right leadership. We will press hard to achieve that. There need to be clear messages to be public and they need to be well publicised. The Government need to recognise that doing their best to alleviate the most acute economic anxieties for the employed, the self-employed and those in the gig economy alike is vital to deliver compliance with those messages. We will press hard to ensure that proper security is given and that the Government move as fast as they should We are very conscious that part of what the Government must do is to ensure that the public comply with their instructions to stop the virus spreading. We in opposition must take especial care not to undermine the chances of those instructions being acted upon. We are under no illusions that an epic struggle is currently being waged on all our behalf by the NHS. Hospitals up and down the country have been reconfigured incredibly fast to fight the Covid-19 virus. Large teaching hospitals have devoted whole floors to the disease. Smaller district hospitals have effectively reduced their non-Covid-19 workload as much as possible to accommodate the cases and become largely Covid-19 hospitals. Medical staff have had in many cases to reskill from their normal specialties. They are seeing a frightening influx of patients with the disease that is growing every day. The risk to medical staff is significant. If the patients are hospitalised, they will have a serious illness with Covid-19, and those patients deteriorate often very rapidly and are then required to be moved to ITU and ventilation. The demands on the NHS staff are immense; the pressure is huge To ensure that staff have access to all the personal protective equipment they need, make sure that they are all trained in the use of PPE, and to start to test all NHS staff to see whether they have or have had the virus when the antibody testing becomes available are critical measures. It has taken too long to sort out the PPE issues, and the testing of NHS staff has not started. Can the Minister give us an update on the testing capacity and how it is to be rolled out The debt of gratitude we owe as a country to the NHS staff engaged in this struggle is incalculable. When the history of this appalling period comes to be written, they will be the true heroes. The rest of us— parliamentarians, Ministers and members of the public—must not let them down. The risk by now is very well known that the NHS will be overwhelmed by the number of cases. There will not be the staff, critical care beds or ventilators to deal with the pandemic. We must do everything to ensure that that does not happen I also recognise and pay tribute to the work being done in central government to craft our response to this crisis. The pressure on them is immense. We have an excellent Civil Service, which has worked on as the illness has reduced its number. This is a collective battle; we fight as one nation. The co-operation with the devolved Administrations has been close and effective. I pay tribute to them for the incredibly impressive work they have done The noble Lord, Lord Bethell, told us yesterday that there are currently 3,700 critical care beds and that the total usage was currently 2,428, of which 237 are Covid-19 related. He told us that the Government’s ambition is “to increase this dramatically to perhaps 30,000 in time for the crisis arriving in full.”—[Official Report, 23/3/20; col. 1634.] Will he update the House as to the number of critical care beds currently available, what the total usage is, how many are being used for Covid-19—that is, the increase from yesterday—and the dates on which the increase of 25,000-plus are expected to come on stream On the detail of the Bill, my noble friend Lady Thornton will deal in her speech with issues relating to the health and social care workforce, the reduction of administrative burdens, and financial support. There are education issues, which my noble friend Lord Watson will deal with. I will deal with the other issues First, on the sunset clause, there is understandably huge pressure to get the Bill into law so that the Government have the necessary powers to tackle the coronavirus pandemic. Given these circumstances, a sunset clause is necessary and vital, and a prudent mechanism. The position is that there is now a two-year sunset clause, but a power in the Commons to stop the continuation of the Bill after six months, 12 months, 18 months and two years Moreover, there is provision for a debate in both Houses and the power to stop after 12 months. That power, the six-month power, is an all-or-nothing one. It is inevitable that some of these provisions will work while others will not. Can the Minister indicate why there is no power to stop some of these powers at six months, 12 months and 18 months as we learn more about how they are working? Will the Government consider whether they would introduce such a power I move from the sunset clause to the provisions for containing and delaying the spread of the virus—social distancing. The Bill sets out provisions to restrict potentially infectious people from being in contact with each other as well as a power to restrict or prevent them from moving around, or to detain them. It also contains powers to prevent events and gatherings, to close premises and to restrict port activities. It does not contain powers to stop people going to work or to stay in their homes, which were the key measures announced yesterday. We would be willing to assist in incorporating those powers. Can the Government tell us what their intentions are On immigration, can the Minister indicate what the Government are doing to maintain the health and safety of people currently detained in immigration detention centres? Can he also confirm that people will not be held in detention centres if they cannot be removed due to airport closures and travel restrictions related to the coronavirus I turn to the courts. We broadly agree with the provisions related to increasing the circumstances in which video links can be used. Can the Minister give an assurance that they will be used only in the interests of vulnerable defendants and those who are digitally excluded? Will those who are unable to get legal advice be properly protected I would be grateful if the Minister would touch on the issue of prisons. What is happening there gives rise to especial difficulties. Can he indicate what is being done in relation to the prison population? Can he further confirm what powers the Government have to deal with this position and what are their intentions in relation to the exercise of those powers? The Bill contains measures related to the management of death. We understand that there may be reduced capacity to register and manage deaths as a result of the pandemic and that it may be necessary to relax the rules around the registration of deaths and cremations to ease the burden on the NHS and to deal with the issue. Again, we agree to these, but only for as long as the emergency lasts. The House will be aware that concerns have been raised about how cremations could conflict with some religious teachings. Cremation is forbidden in Islam and Judaism, and therefore the possibility of forcing a cremation on a loved one from those communities would add further anguish and trauma to bereaved families who may themselves be in self-isolation. We understand that these provisions are designed to deal with a potential surge in deaths and a lack of grave space capacity. What steps will the Government take on this? In particular, are there plans to consult the deceased person’s family and local faith representatives to find suitable alternative arrangements I turn to supporting the homeless. The coronavirus outbreak presents specific risks to the homeless because they are a high-risk group. Rough sleepers and those living and sleeping in shared spaces such as hostels, night shelters and day centres are at particular risk as they are unable to self-isolate. Further, these services cannot close down because the people they support are then forced back on to the streets where they are at even greater risk. Can the Minister indicate what steps the Government are taking as regards the homeless in light of the announcement last Friday that the Welsh Government will make £10 million available to Welsh councils in order to block purchase rooms in hotels, bed and breakfasts and student accommodation to act as additions to the existing provisions for the homeless? Are the Government doing the same in relation to England The Bill contains provisions related to the giving of information about food supplies. The public are understandably worried about perceived shortages of essential products, empty shelves and securing online delivery slots. The supermarkets are doing all the right things, including redeploying their existing staff and hiring new team members to ensure swift restocking where supplies exist, as well as establishing schemes to assist the elderly and key workers Supply chains are stepping up their efforts to ensure that sufficient quantities of essential products are available for sale. These efforts are appreciated and will continue to be vital in the weeks ahead The Bill includes powers to compel food supply chain operators to provide information on, and assessments of, any disruption to food supplies. We understand that such information is currently being provided voluntarily, meaning that it is intended as a reserve power. We agree with this approach but note that it does not, in itself, do anything to guarantee the availability of food and other items. What discussions are the Government having with supermarkets and supply chains to maintain public confidence We will explore all these issues in Committee. We will play our part in supporting the fight against this virus. Sometimes, that will involve telling the Government that they are wrong; always, it will involve giving the country confidence that we in the Opposition—and we in Parliament—are working together as best we can to provide security and safety for the country, which rightly expects the best from us. We are determined to give it.
ParlaMint-GB_2020-03-24-lords.u4	My Lords, we meet today in truly extraordinary and worrying times. The pace at which the pandemic has spread and the range of measures which are now widely accepted as necessary to fight it are unprecedented. As a result, we are not just faced with this Bill but must consider how we as a Parliament operate in the weeks and months ahead. If we are to work effectively, we have to reconsider all our ways of doing things We on these Benches of course support the Bill but, as we do so, we need to be clear what we see as the role of Parliament in the period ahead. It seems to us crucial that we maintain our role of scrutinising legislation and holding the Government to account. This is partly because the Government are being asked to exercise, on a daily basis, the judgment of Solomon. We fear that they lack a Solomon, so we think it vital that Ministers remain answerable to Parliament for their decisions. But Parliament also has a major part to play in improving public policy development, by feeding into the process and drawing to the Government’s attention what is really happening on the ground across the country, and by probing their responses While we on these Benches are fully supportive of the House adjourning early for the Easter Recess, we do not support an extension of that Recess beyond our planned resumption date of 21 April. If by then the situation in respect of self-isolation and social distancing remains broadly as it is today, which seems highly likely, we will need to look at how we conduct our business to ensure that the House can operate effectively Many service-sector companies have closed their offices altogether yet are carrying on their business by use of the phone, internet and conference calling. I believe that your Lordships’ House should do the same to the maximum extent possible, particularly as almost half our number will—or should—be unable to attend by virtue of their age, while others have underlying health conditions which makes their attendance impossible or, at the very least, imprudent. We will need to change our ways In my view there is, for example, no reason why committees should not sit via videoconferencing straightaway. I believe that we should also look at ways in which the business in the Chamber could be done differently. If a radio station can do it, I do not see why Members should not be able to phone or email in their Questions for Oral Answer, for example, or why some speeches could not be submitted in writing in advance, for inclusion on the record. On our return, to allow us to ask Questions in a timely manner while minimising the demands on ministerial time, we should also have half an hour of Covid-19 questions at a convenient point after the Prime Minister has done his daily press conference. If the frequency or timing of these press conferences changes, we could obviously adapt to reflect this. The alternative is an unsatisfactory preponderance of coronavirus Questions on the Order Paper and a daily series of requests to the Lord Speaker for Private Notice Questions. We have raised these suggestions via the House of Lords Commission and the usual channels, and are having very constructive engagement with them. I believe the same process is now taking place in the House of Commons I realise that for some Members all these suggestions will produce the kind of shocked response associated with a Bateman cartoon but, unless we move in this direction, proper scrutiny will simply be impossible. Scrutiny will be particularly important because of the wide-reaching measures which the Government are adopting. They are measures which we support in principle. As a result of today’s Bill, the Government will gain large new powers exercisable by statutory instrument, which should be debated, and further new powers will need to be taken to implement yesterday evening’s announcement. We have only to look at the extraordinary, irresponsible action of Sports Direct today to see that exhortation of not just individuals but of companies will be inadequate. I too would like to know what legal basis the Government will use to introduce these necessary powers Other legislation is already being introduced giving the Government new powers by statutory instrument. For example, on Saturday a regulation was made under the Public Health (Control of Disease) Act 1984 to close all restaurants, cafés, bars, cinemas, theatres and virtually every other premises where people meet. They came into force the same day, have a lifespan of six months and, in theory, need parliamentary approval, but such approval obviously requires Parliament to be in session. The same will apply to all the other SIs which are required, and the Government may well find that they need more primary legislation to be introduced at short notice before this crisis is over, so we need to find ways to do this with the country in lockdown and we need to do so quickly We accept the need for today’s Bill and the need to pass it speedily. We do not propose to divide the House but this is a very long and complex Bill and, as is always the case, it raises very many specific questions to which no answers have yet been provided. In saying that, I am not criticising the Government. I have huge sympathy for the challenge the Minister faces in explaining an unprecedented raft of business, and I would not want him to think that in making that point I am being critical, but the country wants to know and needs clarity on many issues, and Parliament is the best way of doing that However, our proceedings today and tomorrow do not in reality allow us to subject this Bill to the normal scrutiny that we would expect so, like the Opposition, we on these Benches will limit our amendments to a relative handful on which we wish to probe the Government. There are a lot more issues that we would in ordinary circumstances raise, but in the course of a day—tomorrow—it is simply impossible to do so The issues that we will raise are as follows. On social care, we want to ensure that the Government provide local authorities with the resources necessary to provide appropriate levels of care for those discharged from hospital, particularly those with complex needs. On social security, we want to suspend the sanctions regime, which we believe could bear down unfairly on those who are ill. We want to give local authorities the power of direction they will need if they are to implement government policy effectively. We want to scrutinise the civil liberties implications of the increased detention powers. We want to examine the scope for providing much better levels of support for the self-employed, and we want to ensure that your Lordships’ House plays its full part in considering the extension of the emergency powers beyond the initial six months. My colleagues will explain our detailed concerns on these points during the course of today’s debate This is an unprecedented Bill to deal with an unprecedented crisis. Over the coming months, every aspect of the way that we do things in Britain will come under strain. As in wartime, we will have to change the way that we do things, and when it is all over things will not revert to business as usual. Some things will have changed for ever, and the way that we do business here will assuredly fall into that category. I am sure that everyone in your Lordships’ House wishes the Government well as they grapple with coronavirus. But democracies never give the Executive a blank cheque. As a Parliament, we must retain our critical faculties and, if we do so, it will help the Government and the country to get through this crisis together.
ParlaMint-GB_2020-03-24-lords.u5	My Lords, I draw noble Lords’ attention to my registered interests. I am trustee of the British Institute of Human Rights and a vice-president of the LGA, among others We are in challenging times, with a significant number of noble Lords not in their usual place. With a Bill of this magnitude, the Chamber would normally be full. I strongly support the comments made by the noble Lord, Lord Newby, that this has proved more than anything that we need to find more modern ways of working, especially when we have had no time to discuss the Bill outside the Chamber. Even more so, the review point for this Bill is incredibly important I sincerely thank the House staff who are here today and the NHS and front-line staff for what they are doing. For me, it was a big, personal decision to be here today, especially with the release of the clinical frailty scale. Many would see me, as a wheelchair user, as being no higher than number 7 on that scale. I am delighted that NICE yesterday confirmed that the clinical frailty scale would not be used for certain groups, including those with learning disabilities and cerebral palsy, but many disabled people are still very worried by the Bill. Decisions will be taken by someone else about our usefulness in the next few months that we will have no control over. I am starting to worry that disabled people might be seen as expendable during this pandemic. There is a real fear that this will graduate towards a move to register disabled people and that that will be used to decide future provision There is a need for part of this emergency Bill; however, the draconian measures outlined made it a personal necessity for me to be here today. This is a health and social care obliteration Bill by a different name. Alan Benson captured many views when he said that we have been fighting for rights for 30 years and now it is about survival. Inclusion London has said that, “buried deep” in the Bill is “the complete removal of social care responsibilities, for at least two years.” I apologise because I will ask the Minister a series of questions. I will email them to his department because there are many. I will also cover presentations and questions that have been sent to me by other noble friends What will happen to those stuck in the PIP decision appeal process while we are going through these difficult times What will be done to look after or support victims of domestic violence, who we know will be at greater risk What specific measures will be put in place for the emergency registration of healthcare professionals for those over 65, some of whom may be considered vulnerable What about unpaid carers and child carers? What about the self-employed? There will be additional pressure on them at this time that will be impossible to step back from When the Prime Minister and Her Majesty’s Government make announcements on TV, will they commit to having a British Sign Language interpreter so that everybody can understand what is going on The Bill is a temporary suspension of most of the duties contained in the Care Act 2014. Is this any more than just a cost-saving exercise? If local authorities are no longer required to meet care needs under the Care Act, will the Minister explain why local authorities would carry out any assessments at all if they did not have to? How will they prioritise In yesterday’s debate in another place, a human rights safeguard was raised numerous times. The Government stated that they considered the Bill to be compatible with human rights. However, the analysis was released late on Friday 20 March, after the Bill was laid before Parliament on 19 March, and while some of the analysis is welcome, some of the most worrying clauses have simply not been dealt with. Will the Minister explain what analysis has been done about the unintended consequences on the NHS at this difficult time of removing social care or prioritising health over social care Will the Minister advise how social care is guaranteed, because, as I understand it, there is no human right to social care or a positive obligation under the European Convention on Human Rights to meet care needs? Are people to be protected from inhumane or degrading treatment within the provisions of Article 3 or perhaps Articles 8 or 14? I would like to understand that. How will the Secretary of State ensure that social care is protected and what support will be given to decision-makers such as social workers to ensure that they identify and avoid breaches? Given that human rights training is not mandatory, is that something that could be considered? What happens when a disabled child turns 18 and their adult social care package is unavailable? Does provision just stop My noble friend Lady Hollins, who is unable to be in her place, asked me to raise the following questions, which are really important for disabled individuals. If we look to home care for disabled people, what provision are Her Majesty’s Government putting in place for European care workers who have not been able to return to the UK? What personal protective equipment will be made available for carers? Can Her Majesty’s Government look at parking charges, so that carers who do not want to use public transport are able to drive? Will there be extra funding for disabled employers or home care agencies to enable them to pay an additional income premium or quarantine payment? What about carers who have to self-isolate in their employer’s home to ensure they do not put their disabled employer at risk? How will care agencies or disabled employers fund these periods of advisory self-isolation? Will the Government require local authorities to keep a record of those who have had their support reduced or cut, so that their support packages can be reinstated when this emergency is over What about people with dementia? Can the Government assure us that they will not be discharged to inappropriate care homes without staff who have had dementia training? Can the Government give a financial guarantee to families living with dementia—that they will not be retrospectively charged for inappropriate care home placements once the pandemic is over The St John Ambulance contacted me this morning. It said that it is ready and wants to help and would very much welcome a call with the Minister. What about paid leave and access to emergency volunteering certificates for it The changes to the Mental Health Act are just as concerning. Does the Minister consider it proportionate for individuals to be sectioned by only one medical professional, who is no longer required to be acquainted with the individual? I hope no amendments will be tabled that amend other major pieces of legislation. This is a time for unity, not for introducing other far-reaching changes on highly contested issues At different times, in-patients in mental health care facilities may face increased restraint and seclusion. The powers in this Bill could lead to a deterioration in an individual’s conditions where carers or families cannot manage, leading to individuals being admitted to an in-patient unit in crisis. No one should be admitted because of a failure of social care. Can the Minister assure the House that, should the powers in this Bill be activated and as a consequence should people be admitted to in-patient settings because of a failure of care, an independent care and treatment review will be carried out as soon as this emergency has ended, and not just for people detained in long-term segregation? The Bill’s provision to relax the measures around NHS continuing healthcare assessments could see some of these people discharged from hospital without the right support, putting them at additional risk of readmission. Delays to NHS continuing healthcare assessments will undermine this programme of work. Like many others, I have huge sympathy for what the Government are trying to do right now, but a Bill of this magnitude will be life-changing for disabled people. I look forward to hearing the Minister’s response.
ParlaMint-GB_2020-03-24-lords.u6	My Lords, in these days I have been reflecting on the words of the Hebrew psalmist who, at the time of his people’s exile, articulated the question: “How can we sing the Lord’s song in a strange land?” In many ways we are entering into a strange land, and indeed in some ways a land of exile: a land in which we are exiled from many of our normal patterns of living, in which people of faith are not able to attend their places of worship and in which many people find themselves having to live life in entirely new ways This is a small thing, but I am grateful for the inclusion in the other place of Clause 84, which solved a little conundrum about the legality of the General Synod of the Church of England under these circumstances. Rather more importantly, and in relation particularly to what the Prime Minister said last night, we in the faith communities absolutely accept that our places of worship are now closed. Such things as weddings are suspended and postponed until a later time. But though the buildings are closed, I hope the communities and people are not closed. Particularly in relation to our caring and charitable activities, I hope that people of faith, alongside others, will continue to engage Reference has already been made to the care of the homeless and the importance of shelters, food banks and those kinds of things. I am grateful for the discussions happening around those. I think I am right in saying that work is under way in London to transfer residents of shelters to budget hotels The care of the vulnerable has just been spoken of powerfully by the noble Baroness, and I have other categories in mind, including trafficked people and victims of domestic abuse—of course, the Bill to support such people has now been delayed again—those who are isolated and perhaps especially those who are or sadly will be bereaved in the coming days That brings me to Schedule 28 which deals with funerals and is very far-reaching in its effects, potentially, but it is important and I accept the need for it. However, I hope that alongside all this we can maintain our sense of dignity, which is really important, around issues of death, bereavement and the way we treat the dying, the dead and the bereaved. The point has been made about the need for sensitivity to the funerary practices of different faith communities and I know that conversations have been going on with Downing Street about that. We trust that local authorities and others will act in appropriate ways. I think I can speak for all the churches, faith communities and indeed civil celebrants when I say that for as long as we possibly can, we will wish to provide people to officiate at funeral services, even if those services are attended only by the deceased person in their coffin and the officiant—that is part of treating these situations with dignity. I confidently express our commitment on these Benches to do that for as long as we possibly can and to enter into discussions that are needed in order to do it. On the theme of treating people with dignity, reference has already been made to prisons and other places of detention—immigration removal centres and suchlike. We know that they will be under huge pressure at this time, not least if staff numbers are restricted due to infection. For as long as possible I know that, in prisons and other such places, our multifaith chaplaincy teams will continue to work as they are today. That underlines the importance of giving prisoners, particularly if they are not able to gather for their worship, access to faith provision of some kind at this time, when they are cut off, very often, from other forms of contact That brings me to two particular questions in relation to prisons. One is about communication with the outside world now that prison visits have understandably been curtailed. Is there any intention to increase the availability of such things as Skype, whereby families, and perhaps particularly the children of those who are in prison, can maintain relationships and contact with them? The other question concerns those who might be released. There has been some talk about this and I would value an update from the Minister as to the thinking. I am thinking, for example, of low-risk, elderly prisoners, who are in any case difficult to care for in prison and may become more difficult to care for. Another group might be those pregnant women who are currently in prison. Can special provision be made for early release for those groups and, no doubt, others as well A few minutes ago, I referred to the Hebrew psalmist. The lesson from that time is that the cry “How shall we sing the Lord’s song in a strange land?” was answered some decades later by the fact that people did actually learn to do it. During that period of exile, they learned to express their worship and their solidarity with one another in new and different ways that set patterns for many centuries to come. I have a quiet confidence, actually, that with all the difficulties and challenges, we will, as a society, learn to sing our songs in new ways. Maybe, as has been indicated, the workings of this House will be one of those songs that we sing in a new way. Above all, we must learn to sing the songs of human dignity and maintain them, and perhaps also those songs that celebrate human ingenuity, compassion and relatedness, which will be incredibly important virtues in these coming days.
