ParlaMint-GB_2020-06-03-commons.u1	2. What assessment he has made of the role of the Union during the covid-19 outbreak.
ParlaMint-GB_2020-06-03-commons.u2	Our co-ordinated UK-wide response to the threat posed by covid-19 is testament to the strength and value of the Union. People and businesses in Wales and across the UK have benefited from the Government’s unprecedented package of support, which is far beyond the scale that any UK nation could offer alone.
ParlaMint-GB_2020-06-03-commons.u3	I thank the Secretary of State. As all nations start to lift lockdown measures and interconnectivity starts to increase, it is really important that we work together to track and trace the movement of any covid-19 cases, especially across porous borders such as the one between England and Wales. Does my right hon. Friend agree that this is in fact an opportunity to show how we are stronger working together and that we are better off tackling the crisis as one United Kingdom?
ParlaMint-GB_2020-06-03-commons.u4	My hon. Friend makes a very good point, and I absolutely agree with her. Covid does not respect political boundaries and it does not respect national boundaries. As a result of that, we have had something in the region of 110 meetings now at which the Welsh Government were present so that we can approach this issue, for example through the joint biosecurity centre, as one United Kingdom, because that is the why that we will crack this.
ParlaMint-GB_2020-06-03-commons.u5	The contact tracing systems are now active in all four nations across the UK, and will require thousands of people to self-isolate to stop the virus spreading further, but for many self-employed and low-paid people who do not qualify for support such as statutory sick pay, this means there will be no money coming in to support them or their families. Will the Government urgently look to fill the gaps in statutory sick pay so that no one faces the impossible choice of self-isolating or putting food on the table?
ParlaMint-GB_2020-06-03-commons.u6	My opposite number makes a very good point. Right from the start, as I think he will agree, the Chancellor has said that we will always look at every possible anomaly in these support systems, because he and all of us, I suspect, in our in own constituency examples recognise that even though the measures are widespread and generous and try to account for every individual circumstance, they do not always do so. Where people slip through the net and where there are anomalies, yes, of course, we will work to see if we can rectify those.
ParlaMint-GB_2020-06-03-commons.u7	The furloughing scheme has been a lifeline for businesses in every corner of the United Kingdom and demonstrates the strength and the value of our Union, but with the scheme becoming co-financing in August, could I ask my right hon. Friend urgently to discuss with the Chancellor the need for ongoing financial support, particularly for tourism businesses in Wales? Frankly, they will not have the money to contribute a share of staff costs, and they see little prospect of the Welsh Government allowing any kind of late tourism season this year.
ParlaMint-GB_2020-06-03-commons.u8	My right hon. Friend rightly points out what is becoming known as the risk of the 12-month winter, and he might be pleased to hear that I have already had such conversations with Treasury Ministers including the Chancellor himself. We are looking, as we always do, at ways of making sure that for industries that find themselves in a particularly difficult position—tourism and leisure is one such example—there are ways in which we can be as flexible as possible, but obviously within the overall financial ambitions and constraints that we all understand.
ParlaMint-GB_2020-06-03-commons.u9	The furlough scheme in Wales has rightly been a success. However, as the Secretary of State knows, one large company called BA—British Airways—has decided not only to furlough its staff, but to consult about losing their jobs. It is morally reprehensible that during this time people are worried about their jobs. Will he make a commitment, first, to condemn this behaviour and, secondly, to speak to the chief executive of BA about the jobs that are at risk in constituencies such as mine and those of other colleagues across Wales?
ParlaMint-GB_2020-06-03-commons.u10	Indeed, I have examples in my own constituency of people who have come to me feeling completely bewildered at the position they find themselves in. Absolutely, I offer that guarantee to take it up with BA. It does seem, on the face of it, to be a mystifying decision, particularly in the circumstances we are in. The answer to that is yes, of course, we will look into it. I am sure that, UK-wide, there is going to be much more debate in this place about that very problem.
ParlaMint-GB_2020-06-03-commons.u11	3. What recent discussions he has had with the Secretary of State for Transport on connectivity (a) within Wales and (b) cross-border.
ParlaMint-GB_2020-06-03-commons.u12	We have regular discussions with Minsters in the Department for Transport across a wide range of issues, including connectivity within Wales and cross-border, such as our support for the Pant-Llanymynech bypass and the restoration of the Barmouth viaduct, and obviously we have offered the funding for an M4 relief road. I very much hope that the Welsh Government will choose to prioritise these schemes.
ParlaMint-GB_2020-06-03-commons.u13	I welcome that answer, but I have had lots of correspondence from constituents concerned about people travelling to second and holiday homes. What is hon. Friend’s assessment of what can be done about this in Wales?
ParlaMint-GB_2020-06-03-commons.u14	My hon. Friend raises an important point. The leisure and tourism industry has been hugely affected by covid-19, but now is not the time for people to travel to Wales for a holiday or to a second home. Of course, when this crisis is over, we want to roll out the red and green carpet for visitors from throughout the United Kingdom to come and enjoy everything that Wales has to offer. I look forward to welcoming my hon. Friend.
ParlaMint-GB_2020-06-03-commons.u15	4. What steps his Department is taking to ensure effective co-operation with the Welsh Government during the covid-19 outbreak.
ParlaMint-GB_2020-06-03-commons.u16	8. What steps his Department is taking to ensure close co-operation with the Welsh Government during the covid-19 outbreak.
ParlaMint-GB_2020-06-03-commons.u17	My hon. Friend the Under-Secretary of State for Wales and I are working hand in hand with the Welsh Government in responding to the virus. I have already provided the House with a comprehensive schedule of engagements between my Department and the Welsh Government, which outlines more than 100 instances since the start of the crisis. I will today place an updated schedule of those meetings in the Library.
ParlaMint-GB_2020-06-03-commons.u18	The Prime Minister may not have heard of it, but we know from the Welsh Government that the Conservatives’ “no recourse to public funds” rule is causing real hardship to families in Wales and throughout the UK. People face extreme poverty for doing the right thing to protect public health. Will the Secretary of State listen to the Welsh Government and urge his colleagues to do the right thing now and suspend the rule during this public health emergency?
ParlaMint-GB_2020-06-03-commons.u19	I would like to think that I always listen to valid arguments put forward by the Welsh Government, and this is no exception, but I ask the hon. Lady to recognise that the UK Government have provided an extraordinary level of support—probably one of the most extensive plans on the globe—for people who are suffering across our economy and throughout the nation of Wales. That support will remain; we are being as flexible as possible and as generous as possible for as long as possible. I will of course have the discussions to which the hon. Lady refers.
ParlaMint-GB_2020-06-03-commons.u20	The Welsh Labour Government require businesses that receive financial support to sign up to their economic contract, which means that they need to support economic growth, fair work, employee health and skills, and action to reduce carbon footprints. Given the need to build back better after this crisis, does the Secretary of State agree that the Welsh Government approach should be adopted by the UK Government?
