ParlaMint-GB_2020-07-20-commons.u1	What recent discussions he has had with the Scottish Government on the shared prosperity fund.
ParlaMint-GB_2020-07-20-commons.u2	What recent discussions he has had with the Scottish Government on the shared prosperity fund.
ParlaMint-GB_2020-07-20-commons.u3	What recent discussions he has had with the Scottish Government on the shared prosperity fund.
ParlaMint-GB_2020-07-20-commons.u4	This Government believe in respecting the results of democratic referendums. Leaving the European Union has provided us with an opportunity to align the objective of the EU structural funds with domestic priorities, while continuing to support vital jobs and growth opportunities across the United Kingdom. The new UK shared prosperity fund will be our vehicle for delivering that. UK Government officials regularly speak to their counterparts in the devolved Administrations about this and other issues.
ParlaMint-GB_2020-07-20-commons.u5	This vague waffle on timelines and content just will not cut it. The UK has received over €10 billion in structural funding since 2014 as an EU member, and it is now staring at economic disaster, with no information on what will replace those funds. Will the Minister guarantee today that the shared prosperity fund will not result in areas such as Fife seeing any reduction in funding?
ParlaMint-GB_2020-07-20-commons.u6	The 2019 Conservative party manifesto committed at a minimum to matching the size of EU structural funds in each nation. It is very important that we get these decisions right. This is, after all, an enormous sum of money—our money—sent formally to the EU and then top-sliced and sent back to us with conditions. I very much look forward to controlling it for ourselves.
ParlaMint-GB_2020-07-20-commons.u7	It is not just the Scottish Government who are looking for clarity on this. Just last week, the Institute for Fiscal Studies published a report that said that, four years after the Brexit vote, it is “high time” we had some idea of where the Government are going. Does the Minister agree with me, the Scottish Government, the Welsh Assembly Government and the Northern Ireland Assembly Government that it is high time we had clarity on these schemes?
ParlaMint-GB_2020-07-20-commons.u8	It is obviously importantly that we provide that clarity—I wholly agree with the hon. Gentleman—and we are going to provide that clarity after the cross-government spending review in the autumn.
ParlaMint-GB_2020-07-20-commons.u9	The report highlighted by my hon. Friend the Member for Stirling (Alyn Smith) did not end its criticism there. The IFS went on to say that it was “disconcerting” that the shared prosperity fund was still not finalised and suggested that “With limited time left, one option the government could consider would be to continue with existing EU funding allocations for one more year.” Will the Minister today commit to do just that, to protect all our communities and ensure that they are not left behind by this incompetent UK Government?
ParlaMint-GB_2020-07-20-commons.u10	Obviously, I do not accept the hon. Gentleman’s characterisation of the Government. We are working very hard to ensure that we deliver on the decision to leave the European Union. We will be in a position to give full details on the UK shared prosperity fund after the cross-government spending review, which will be so important to determining many aspects of our future relationship with Europe, as well as our commitments to our own spending priorities. We will continue working closely as one United Kingdom to understand the changing needs of local and regional economies, and I am happy to meet Ministers from the Scottish Government to find an acceptable way forward.
ParlaMint-GB_2020-07-20-commons.u11	Five months before the transition periods ends, there is still lots of talk from the Government about future funding arrangements but no details. Last month, the Minister told me that he would make inquiries on this, yet his response only promised more details in due course. Does he appreciate that communities cannot afford to wait in perpetuity and need clarity on this now?
ParlaMint-GB_2020-07-20-commons.u12	My officials meet fortnightly with those of the Scottish Government, and it is obviously very important that we maintain that dialogue. As I indicated in my reply to the hon. Member for Aberdeen South (Stephen Flynn), we are clear that we are prepared to have talks at ministerial level with our Scottish counterparts. We want to provide that clarity, and we will be in a position to do so when we have had the spending review, which will detail our commitments in the round.
ParlaMint-GB_2020-07-20-commons.u13	I am grateful, but endless meetings do not give answers to communities and local governments who need that information and clarity. Another issue is the stronger towns fund. There has been lots of self-congratulatory back-slapping from Tory Back Benchers but very little detail. In the departmental spending debate on the estimates earlier this month, there was still no detail forthcoming. Will the Minister advise us today when Scotland will receive details and a timeline for the stronger towns fund?
ParlaMint-GB_2020-07-20-commons.u14	The stronger towns fund is a vital part of our levelling-up work. I make no apologies whatsoever for saying that it is a really important tool to rectify long-standing economic imbalances in the country. The Barnett formula will be applied to investment for England in the normal way at the spending review. The funding is committed to the devolved nations, which means that the Governments in Scotland, Wales and Northern Ireland will receive a share of funding, with allocations to be confirmed in the next financial year.
ParlaMint-GB_2020-07-20-commons.u15	What steps his Department is taking to ensure that recipient local authorities are informed when a family is moved by another local authority to temporary accommodation in their local authority area.
ParlaMint-GB_2020-07-20-commons.u16	The Homelessness (Suitability of Accommodation) (England) Order 2012 and the homelessness code of guidance set out that local authorities should try to place households within the area, that when that is not possible, they should place the household as near as possible, and that that should be a last resort. If a local authority places a family outside its area, it is required by law to notify the local authority in the area in which the family are placed.
ParlaMint-GB_2020-07-20-commons.u17	How does the law work without enforcement? We know from the programme “Ross Kemp: Living with...” that homeless families travel approximately 400,000 miles—or 16 times round the globe—each year to get to their temporary accommodation, and 60 councils are not informing the receiving authorities. That is the reality; what are the Government going to do about it?
ParlaMint-GB_2020-07-20-commons.u18	The hon. Lady cares passionately about this issue and has raised it in the House recently. If a local authority places a household into temporary accommodation in another area, it is, as I said, required by law to notify that local authority to ensure that there is no disruption in schooling or employment. Our homelessness and advice support team should hold local authorities to account for their performance on this matter, and the Local Government Association is doing work with local authorities from London and throughout the country to develop a protocol for out-of-area placements. We are clear, from the Front Bench, that councils should adhere to this basic legal requirement.
ParlaMint-GB_2020-07-20-commons.u19	What steps he is taking to increase investment in town centres.
ParlaMint-GB_2020-07-20-commons.u20	What steps he is taking to increase investment in town centres.
ParlaMint-GB_2020-07-20-commons.u21	What steps he is taking to increase investment in town centres.
ParlaMint-GB_2020-07-20-commons.u22	What steps he is taking to increase investment in town centres.
ParlaMint-GB_2020-07-20-commons.u23	Our £3.6 billion towns fund will drive the economic regeneration of towns to deliver long-term economic and productivity growth. The towns fund will play an important role in the support of our country’s economic recovery, bringing forward public investment to create jobs and boost confidence in towns, as well as levering investment in from the private sector.
ParlaMint-GB_2020-07-20-commons.u24	The beautiful towns across East Devon boast many independent shops on their high streets, providing the customer service that people just cannot get with a click of a mouse. As we reopen our high streets safely and encourage people to think local first, the Government must press on with plans to regenerate town centres. What plans does my right hon. Friend have for the next phase of the future high streets fund?
ParlaMint-GB_2020-07-20-commons.u25	My hon. Friend will be pleased to hear that we will set out our plans for a competitive round of the towns fund later this year. As I said to him when I visited Exmouth with him last year, that is the kind of town that the fund was designed to serve, and I very much look forward to seeing its submission. In terms of immediate investment, the Heart of the South West local enterprise partnership will receive £35.4 million from the getting building fund for shovel-ready projects across the area, including in Devon. We will announce 160 successful projects from across England at the end of this month.
ParlaMint-GB_2020-07-20-commons.u26	Ipswich town centre is at the heart of life in our town, but it faces many challenges that have only been made greater by covid-19. A great deal of work is going into developing a coherent strategy to regenerate our town centre, with the input of both private and public sectors, under the Ipswich Vision partnership. Will my right hon. Friend recognise the excellent work that has gone into developing the strategy for Ipswich town centre as he considers our proposed timetable for receiving £25 million of town deal funding in October this year?
ParlaMint-GB_2020-07-20-commons.u27	I am delighted that the ideas developed over the past several years by the Ipswich Vision board are being used as the foundation for the Ipswich town deal. My officials are looking forward to receiving Ipswich’s proposals in the town investment plan that is, as my hon. Friend says, being submitted on 30 October. We have recently announced that Ipswich, like other towns that are recipients of the towns fund, can apply to my Department for up to £1 million to kick-start its work, create jobs, boost confidence and help the local economy to recover.
ParlaMint-GB_2020-07-20-commons.u28	Bolton has shovel-ready town centre regeneration schemes including Le Mans Crescent and Church Wharf. Uncertainty created by covid-19 means that financial backers are looking to the Government to act as guarantor of last resort. Will my right hon. Friend agree to meet me and the leader of Bolton Council to discuss ways to help support those well developed regeneration plans? As I am sure he will concur, Bolton is ready to be the epicentre of this Government’s levelling-up agenda.
ParlaMint-GB_2020-07-20-commons.u29	I congratulate Bolton and my hon. Friend on the very impressive work that they are doing with the council to transform the town. Bolton is one of the initial 100 towns selected to submit proposals for a town deal, and, again, I look forward to seeing the submissions shortly. As I said in my previous answer, Bolton can also apply to the Department for an advance of £1 million from the town deal to fund some of those projects that he describes. I also understand that, as a result of Bolton being part of the future high streets fund, it is likely to include support for Trinity Gateway, Le Mans Crescent, Church Wharf and Crompton Place—a number of extremely important regeneration projects.
ParlaMint-GB_2020-07-20-commons.u30	Accrington town centre is one of the many places that have been left behind for too long. It is at the heart of my community and now that I am the Member of Parliament, I intend to be the strong voice that is needed to make sure that it is not a forgotten town any more. Will the Secretary of State accept my invitation to visit Accrington and our amazing local businesses to discuss with me how I can make sure that it gets the investment that is so desperately needed?
ParlaMint-GB_2020-07-20-commons.u31	I would be delighted to accept my hon. Friend’s invitation to Accrington. From what I have seen in her relatively short period in this House, she is exactly the strong voice that her constituents deserve. We have shown consistently through our initiatives, such as the towns fund, which we have been discussing, and the high streets fund, our commitment to levelling up all parts of the country, and we are doing that once again with our £900 million getting building fund, £34 million of which will benefit her constituents in Lancashire. I look forward to announcing, with her local enterprise partnership, those projects by the end of the month.
