ParlaMint-GB_2020-07-21-commons.u1	What steps his Department is taking to support businesses during the covid-19 outbreak.
ParlaMint-GB_2020-07-21-commons.u2	What support his Department is providing to businesses to help them recover from the covid-19 outbreak.
ParlaMint-GB_2020-07-21-commons.u3	What steps his Department is taking to support businesses during the covid-19 outbreak.
ParlaMint-GB_2020-07-21-commons.u4	Since the start of the covid-19 outbreak, the Government have provided £160 billion of support through a range of schemes to protect jobs and help businesses keep going. We have also provided support to businesses through measures in the Corporate Insolvency and Governance Act 2020 and the Business and Planning Bill. Working with business and trade unions, my Department has published detailed guidance to help businesses reopen safely.
ParlaMint-GB_2020-07-21-commons.u5	The Government’s support for people and businesses during the covid crisis has been fantastic and has helped countless constituents in Penrith and The Border and across the UK. Unfortunately, many have still not been able to access support, such as the newly self-employed, limited company directors, freelancers, new starters and those who fall on the wrong side of the eligibility criteria. Will my right hon. Friend work with the Treasury to see whether those hard-working people can be helped with some emergency financial support?
ParlaMint-GB_2020-07-21-commons.u6	My hon. Friend will know that we have supported over 9 million jobs through the job retention scheme, 2.7 million people have benefited from the self- employment support scheme and around 870,000 small businesses have benefited from grants. The Chancellor set out his plan for jobs a few days ago. The key now is to get the economy up and running, so that businesses can trade.[Official Report, 1 September 2020, Vol. 679, c. 2MC.]
ParlaMint-GB_2020-07-21-commons.u7	That is absolutely right, but it is not just about bouncing back; it is also about levelling up. Will the Secretary of State join my hon. Friend the Universities Minister in giving his backing in the spending review to the shovel-ready MK:U—a much needed technical university in Milton Keynes which will deliver cutting-edge science, technology and engineering jobs and skills for local employers?
ParlaMint-GB_2020-07-21-commons.u8	As my hon. Friend would expect, the MK:U proposal will be judged objectively on its merits. More generally, I can confirm that the Government recognise the significant potential of the Oxford-Cambridge arc and the important role of Milton Keynes in achieving that potential.
ParlaMint-GB_2020-07-21-commons.u9	Airline pilots working for easyJet took an unprecedented decision on Friday to declare no confidence in their senior management. I have heard from many constituents who work at the airline in Liverpool and Manchester who are worried about the company’s approach of “fire and rehire on different terms”. Does my right hon. Friend agree that safety in the airline industry must always be paramount and that negotiations about future job losses should be respectful and in good faith?
ParlaMint-GB_2020-07-21-commons.u10	My hon. Friend highlights an important point. Throughout the covid-19 period, the Government have provided unprecedented support for employment and worked in close partnership with the business community. I understand that it continues to be a difficult time for many businesses, but as he highlights, in that spirit of partnership, we expect all employers to treat their employees fairly and follow the rules.
ParlaMint-GB_2020-07-21-commons.u11	I want to return the Secretary of State to the question asked by the hon. Member for Penrith and The Border (Dr Hudson) about the many businesses that are part of the 3 million ExcludedUK group. They include over 2 million people who are essentially self-employed but have been disqualified from help under the self-employment scheme for various—often arbitrary—reasons. In many cases, this is not simply rough justice but deep unfairness. Many of these individuals are not high earners. Will the Secretary of State give an indication that he recognises that this is an injustice, and can he tell us how he plans to address it?
ParlaMint-GB_2020-07-21-commons.u12	The right hon. Gentleman will also acknowledge that the Government have provided unprecedented support to businesses across the whole economy. As I said, the key right now is to support businesses to open, to get the economy up and running. That is the best way that we can support businesses across the United Kingdom.
ParlaMint-GB_2020-07-21-commons.u13	This issue of 3 million people being excluded is not going away. Let me ask him about the winding down of the furlough scheme. Yesterday, Make UK, the manufacturers’ organisation, said that a furlough extension was vital to prevent a “jobs bloodbath” in aerospace and automotive. We see the looming threat too in sectors that have not yet reopened, such as events and exhibitions, and those operating well below capacity, such as hospitality. Yet from next week, the Government are insisting that every single employer, whatever their industry, will have to start contributing to the furlough. Does the Secretary of State not recognise that this decision to phase out the furlough, irrespective of circumstances, risks handing a P45 to hundreds of thousands of workers?
ParlaMint-GB_2020-07-21-commons.u14	The furlough scheme will have been up and running for a full eight months, providing a huge amount of support for more than 9 million jobs. It is becoming more flexible and allowing people to return to work part time. The right hon. Gentleman will know that the Chancellor has also set out the job retention bonus which, if it is taken up by all employers, will represent a £9 billion boost for the economy. I say to him again that the key is to get the economy up and running and to get businesses trading.
ParlaMint-GB_2020-07-21-commons.u15	As we have heard, many businesses, sole traders, freelancers and others have been left without support throughout this health emergency. They are on their knees and they are still getting no support. How can they rebuild their trade when the Secretary of State’s Government will not help them? If his Government will not help them, why have they refused to allow simple adjustments to Scotland’s borrowing rules so that the Scottish Government can step in?
ParlaMint-GB_2020-07-21-commons.u16	The hon. Gentleman talks about support in Scotland; like many colleagues in the House, I believe in the Union, and we must work together to support workers across the United Kingdom. More than 730,000 jobs have been protected in Scotland through the furlough scheme. The hon. Gentleman will know that, as a result of the additional moneys that the Chancellor announced at the summer statement, the total additional Barnett funding to Scotland since March is £4.6 billion.
ParlaMint-GB_2020-07-21-commons.u17	Oh how the broad shoulders of the Union slump when asked a difficult question. The Institute for Fiscal Studies has exposed how the promised £800 million of consequentials for Scotland from the Chancellor’s job package is in fact only £21 million. Will the Secretary of State now do the right thing by Scotland’s businesses and urge the Chancellor to replace the missing £779 million—or has he also bought into the Prime Minister’s stated view that a pound spent in Croydon is of more value than a pound spent in Scotland?
ParlaMint-GB_2020-07-21-commons.u18	The hon. Gentleman talks about supporting businesses in Scotland; perhaps he will come forward and give his support to the UK internal market White Paper that we have published.
ParlaMint-GB_2020-07-21-commons.u19	What steps he is taking to support sub-postmasters affected by the Horizon post office scandal.
ParlaMint-GB_2020-07-21-commons.u20	The independent review of Horizon will provide a public summary of the failings that occurred at Post Office Ltd, which I hope will give postmasters the answers that they have been seeking all these years. It will also ensure that lessons are learned for the future.
ParlaMint-GB_2020-07-21-commons.u21	Last month, the Government announced an independent review of the Post Office’s Horizon IT system scandal that led to hundreds of postmasters being fired, many going bankrupt and others even being imprisoned. The Post Office Horizon scandal will go down as one of the biggest civil injustices ever. To restore public confidence and bring justice to the many lives ruined, it is vital that each individual case is assessed and that rightful compensation is paid to all those affected. A judge-led public inquiry is the only answer; will the Minister commit to that now?
ParlaMint-GB_2020-07-21-commons.u22	I am grateful to the hon. Lady for her question and her continued highlighting of the sub-postmasters’ situation. I hope to announce the chair of the review very soon so that we can start on it at pace in September.
ParlaMint-GB_2020-07-21-commons.u23	The Post Office Horizon scandal is one of the biggest miscarriages of justice of our times: 20 years of reputations ruined, families torn apart and lives lost. Sub-postmasters were betrayed by a Post Office that so persecuted them that what compensation they have won has largely gone on legal fees, and they have now turned to the parliamentary ombudsman to investigate the full costs of a Government that failed “to undertake its statutory duty of oversight” As we break for our summer holidays, will the Minister finally do the right thing and commit to a full, judge-led inquiry that will get to the bottom of the wrongs suffered and deliver both justice and compensation?
ParlaMint-GB_2020-07-21-commons.u24	The chairman or woman of the review will be announced in due course so that we can start the review of this injustice in September at pace. It is important that we speak to the Post Office, the Government, the sub-postmasters and other people, including at Fujitsu, to get to the bottom of this matter so that we can learn the lessons and move forward for the sub-postmasters of the future.
ParlaMint-GB_2020-07-21-commons.u25	What support he plans to provide to the aerospace sector.
ParlaMint-GB_2020-07-21-commons.u26	What support his Department is providing to the aerospace sector during the covid-19 outbreak.
ParlaMint-GB_2020-07-21-commons.u27	This is the last Department for Business, Energy and Industrial Strategy questions before recess and I want to place on record my thanks to you, Mr Speaker, and your staff for the incredible way that they have managed proceedings in the House It is Farnborough week and the Government are providing the aerospace industry and its aviation customers with more than £8.5 billion of support, including through UK Export Finance, the covid corporate financing facility, research grants and the job retention scheme. We are discussing further help with the sector.
ParlaMint-GB_2020-07-21-commons.u28	May I start by thanking the Minister for his personal engagement given some of the difficulties that we have had with the aerospace sector in Northern Ireland, and particularly with Bombardier in my constituency? Given that it is Farnborough Week, let me say that I read with interest the Minister’s comments yesterday on FlightGlobal in the question and answer session, and one of the missing components is the retention of key skills within this high-end engineering sector. Does the Minister accept that, without a clear, bespoke solution to support and sustain jobs beyond the cliff edge of October with the job retention scheme, the aerospace industry is facing a clear and present danger?
ParlaMint-GB_2020-07-21-commons.u29	I am grateful to the hon. Member for his question and for his comments about our engagement with the sector. We are supporting the aviation and aerospace sector with £8.5 billion and rising. If he looks at support from other countries, which we do, he will see that we will also consider further support as we progress, as the Chancellor has said, through the recovery.
