ParlaMint-GB_2020-09-02-commons.u1	What recent assessment he has made of the strength of the economy in Northern Ireland.
ParlaMint-GB_2020-09-02-commons.u2	While the Northern Ireland economy does have its challenges, I am confident that it has a promising economic future, with its talent, great companies, entrepreneurial spirit and world-leading sectors and universities, as well as world-class hospitality, leisure and cultural offerings. We will continue as a Government to work with businesses, the Northern Ireland Executive and local partners to ensure that we not only get the economy back up and running but are laying the foundations for a sustainable, growing and stable economic future.
ParlaMint-GB_2020-09-02-commons.u3	In my constituency of Hertford and Stortford, the eat out to help out scheme has been a massive success and given our local economy a huge boost. Will my right hon. Friend let the House know what the uptake has been in Northern Ireland?
ParlaMint-GB_2020-09-02-commons.u4	I have not tested all the venues in Northern Ireland that were taking part in the eat out to help out scheme, but I did my bit to support the sector, as I am sure many colleagues around the House did. Comprehensive figures are not yet available, but I do know that over 1,500 restaurants in Northern Ireland signed up to the scheme in the first week of operation, highlighting just how important the scheme has been to give people confidence to go out and businesses a chance to see their customers again.
ParlaMint-GB_2020-09-02-commons.u5	The next two questions have been withdrawn, so we will go to Sir Jeffrey Donaldson.
ParlaMint-GB_2020-09-02-commons.u6	The Secretary of State will be aware that Northern Ireland businesses are concerned about the impact of the Northern Ireland protocol. Businesses I have spoken to report very little or no progress on export health certificates for animal-related food products being shipped from Great Britain to Northern Ireland. That potentially means increased costs for Northern Ireland businesses, and those costs will be passed on to Northern Ireland consumers. What will he do to ensure that arrangements are put in place to prevent that from happening?
ParlaMint-GB_2020-09-02-commons.u7	I thank the right hon. Gentleman for his question. We recognise the unique position of authorised traders, such as supermarkets, with stable supply chains and comprehensive oversight of warehousing and distribution operations, moving pre-packaged products for retail sales solely in Northern Ireland. We continue to look at specific solutions for the trade, working with the trade. EHCs and accompanying notes for guidance will be made available from 1 November on the EHC form finder, to allow exporters and certifying officers to familiarise themselves with the requirements.
ParlaMint-GB_2020-09-02-commons.u8	I welcome that news, and I want to follow that up with a question about the formal guidance that is required from the Government on the definition of unfettered access. Can the Secretary of State explain how a trader in Northern Ireland will get qualifying status in order to benefit from unfettered access in shipping goods from Northern Ireland to Great Britain and in the other direction? What extra processes would a trader in Northern Ireland face if they did not have qualifying status? The Secretary of State will be aware that this has significant cost implications for Northern Ireland businesses. Will he therefore commit to discussing this matter urgently with his colleagues in the Cabinet Office, to ensure that guidance is issued to Northern Ireland businesses on the definition of unfettered access as soon as possible?
ParlaMint-GB_2020-09-02-commons.u9	I can confirm that we are very keen to give as much guidance and information to businesses as early as possible. We are committed, as I said, to providing Northern Ireland’s businesses with unfettered access to the rest of the UK market. I am very clear about what that means. It means no import customs declarations as goods enter the rest of the UK from Northern Ireland. It means no safety or security declarations as goods enter the rest of the UK from Northern Ireland, no tariffs to be applied to Northern Ireland goods entering the rest of the United Kingdom in any circumstances, no customs checks, no new regulatory checks and no additional approvals required for placing goods on the market in the rest of the United Kingdom. For further reassurance, I can tell the right hon. Gentleman that we will introduce legislation for unfettered access shortly, and we will continue to provide that guidance.
ParlaMint-GB_2020-09-02-commons.u10	I listened carefully to the very good questions put by the right hon. Member for Lagan Valley (Sir Jeffrey M. Donaldson), but I do not think that that will reassure businesses. The Northern Ireland Affairs Committee was very clear about what we already knew: the movement of goods from Britain to Northern Ireland will be subject to a number of administrative requirements; businesses will trade at a competitive disadvantage; and consumers in Northern Ireland are likely to see increased prices as a result. The economic facts are—and this is a real worry—that, for a population of 1.9 million, the burden on British firms will be too much, and they will cease wanting to export in large numbers to Northern Ireland. Export health certificates are a major concern and a major cost. I will check the record, but I think the Secretary of State just said that there will be more formal guidance. He has his own view. That is not an agreement, and there are additional costs, so what will the costs be for those businesses?
ParlaMint-GB_2020-09-02-commons.u11	I did say that notes for guidance will be available from 1 November this year. We are very clear that we are one single market—we are one customs union within the United Kingdom—and that is why we are very clear about the fact that we want unfettered access and we will deliver unfettered access for Northern Ireland businesses to Great Britain. We have already said that there will be some limited checks from Great Britain to Northern Ireland. We have announced the trader support scheme. The guidance that we issued just before the recess was warmly welcomed by Northern Ireland businesses. We continue to work with them so that, as we develop our processes, we ensure that there is good, smooth, fast, efficient delivery, as the protocol outlines, that does not disrupt the lives of people in Northern Ireland, in a way that works for business as well as the people of Northern Ireland.
ParlaMint-GB_2020-09-02-commons.u12	On 7 August the Cabinet Secretary flew into Northern Ireland to announce a business package of £335 million. That money is apparently designed to alleviate the costs of border checks and Brexit red tape that the Prime Minister has repeatedly said does not exist. As a signed-up member of the Brexit Cabinet, can the Secretary of State assure Scottish businesses that the same level of financial support will be put in place to meet all the costs of Scotland being dragged out of the European single market?
ParlaMint-GB_2020-09-02-commons.u13	The support package that we put in place, which is £155 million for the IT systems we have outlined and £200 million for the Treasury support scheme, is in order to recognise the unique situation of Northern Ireland—one that Scotland has a rather different position to. I am very clear that one of the things we will be looking to deliver as we go forward is the ability for Northern Ireland to trade prosperously as part of the whole of the United Kingdom—something I am sure that Scotland will benefit from as well.
ParlaMint-GB_2020-09-02-commons.u14	In line with the protocol, Border Force is currently recruiting for jobs in Northern Ireland advertised as open to UK nationals only. In the press this week, the Home Office claimed that this does not prevent those who identify as Irish from applying. But will the Minister accept, as indeed the Home Office did when this previously happened in 2018, that the words “Irish nationals are not eligible for reserved posts” does not reflect the rights framework in the Good Friday agreement, and will he ask the Home Office to rework the advertisement and the rules to make them compatible with Northern Ireland’s fair employment legislation?
ParlaMint-GB_2020-09-02-commons.u15	I am very happy to have a look at that. Obviously, as the hon. Lady will know, the Home Office outlined an update to the citizenship situation to rectify it for people so that however they wish to identify they can have the full rights that they wish to exert. However, I will happily follow up on that and come back to her.
ParlaMint-GB_2020-09-02-commons.u16	What steps the Government are taking to strengthen the Union between Northern Ireland and the rest of the UK.
ParlaMint-GB_2020-09-02-commons.u17	The UK Government will never be neutral in expressing our unequivocal support for the Union. We are committed to strengthening the link between our four great nations, levelling up the whole country. That is why the Prime Minister has created a Cabinet coimittee on Union policy implementation. Our commitment to Northern Ireland is demonstrated in the £2.2 billion we have provided to help fight coronavirus, including an extra £300 million announced at the summer economic update.
ParlaMint-GB_2020-09-02-commons.u18	May I begin by welcoming today’s news on same-sex marriage in Northern Ireland? Carshalton and Wallington residents have noticed that next year will be the centenary of the creation of Northern Ireland, so what plans does the Northern Ireland Office have to commemorate the United Kingdom as we know it today?
ParlaMint-GB_2020-09-02-commons.u19	I agree with my hon. Friend on both points. This centenary represents a significant national anniversary. In the new decade, new approach deal, the Government recognised that the centenary provided an opportunity to reflect on the past as well as to build for the future in Northern Ireland across the UK and internationally. We are committed to facilitating national recognition and international awareness of the centenary. On his recent visit to Northern Ireland, the Prime Minister announced the establishment of a centenary forum and a centenary historical advisory panel. This approach will offer us the opportunity to work with a broad spectrum of people to deliver an ambitious and exciting programme of events to mark this important national anniversary. Further details about the centenary programme will be set out in the autumn.
ParlaMint-GB_2020-09-02-commons.u20	What assessment he has made of the infrastructure that will be required at ports in Northern Ireland under the Northern Ireland protocol.
ParlaMint-GB_2020-09-02-commons.u21	There will be no new customs infrastructure in Northern Ireland, and we see no need to build any.
ParlaMint-GB_2020-09-02-commons.u22	With just four months left until the protocol comes into force, the National Farmers Union has warned that a clear lack of guidance is threatening the trade in agrifood products—Northern Ireland’s largest import. So can the Secretary of State clear one thing up—will each agrifood product require an export licence certificate, costing up to £200, or not?
ParlaMint-GB_2020-09-02-commons.u23	As I have set out previously, the protocol obliges both the UK and the EU to seek to streamline trade between Great Britain and Northern Ireland and to avoid controls at Northern Ireland ports as far as possible. As the hon. Member may well know, discussions are ongoing about the process by which this is conducted and the frequency. We want to bring the level of checks down to a proportionate and pragmatic level, as we have outlined before, for agrifoods and live animals. At Larne and Belfast there have been checks of one form or another in place since, I think, about the 19th century, and that is what we are building on. But there will be no new infrastructure.
ParlaMint-GB_2020-09-02-commons.u24	If he will publish details of the UK Government request to the EU to establish border control posts at Northern Ireland ports. If, as the Prime Minister has claimed, there will be no checks or border controls for British goods entering Northern Ireland, what exactly are the new border posts at Northern Ireland sea ports and airports for exactly?
ParlaMint-GB_2020-09-02-commons.u25	I will answer the substantive and supplementary questions together and just repeat what I said a few moments ago—there will be no new infrastructure in Northern Ireland for borders.
ParlaMint-GB_2020-09-02-commons.u26	What assessment he has made of the timescale for the implementation of the pension scheme payments for victims of the Troubles in Northern Ireland.
ParlaMint-GB_2020-09-02-commons.u27	What assessment he has made of progress on implementing the payment scheme for victims of the Troubles in Northern Ireland.
ParlaMint-GB_2020-09-02-commons.u28	What assessment he has made of progress on implementing the payment scheme for victims of the Troubles in Northern Ireland.
ParlaMint-GB_2020-09-02-commons.u29	We welcome the formal designation of the Department of Justice in Northern Ireland to provide administrative support for the scheme. Victims should never have had to go to court to see such progress. The Executive must now move to ensure that the scheme can be opened as soon as is practical, so that applications can be processed and payments made to victims who have already waited too long. The implementation of the scheme, including timescales for delivery, is a matter for the Northern Ireland Executive, but I look forward to seeing them progress this issue as quickly as possible.
ParlaMint-GB_2020-09-02-commons.u30	Paddy Cassidy and Raymond Trimble have died since the pension and payment scheme became law, and many other victims are extremely ill. I urge my right hon. Friend to do whatever he can to provide the Executive with confidence that money will be forthcoming in the usual way through the block grant. Will he also do everything possible to dispel the horrendous myths that have been peddled about the payment scheme over the past few weeks? The scheme will primarily benefit civilians on both sides of the community who are desperate to have the recognition that they have been promised.
ParlaMint-GB_2020-09-02-commons.u31	My right hon. Friend makes a good point. He was intrinsically involved in driving forward this issue. Words fail me: it should never have taken this long to get to this stage and it should never have taken a court case. My right hon. Friend is quite right that the Northern Ireland Executive are funded for the scheme through the block grant, and he is also quite right that this is about recognising people who have suffered for far too long. He and at least four of the party leaders in Northern Ireland were keen to see this scheme move forward; thankfully, that will now happen—and yes, I will give all the support that I can and that the Northern Ireland Executive need to see the scheme deliver as quickly as possible.
ParlaMint-GB_2020-09-02-commons.u32	I, too, welcome the news that the Department of Justice has been designated to implement the victims’ payment scheme, but does my right hon. Friend share my disappointment that it took a court to tell Sinn Féin to stop playing politics and finally designate the Department?
ParlaMint-GB_2020-09-02-commons.u33	My hon. Friend is right. I have consistently expressed my disappointment—to say the least—at the lack of progress in establishing the scheme, as have the First Minister and others. It was wrong for Sinn Féin to hold up the process of designating the Department. I am pleased that it has now happened, but it is a shame that it took a court case.
ParlaMint-GB_2020-09-02-commons.u34	Last week, Sinn Féin’s Martina Anderson described victims of the troubles applying for the victims’ payment scheme as “mainly…those who fought Britain’s dirty war” or were “involved in collusion.” Will my right hon. Friend join me in condemning those grossly insulting comments to the victims, many of whom live in my constituency?
ParlaMint-GB_2020-09-02-commons.u35	The simple answer is yes. Particularly with people having waited so long, to see an insensitive, ill-advised and inappropriate comment like that was the last thing that anybody needed. It should never have been made in the first place, and we should all condemn it and move forward to make sure that victims get what they have morally and legally been waiting far too long for.
ParlaMint-GB_2020-09-02-commons.u36	May I begin by reflecting on the fact that this summer we lost the great John Hume, a peace campaigner and politician who, more than any other, is responsible for the peace these islands enjoy today? I am sure the whole House will join me in sending our deepest condolences to his extraordinary wife Pat, his family and our friends in the Social Democratic and Labour party Yesterday would have been the 40th birthday of Tim Parry who, along with three year-old Johnathan Ball, was killed by an IRA bomb in Warrington in 1993. The peace foundation set up in their name supports victims of terrorism nationwide, but at the end of this month that service will close unless Ministers deliver on the funding that they have promised in the House. In this week, of all weeks, will the Secretary of State step up and secure the future of this vital service?
ParlaMint-GB_2020-09-02-commons.u37	First, I join the hon. Lady in her comments about John Hume and his family. I was honoured to be able to attend the funeral, which was a great example of how something can be done so sensitively, delicately and appropriately, even at a difficult time such as with covid. It was a real honour to be there As I said earlier, a range of victims have waited too long for things such as victims’ pensions and victims’ payments, so we need to see that moving on. We need to see a whole range of areas moving on. I hope that, with the work we can do with the Northern Ireland Executive, not least with the introduction of the independent fiscal council, we can see the Executive start to allocate their funding and move on with these projects.
ParlaMint-GB_2020-09-02-commons.u38	I think the Secretary of State may have misheard me: I was talking about the Warrington Peace Centre, which previously enjoyed funding directly from the Home Office. I hope he will consider that and raise it with his colleague the Home Secretary The father of Tim Parry, Colin, has said, on the anniversary of his son’s 40th birthday, that the appointment of Claire Fox to the House of Lords offends him deeply. Given her continued refusal to apologise for defending the Warrington bombing, may I ask whether the Secretary of State was consulted on her peerage? Has he raised any concerns with his colleagues in No. 10?
ParlaMint-GB_2020-09-02-commons.u39	As I think it has already been outlined, Claire Fox will be sitting as a Cross-Bench peer. She has already provided her own answer to that question, and I will let her words deal with the matter. I will certainly talk to the Home Secretary about the issue that the hon. Lady raises about the funding for the Warrington bombing. What we have seen over the past few weeks is that there is still a need and a determination for us to keep a focus on security issues. I also want to take a moment to pay huge credit to the Police Service of Northern Ireland and its partners for the amazing operation that they ran just two weeks ago, arresting some 10 people, which is probably the biggest step forward that we have seen in a generation in ensuring the peace and security of the people in Northern Ireland.
ParlaMint-GB_2020-09-02-commons.u40	We now head to Dorset to the Chair of the Select Committee.
ParlaMint-GB_2020-09-02-commons.u41	My right hon. Friend is right to draw attention to the £150 million that has been set aside in the New Decade, New Approach agreement with regard to legacy resolution issues, but the funding of the pension scheme is of concern to all parties, as it was to the Select Committee. Can he confirm that he will ensure that, through the block grant, moneys that are required on top of the £150 million will be forthcoming so that justice can be done and the money paid in a full and timely way?
ParlaMint-GB_2020-09-02-commons.u42	My hon. Friend the Chair of the Select Committee is absolutely right. This matter is devolved and it is for the Northern Ireland Executive to pay for through the block grant. Those discussions will go ahead in the normal way, but, as I have said, as the money is already there, this is something that the Executive can be moving on with. They can start getting this process going and start getting these payments out to the people who have already waited too long.
