ParlaMint-GB_2020-09-07-commons.u1	What steps his Department is taking to help ensure free speech in universities.
ParlaMint-GB_2020-09-07-commons.u2	We are all shocked and saddened to learn of the incident in which a young person was seriously hurt on their way to school in Suffolk today. Our thoughts are very much with the young person, their family and the whole school community at this difficult time Free speech is a fundamental underpinning of Britain’s liberal democracy, and universities should always do as much as possible to champion it, ensuring that students, staff and visiting speakers are free to explore a range of ideas and challenge perceived wisdom. We are exploring a range of legislative and non-legislative options to ensure that this is the case.
ParlaMint-GB_2020-09-07-commons.u3	If universities are not prepared to enforce free speech, is my right hon. Friend prepared to legislate to ensure they do?
ParlaMint-GB_2020-09-07-commons.u4	Many of us take free speech as an absolute given and expect it to be an absolute given in every part of this country, and if legislation is required, that is what we will do. But it is not just at universities that we sometimes see a challenge to free speech. Conservative Members understand the importance of free speech, whether in universities or a free press, and that is why we will always be the ones who stand up for a free press so that people can enjoy their newspapers every single day.
ParlaMint-GB_2020-09-07-commons.u5	What steps the Government is taking to support universities accepting higher numbers of domestic students as a result of the recent policy change on predicted A-level grades.
ParlaMint-GB_2020-09-07-commons.u6	What steps the Government is taking to support universities accepting higher numbers of domestic students as a result of the change in policy on predicted A-level grades.
ParlaMint-GB_2020-09-07-commons.u7	What steps his Department is taking to help universities increase the number of places available to students in 2020-21.
ParlaMint-GB_2020-09-07-commons.u8	We are working across government and closely with the higher education sector, utilising the higher education taskforce I have created, to ensure that the vast majority of students who want to go to university this year can do so at the university their grades unlock.
ParlaMint-GB_2020-09-07-commons.u9	Universities need financial support to expand physical buildings and facilities and to fund the expansion of wellbeing and support services and other important areas of university life. Will the Secretary of State confirm that this additional support will be granted to ensure that his algorithm does not cost thousands of students their futures, and when will he do this?
ParlaMint-GB_2020-09-07-commons.u10	Last week in fact, we announced a £10 million capital fund to cover capital as well as equipment. This is on top of our announcement for additional funding to support high-cost subjects and the announcements we made in May for the sustainability of the sector and is supported by the package of £280 million from the Department for Business, Energy and Industrial Strategy.
ParlaMint-GB_2020-09-07-commons.u11	In a recent National Union of Students survey, 55% of students reported that the income of their parents or those who provided financial support to them had been negatively impacted by the coronavirus pandemic, and 80% were worried about how they would cope financially, not to mention since part-time jobs will be in short supply. Given that the university hardship funds were not designed for such demand, what extra provision will the Government make to ensure that universities can properly support students facing hardship?
ParlaMint-GB_2020-09-07-commons.u12	If a student is not already accessing the maximum loan and the income of their parents or carers has changed, they should fill in a change of income form with the Student Loans Company. On the hardship funds, we have worked with the Office for Students so that they can show more flexibility, and this will amount to £256 million for the coming academic year.
