ParlaMint-GB_2020-09-21-commons.u1	What steps he is taking to support the domestic manufacture of defence helicopters.
ParlaMint-GB_2020-09-21-commons.u2	The Department is committed to supporting UK helicopters and the defence industry more broadly. Over the next decade, we plan to spend over £180 billion on equipment and equipment support, which currently includes around £10.9 billion on helicopter capability.
ParlaMint-GB_2020-09-21-commons.u3	Many of my constituents in West Dorset work for Leonardo Helicopters in Yeovil, where redundancies have recently been announced. That is of great concern to me, my constituents and those of my hon. Friend the Member for Yeovil (Mr Fysh). What is the Minister doing to support the company?
ParlaMint-GB_2020-09-21-commons.u4	I share my hon. Friend’s concern. I am pleased to reassure him that those redundancies do not relate to any changes of plan on Ministry of Defence work, but rather to a decision taken by the company to ensure that it remains on a financially strong footing. We continue to work actively with Leonardo on its excellent Merlin and Wildcat helicopters, and I am pleased to support its export drives, including earlier this month in person, in Poland.
ParlaMint-GB_2020-09-21-commons.u5	Will the Minister ask the Secretary of State to step up to the plate and match the commitment made by the shadow Secretary of State, my right hon. Friend the Member for Wentworth and Dearne (John Healey), to procure “built in Britain”, hence ensuring that there are no redundancies in West Dorset, and to support the awarding of the £1.5 billion fleet solid support vessels contract to a British consortium, to recruit and retain 2,500 UK jobs, and to do so for the many other shovel-ready defence projects, to support British industry, British workers and the British economy to lead us through this covid recession?
ParlaMint-GB_2020-09-21-commons.u6	We are proud to support many British companies and the entire UK defence sector. Something like £19.2 billion was given to UK companies in 2018-19 to deliver on our defence needs. This has been brought out through our defence and security industrial strategy—DSIS—of which I look forward to sharing more details with the House when it is delivered later this year.
ParlaMint-GB_2020-09-21-commons.u7	What steps his Department is taking to ensure that armed forces capability is adequate to tackle future security threats.
ParlaMint-GB_2020-09-21-commons.u8	What steps his Department is taking to ensure that armed forces capability is adequate to tackle future security threats.
ParlaMint-GB_2020-09-21-commons.u9	The Ministry of Defence is examining its capability requirements through the integrated review, guided by Defence Intelligence’s understanding of the threats we face now and in the future. We are examining the evolving doctrines, structures and capabilities of our adversaries to ensure that we develop the capabilities required to deliver the operations of tomorrow.
ParlaMint-GB_2020-09-21-commons.u10	The defence industry employs tens of thousands of people. Long-term investment in defence will drive economic growth and support highly paid, highly skilled jobs, all of which is in our national interest. Will my right hon. Friend work with the Treasury to ensure that the defence industry is central to plans for our economic recovery and that an ambitious strategy is reflected in the integrated review?
ParlaMint-GB_2020-09-21-commons.u11	I am always happy to work with the Treasury on any number of subjects. Defence’s multibillion-pound investment in the UK powers the skills, innovation and capabilities that keep this country safe, secure and competitive. As a Lancashire MP, Mr Speaker, you will recognise how important the industry is to the skills base in our constituencies. Defence is leading a review of the defence and security industrial strategy to identify steps to ensure a competitive and world-class industrial base that delivers investment, employment and prosperity across the whole United Kingdom of Great Britain and Northern Ireland.
ParlaMint-GB_2020-09-21-commons.u12	Following recent media reports, what more can my right hon. Friend say on the role that Defence Intelligence plays in assessing threats and our ability to counter them? Will he consider meeting me about an issue concerning a former MOD intelligence training site in Beaconsfield?
ParlaMint-GB_2020-09-21-commons.u13	Defence Intelligence uses its 4,500 exceptionally talented staff to collect, analyse and exploit intelligence. By working internationally and with other Departments, it is able to judge today’s threat and tomorrow’s and ensure that that feeds into the future design under the integrated review.
ParlaMint-GB_2020-09-21-commons.u14	May I start by paying tribute to the forces men and women who are working to help the country through the covid crisis? We may soon need to turn to them again, in the face of this renewed pandemic threat. On the integrated review, I recognise that the cycle of defence decisions does not match the cycle of political elections. Britain still benefits from the skills, technologies and capabilities at the heart of Labour’s Drayson review 15 years ago. The Opposition want the Government to get this integrated review right, but when this is the third Conservative review in just 10 years, how will the Defence Secretary avoid making the big mistakes of the last two?
