ParlaMint-GB_2020-10-13-commons.u1	What assessment he has made of the effect of the National Security Law on the people of Hong Kong.
ParlaMint-GB_2020-10-13-commons.u2	What assessment he has made of the effect of the national security law on the people of Hong Kong.
ParlaMint-GB_2020-10-13-commons.u3	We have been clear that the national security law has had a chilling effect on society and that it constitutes a clear and serious breach of the Sino-British joint declaration. It contains a range of measures that directly threaten the freedoms and rights protected by the joint declaration. In response to the national security law, the UK has offered a new immigration path for British nationals, suspended our extradition treaty and extended our arms embargo on mainland China to Hong Kong. We urge the Chinese and Hong Kong authorities to abide by their international human rights obligations.
ParlaMint-GB_2020-10-13-commons.u4	In July, books by pro-democracy figures were removed from public libraries, and just last week Hong Kong’s leader, Carrie Lam, said that it was important to “weed out the bad apples” from the education system in response to a teacher “promoting Hong Kong independence”. Does my hon. Friend agree that the UK reserves the right to take further action to safeguard the rights of those in Hong Kong, especially if the human rights situation continues to deteriorate further?
ParlaMint-GB_2020-10-13-commons.u5	My hon. Friend is absolutely right. We have taken clear action in response to the national security law, including, as I said, offering a new immigration path for British national overseas passport holders, suspending our extradition treaty and extending our arms embargo on mainland China to Hong Kong. We will continue to bring together our international partners to ensure that we stand up for the people of Hong Kong, to call out the violation of their freedoms and to hold China to its international obligations.
ParlaMint-GB_2020-10-13-commons.u6	Does the Minister agree that the national security law in Hong Kong has infringed the rights of many Hongkongers and broken international law by breaching the joint declaration? Will he now either urgently review his Magnitsky sanctions regime or outline how he intends to target those who instigate such appalling human rights abuses against this once proud British Crown colony?
ParlaMint-GB_2020-10-13-commons.u7	I thank my hon. Friend for raising that. As he will know, on 6 July we established our global human rights Magnitsky sanctions regime, and it is under constant review. However, he will be aware that it is not appropriate to speculate on who may be designated under any future sanctions regime, because to do so would reduce the impact of those designations.
ParlaMint-GB_2020-10-13-commons.u8	Successive Conservative Governments since 2010 have been naive and complacent in their dealings with the Chinese Government. The resulting combination of over-dependence on China-based supply chains and the breaking of important international alliances has diminished our ability to exert influence on Beijing. Yet, despite these failings, there is clearly more that the UK could be doing for the people of Hong Kong. Will the Minister specify what the Government plan to do regarding citizenship for Hongkongers born after 1997? What consular support can he provide to the four BNO passport holders who are now detained in mainland China after attempting to flee? Will he commit to sanctioning the senior mainland Chinese Communist party and Hong Kong Executive officials who have been committing human rights abuses? It took the Government just days to sanction Belarusian officials. What, or who, is causing this delay?
ParlaMint-GB_2020-10-13-commons.u9	We are working closely with the Home Office on our response for the BNOs, and there will be much more detail coming out in due course With regard to the cases that the hon. Member raises, we have raised the cases of the people detained in Shenzhen with the Chinese authorities in Hong Kong, and we have made it clear that due process should be followed. The rights and freedoms of people in Hong Kong, including their rights to freedom of speech and assembly, are expressly guaranteed in the joint declaration, and rights committed to under the declaration must be upheld. Under the memoranda to the joint declaration, BNOs are entitled to consular assistance in third countries, but not in Hong Kong, Macau or mainland China. The Chinese authorities do not recognise dual nationality, and absolutely would not grant UK consular access for those individuals. On sanctions, I refer the hon. Member to the answer I gave to my hon. Friend the Member for Romford (Andrew Rosindell).
ParlaMint-GB_2020-10-13-commons.u10	What steps he is taking to assist the authorities in Trinidad and Tobago to repatriate their citizens stranded in the UK as a result of the closure of that country’s borders in response to the covid-19 pandemic.
ParlaMint-GB_2020-10-13-commons.u11	The Trinidad and Tobago Government decided to close their borders on 22 March due to covid-19, and they remain closed. Consular support for Trinidad and Tobago nationals remains the responsibility of their Government. However, Foreign, Commonwealth and Development Office officials are in close contact with the Trinidad and Tobago authorities, and we advise all Trinidad and Tobago nationals to contact their high commission in London for assistance.
ParlaMint-GB_2020-10-13-commons.u12	I have Trinidad and Tobago citizens in my constituency who are burning through their savings and really terrified about failing to get home to protect their homes and businesses from the approaching severe weather. Will the Minister join me in calling on Trinidad and Tobago to ensure that their citizens get home? I think it is common humanity to enable people to return to protect their homes.
ParlaMint-GB_2020-10-13-commons.u13	My hon. Friend raises an important point about people in his constituency. The Foreign, Commonwealth and Development Office has alerted the Trinidad and Tobago high commission to cases of stranded Trinidad and Tobago nationals whom we have been made aware of, and has supported affected individuals to contact the high commission directly. It is also important to say that we are in regular contact with our counterparts in Trinidad and Tobago.
ParlaMint-GB_2020-10-13-commons.u14	What assessment he has made of the effect of the covid-19 pandemic on progress in implementing the Government’s policy on ensuring that girls throughout the world receive 12 years of quality education.
