ParlaMint-GB_2020-11-03-commons.u1	What plans he has to raise the mandatory retirement age for magistrates.
ParlaMint-GB_2020-11-03-commons.u2	The Ministry of Justice has been running a consultation on increasing the retirement age for judges and magistrates. The consultation closed on 16 October. Over 1,000 responses were received and we will respond formally very shortly.
ParlaMint-GB_2020-11-03-commons.u3	My hon. Friend is very aware of my private Member’s Bill to raise the retirement age of magistrates to 75, which has been bumbling along the bottom of the Friday Order Paper for a couple of months now. Bearing in mind that his own consultation on this increasingly urgent matter closed over two weeks ago, is he able to give me and many hundreds of magistrates, who have been forced to give up dispensing justice at a time when we can least afford to lose them, some hope that he will be able to legislate at the earliest opportunity, either through my Bill or through other means, so we can get that on the statute book as soon as we can?
ParlaMint-GB_2020-11-03-commons.u4	My hon. Friend is quite right. We are losing something like 1,000 magistrates a year as they turn 70, often very experienced magistrates who still have a great deal to offer the justice system. The consultation had two options: raising the age to 72 or to 75. I strongly commend my hon. Friend for his patience, persistence and perseverance in trying to get his private Member’s Bill through, often in the face of somewhat unfortunate headwinds, on private Members’ Bill Fridays. This is an urgent issue. As soon as we have formulated a response to the consultation, we will certainly be looking to legislate via whatever vehicle is available as quickly as we possibly can.
ParlaMint-GB_2020-11-03-commons.u5	What discussions he has had with Cabinet colleagues on upholding the rule of law.
ParlaMint-GB_2020-11-03-commons.u6	What discussions he has had with Cabinet colleagues on upholding the rule of law.
ParlaMint-GB_2020-11-03-commons.u7	Naturally, I do not disclose the details of private conversations I have with Cabinet colleagues, but they, and everybody else who cares to listen, should be in no doubt that I am, and will continue to be, a very active Lord Chancellor in supporting the rule of law, using the authority of my office to advise, to warn and to encourage. I am absolutely committed, under the oath I took, to my constitutional duty to uphold the rule of law.
ParlaMint-GB_2020-11-03-commons.u8	The Lord Chancellor said he would resign if he saw the rule of law being broken in a way that he found unacceptable. Ten days ago, more than 800 of some of the most senior legal figures across the UK wrote to the Prime Minister stating that attacks on the legal profession by the Prime Minister and the Home Secretary undermine the rule of law. When he read that letter and saw the signatories, did he think things had got to the stage of being unacceptable?
ParlaMint-GB_2020-11-03-commons.u9	The hon. Lady is eliding two issues. I was talking in early September about the United Kingdom (Internal Market) Bill. Since then, the Government made important concessions in this House to qualify the coming into force of those provisions, and set out examples where, to all intents and purposes, the EU would have acted in clear bad faith. She is eliding the two issues, I hope inadvertently. When it comes to defending the legal profession, I have already publicly stated my steadfast support for the profession that I am honoured to be a part of.
ParlaMint-GB_2020-11-03-commons.u10	Former Supreme Court Justice Lord Dyson described the Government’s toxic rhetoric on the legal profession as “irresponsible”, “dangerous” and “inflammatory,” and “the language of a demagogue.” The former Director of Public Prosecutions, Lord Macdonald, said the Government’s language is indecent and typifies “precisely this sort of ugly authoritarianism that the rule of law is called upon to counter.” What discussions has the Lord Chancellor had with the Prime Minister and the Home Secretary about those very serious allegations from senior lawyers?
ParlaMint-GB_2020-11-03-commons.u11	As I said in response to the previous question, I do not disclose details of discussions I have with Cabinet colleagues. However, I can reassure the hon. Gentleman and everybody else that people should be in no doubt about my steadfast defence not just of the judiciary but of an independent legal profession. We have, of course, seen criticism of lawyers throughout the ages. I respect the views of members of my profession, but we should put things into their full context.
ParlaMint-GB_2020-11-03-commons.u12	I welcome what the Lord Chancellor said about defending the legal profession and I join him in that. It is an honourable profession and I have always found that those I dealt with at the Bar and solicitors generally left their politics behind when they went to argue the case for their client, which they must do without fear or favour. Equally, will he recognise that when he and I were doing an awful lot of legal aid work in practice, the former leader of the Labour party and then Prime Minister was describing legal aid lawyers as fat cats? No one has entirely clean hands on this and perhaps we all ought to moderate our language when dealing with the professions.
ParlaMint-GB_2020-11-03-commons.u13	The Chair of the Justice Committee puts the matter into its fullest context. Sadly, from Shakespeare onwards, and probably before, lawyers have come in for criticism. The question is how far that goes. We live in a lively democracy and none of us is above criticism, but I say to him that in all my years in practice, I did precisely what he did, which was to leave my politics at home whenever I went into chambers or into the courtroom.
ParlaMint-GB_2020-11-03-commons.u14	Our country is a country that prides itself on the rule of law. Without lawyers, the rule of law would collapse. In recent weeks, the Home Secretary and the Prime Minister have launched repeated attacks on lawyers representing asylum seekers. Even after a man launched a knife attack on an immigration solicitor days after the Home Secretary condemned “activist lawyers”, the Government continue to pour petrol on the fire. Does the Lord Chancellor agree with his colleagues’ characterisation of legal professionals as “activist lawyers”, or does he have the courage to publicly condemn that vile rhetoric?
ParlaMint-GB_2020-11-03-commons.u15	The right hon. Gentleman will know that on two occasions in public forums, I have made my defence of lawyers very clear and made it clear that physical and verbal attacks and the other types of threat that we might see are entirely unacceptable. He talks rightly about a very serious case that is ongoing—I do not think it would be right for me to comment directly upon it—but we all know the context within which we operate. I can assure him that I will continue in my resolute defence of lawyers. I will say this: I think there are times when there is a legitimate debate to be had, and I firmly believe that lawyers who are passionate about politics are best advised, if they wish to pursue politics, to do as he and I did, which is to get elected and pursue politics here or in other democratic forums.
ParlaMint-GB_2020-11-03-commons.u16	The Home Secretary’s remit includes responsibility for making sure that all our communities are kept safe and secure. On 7 September, a man wielding a knife entered an immigration lawyers’ office in London and launched a violent, racist attack. In mid-September, counter-terrorist police from SO15 warned the Home Secretary that it was suspected that a far-right extremist had attempted to carry out a terrorist attack at a solicitors’ firm in London, yet in early October at the Tory party conference, she went on to intensify her anti-lawyer rhetoric. I am not asking the Lord Chancellor to disclose the precise details of private conversations, but can he confirm newspaper reports that prior to her speech, he warned the Home Secretary against using this sort of language? If she will not listen to him, will he consider his position?
ParlaMint-GB_2020-11-03-commons.u17	I am grateful to the hon. and learned Lady for the way in which she put her question, but I have to repeat again that it would be invidious of me to repeat private conversations. She knows that I have been publicly on the record twice in the last month making my position very clear and condemning attacks. I think she would agree that we all need to be careful, as lawyers, about a matter that is currently sub judice and within the criminal process. Therefore, I think it is best not to try to draw direct links at this stage without knowing more about the evidence, but I reassure her that I will continue to do everything I can to make sure that the tone of the debate is right and that passions are cooled when it comes to talking about the important role of lawyers.
ParlaMint-GB_2020-11-03-commons.u18	I reiterate that I am not asking the Lord Chancellor for the precise details of conversations or, indeed, to comment on an ongoing case. I am asking him about the general advice that he has given to his colleagues in relation to his duties and responsibilities regarding the rule of law, because, after the Home Secretary’s speech, the Prime Minister went even further in his conference speech, declaring that he would prevent “the whole criminal justice system from being hamstrung by…lefty human rights lawyers and other do-gooders.” I ask the Lord Chancellor again: are newspaper reports that he spoke with the Prime Minister in advance of that speech correct? And did he tell the Prime Minister about the attack on the immigration lawyers’ offices and the warnings from counter-terrorism police to the Home Secretary about the dangers of inflammatory language against lawyers?
