ParlaMint-GB_2020-11-17-commons.u1	What steps his Department is taking to increase covid-19 testing capacity.
ParlaMint-GB_2020-11-17-commons.u2	What steps his Department is taking to increase covid-19 testing capacity.
ParlaMint-GB_2020-11-17-commons.u3	We are processing coronavirus tests on an unprecedented scale and expanding capacity further, having already met our testing capacity target of 500,000 tests a day by the end of October. We now have five Lighthouse labs operating across the UK, with two more announced yesterday, and significant progress on next-generation testing technologies.
ParlaMint-GB_2020-11-17-commons.u4	I congratulate my right hon. Friend on the tremendous progress he has made over recent months on increasing our testing capacity, including the delivery of a new site in my constituency. The recent announcement regarding care homes is welcome. How quickly does he think the trial process can be concluded, so that we can roll out a nationwide scheme to ensure that those in care homes can finally see their loved ones again?
ParlaMint-GB_2020-11-17-commons.u5	We have discussed many times in this House the importance of the use of testing because of the terrible dilemma of wanting to keep people safe in care homes, yet also wanting to allow visiting. Testing can help to resolve that. The pilots are ongoing in some parts of the country, and I very much hope that we can get to a position where we can offer testing to enable visiting across the country before Christmas
ParlaMint-GB_2020-11-17-commons.u6	I welcome the testing pilots that are happening, including in Southampton. How will the Government be able to support local authorities and public health teams with the logistics of mass testing, particularly in large rural areas such as Hampshire?
ParlaMint-GB_2020-11-17-commons.u7	Increasingly, the test itself is only one part of getting a high-quality testing system. The logistics around it are also vital. We are already funding local authorities across the country to support them to roll out mass testing, but we will learn from the pilots, including in Hampshire, to see what extra might be needed.
ParlaMint-GB_2020-11-17-commons.u8	Testing, backed up by tracing and isolation, is key to avoiding further lockdowns. At the Secretary of State’s press conference yesterday, we heard that tier 1 has had “very little effect” and that the tiers must be strengthened. Can he confirm that it is the Government’s intention to impose a tougher set of restrictions on tier 1 areas post this lockdown?
ParlaMint-GB_2020-11-17-commons.u9	It is too early to do the analysis that the hon. Gentleman requests, but of course, we remain vigilant.
ParlaMint-GB_2020-11-17-commons.u10	We will soon be asked to make a decision on the future of the lockdown, so the earlier we get that information, the better Testing for NHS staff is crucial for dealing with the backlog in NHS care. Last week, we learned that 139,000 people are waiting beyond 12 months for treatment. We now know that 252,000 people are waiting beyond 18 weeks for orthopaedic surgery, which is often hip and knee replacements, and 233,000 patients are waiting beyond 18 weeks for eye surgery—many could go blind. People are waiting longer for gynae surgery and heart valve surgery, and many are languishing on trolleys in dangerously overcrowded A&Es. As well as testing NHS staff, Ministers have promised to give the NHS whatever it takes. Can the Secretary of State guarantee that the spending review will deliver the resources, beds and capacity to bring waiting lists down?
ParlaMint-GB_2020-11-17-commons.u11	The good news is that we are managing to continue to drive through the backlog that understandably built up in the first peak. Instead of attacking the NHS, the hon. Gentleman should be backing the NHS and thanking it for the incredible hard work that it is doing right now and will be doing this winter.
ParlaMint-GB_2020-11-17-commons.u12	What steps his Department is taking to increase NHS capacity for winter 2020-21.
ParlaMint-GB_2020-11-17-commons.u13	The Prime Minister has announced £3 billion to support NHS capacity this winter. Among other things, that money funds our Nightingale hospitals, so that surge capacity is available, and the NHS’s ongoing access to additional independent sector capacity. It also supports the safe discharge of patients, helping to reduce pressure on beds. In addition, £450 million of capital funding has been announced to upgrade and expand A&Es across the country, to help prepare the NHS for winter, and that money is already being spent.
ParlaMint-GB_2020-11-17-commons.u14	The £3 million announced to increase winter capacity in Dudley is hugely welcome, but will my hon. Friend also look at Dudley’s bids for capital funding for a hybrid theatre and reconfiguration of critical care? Will he join me on a visit to Russells Hall, so that he can see the transformative effect that those projects would have on care for patients in Dudley South?
ParlaMint-GB_2020-11-17-commons.u15	I am delighted that my hon. Friend’s constituents will benefit from £3 million to increase capacity at Russells Hall Hospital in Dudley as part of the investment to upgrade A&Es ahead of winter. Future NHS capital spending will, of course, be determined at the upcoming spending review, but once our settlement has been confirmed with the Treasury, we will consider carefully how projects are prioritised within it. In the meantime, I encourage the Dudley Group NHS Foundation Trust to discuss its proposals with NHS England and NHS Improvement. I would be happy to meet my hon. Friend to discuss this, because I know how hard he campaigns on this issue, and I would be delighted to take him up on the offer of a visit when I am able to.
ParlaMint-GB_2020-11-17-commons.u16	The NHS will only survive the winter if its workforce are valued and supported. The evidence from the British Medical Association to the Health and Social Care Committee this morning was stark. So does the Minister understand how demoralising it is for staff to hear reports that they may face yet another two-year pay freeze? I asked those on the Government Benches to rule this out last week. I got no answer, so I ask them again today: will they rule out a pay freeze for NHS staff?
ParlaMint-GB_2020-11-17-commons.u17	I am grateful to the hon. Gentleman. He is quite right to highlight the amazing work that our NHS and social care workforce have done throughout this pandemic, as they do every year, and I pay tribute to them for that. As he will know, the NHS agrees with its staff multi-year pay deals set by independent recommendations, and we continue with that process.
ParlaMint-GB_2020-11-17-commons.u18	If he will allocate additional funding to local authorities to support the roll-out of lateral flow covid-19 testing.
ParlaMint-GB_2020-11-17-commons.u19	In addition to giving local directors of public health access to tests, NHS Test and Trace will provide access to training, clinical, operational and service design guidance, and communication and engagement support. In addition, all local authorities have funding available up to £8 per head of population to support the roll-out.
ParlaMint-GB_2020-11-17-commons.u20	I welcome the allocation of lateral flow tests to both Kingston and Richmond in my constituency to allow for mass testing. Can the Secretary of State confirm whether, in addition to the support he has just outlined for the testing, there will be additional resources to support local tracing efforts and to support those who are found to need to isolate?
ParlaMint-GB_2020-11-17-commons.u21	Absolutely, the funding to support people who need to isolate is in addition to the funding I just outlined, which supports both the roll-out of mass testing and local contact tracing, and we always keep these things under review.
ParlaMint-GB_2020-11-17-commons.u22	What steps his Department is taking to ensure adequate supplies of personal protective equipment for (a) health, (b) social care and (c) other frontline services during the covid-19 outbreak.
ParlaMint-GB_2020-11-17-commons.u23	What steps his Department is taking to ensure adequate supplies of personal protective equipment for (a) health, (b) social care and (c) other frontline services during the covid-19 outbreak.
ParlaMint-GB_2020-11-17-commons.u24	We have a four-month stockpile of all covid-critical PPE in place. Thanks must go to the tremendous contribution from UK manufacturers, including Honeywell in Motherwell in Scotland, which now meet 70% of our PPE needs. We have distributed 4.7 billion items, ensuring health and care providers and others have access to the critical protective equipment that they need to help keep everyone safe.
ParlaMint-GB_2020-11-17-commons.u25	According to Treasury figures, the UK Government have spent £15 billion to date on PPE contracts, and the majority to date have been awarded without open tendering, often to those with connections to the governing party or to companies with no PPE experience at all. Does the Minister consider it is acceptable that, instead of that resource being used to protect frontline healthcare staff, so much of it has been squandered on millions of items that are absolutely unusable because they do not meet NHS standards, and how does she propose to restore this Government’s reputation for competence, probity and openness in the tendering process?
ParlaMint-GB_2020-11-17-commons.u26	The global pandemic presented us with unprecedented challenges in securing the volumes of PPE required. We moved swiftly in order to make sure that we kept people safe. We procured goods and services, and worked with extreme urgency in accordance with procurement rules and Cabinet Office guidance. All offers were prioritised based on volume price, clinical acceptability and lead time. I am happy to reiterate: we have four months’ supply.
ParlaMint-GB_2020-11-17-commons.u27	The UK Government removed the zero VAT rating for PPE on 1 November, increasing costs by 20%. Social care and other frontline services are already having to pay higher prices and to buy larger quantities of materials, so why are this Government making it even more expensive to protect key workers during what is the second wave of covid?
ParlaMint-GB_2020-11-17-commons.u28	I would like to thank the hon. Gentleman. In the main, many of our frontline operators are getting it free—social care, general practice, dentistry, optometry and so on. The relief was designed specifically to relieve the burden of VAT on sectors particularly affected by coronavirus while supply did not match demand. Now the Government are able to supply covid-related PPE across all sectors, the burden of VAT will still not fall on frontline providers for all covid-related PPE and demand will be met. Most businesses that make taxable supplies can recover the VAT that they incur on purchases of PPE as business expenses. They will therefore be able to reclaim all VAT after the 31st. But I reiterate: for the majority of frontline healthcare, it is free.
