ParlaMint-GB_2020-12-15-commons.u1	What steps his Department is taking to support the development of hydrogen energy.
ParlaMint-GB_2020-12-15-commons.u2	What steps his Department is taking to support the development of hydrogen energy.
ParlaMint-GB_2020-12-15-commons.u3	Both the Prime Minister’s 10-point plan and our energy White Paper, which we published yesterday, set out our bold ambition for the UK to be a world leader in low-carbon hydrogen. As set out in the White Paper, we are determined to make tangible progress in this important sector, including by investing £240 million through the net zero hydrogen fund and supporting industry to begin a hydrogen heating trial in an entire neighbourhood by 2023. We will publish a comprehensive hydrogen strategy early next year.
ParlaMint-GB_2020-12-15-commons.u4	The development of hydrogen energy can lead to thousands of new jobs UK-wide, including an estimated 6,000 in my region through the HyNet project. Will my right hon. Friend do all he can to help HyNet access industrial decarbonisation challenge funding to allow it to progress?
ParlaMint-GB_2020-12-15-commons.u5	My hon. Friend is absolutely right: this is all about jobs—high value-added jobs. He, along with other colleagues in the House, makes the case at every opportunity for the HyNet project, and it is very lucky to have him as a champion. As he will know, HyNet has already received funding through phase 1 of the industrial decarbonisation challenge, as well as £13 million of support through the Department for Business, Energy and Industrial Strategy energy innovation programme. We will announce the winners of the next phase of the industrial decarbonisation challenge in spring next year.
ParlaMint-GB_2020-12-15-commons.u6	Bacton gas terminal in my constituency harbours a significant percentage of the natural gas intake into the UK. What assessment has my right hon. Friend made of the potential opportunities presented for the manufacture of blue hydrogen at Bacton, creating low-carbon jobs for the east of England?
ParlaMint-GB_2020-12-15-commons.u7	My hon. Friend again raises the issue of jobs. Of course, creating these low-carbon jobs across the country is a priority for the Government. As I have set out, in our 10-point plan and the energy White Paper we have put forward policies for the creation of a significant number of jobs. The Oil and Gas Authority is currently conducting an in-depth feasibility study into blue hydrogen at the Bacton gas terminal. I very much welcome that work, and my officials and, indeed, Ministers would be very happy to engage further with my hon. Friend on this matter.
ParlaMint-GB_2020-12-15-commons.u8	I am pleased to see that the net zero hydrogen fund that the Secretary of State just mentioned will support, among other things, the production of hydrogen. Will he commit today to using that fund to prioritise the production of green hydrogen, as opposed to blue hydrogen, in the future?
ParlaMint-GB_2020-12-15-commons.u9	We will have to look at what bids come in in respect of how that funding is used, but I say again—I made this point yesterday at the Dispatch Box—that it is not just public money; we are also talking about private sector money coming alongside it. The hon. Gentleman will know that Hydrogen Strategy Now, a campaign group of more than 50 companies, has said that it is ready to invest £3 billion in hydrogen projects, and that was after the publication of the 10-point plan.
ParlaMint-GB_2020-12-15-commons.u10	What steps his Department is taking to support employment growth in low-carbon industries.
ParlaMint-GB_2020-12-15-commons.u11	Our 10-point plan for a green industrial revolution, which we set out last month, has an ambition to support 250,000 highly skilled green jobs across the UK by 2030. The plans we published yesterday in the energy White Paper will further position the UK as a global leader in the future energy industry, not least by supporting the development of jobs and green infrastructure in low-carbon energy such as hydrogen, carbon capture, usage and storage, and of course nuclear.
