ID	Title	From	To	House	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Speaker_role	Speaker_type	Speaker_party	Speaker_party_name	Party_status	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-GB_2021-01-11-lords.u1	Minutes of the House of Lords, Daily Session 2021-01-11	2021-01-11	2021-01-11	Upper house	58					COVID	Regular	MP	I	Independent	Opposition	Fowler, Peter	M	-
ParlaMint-GB_2021-01-11-lords.u2	Minutes of the House of Lords, Daily Session 2021-01-11	2021-01-11	2021-01-11	Upper house	58					COVID	Regular	notMP	GP	Green Party	Opposition	Bennett, Natalie	F	-
ParlaMint-GB_2021-01-11-lords.u3	Minutes of the House of Lords, Daily Session 2021-01-11	2021-01-11	2021-01-11	Upper house	58					COVID	Regular	notMP	CON	Conservative	Opposition	Grimstone, Gerald	M	-
ParlaMint-GB_2021-01-11-lords.u4	Minutes of the House of Lords, Daily Session 2021-01-11	2021-01-11	2021-01-11	Upper house	58					COVID	Regular	notMP	GP	Green Party	Opposition	Bennett, Natalie	F	-
ParlaMint-GB_2021-01-11-lords.u5	Minutes of the House of Lords, Daily Session 2021-01-11	2021-01-11	2021-01-11	Upper house	58					COVID	Regular	notMP	CON	Conservative	Opposition	Grimstone, Gerald	M	-
ParlaMint-GB_2021-01-11-lords.u6	Minutes of the House of Lords, Daily Session 2021-01-11	2021-01-11	2021-01-11	Upper house	58					COVID	Regular	MP	CON	Conservative	Opposition	Sinclair, Malcolm	M	-
ParlaMint-GB_2021-01-11-lords.u7	Minutes of the House of Lords, Daily Session 2021-01-11	2021-01-11	2021-01-11	Upper house	58					COVID	Regular	notMP	CON	Conservative	Opposition	Grimstone, Gerald	M	-
ParlaMint-GB_2021-01-11-lords.u8	Minutes of the House of Lords, Daily Session 2021-01-11	2021-01-11	2021-01-11	Upper house	58					COVID	Regular	MP	CB	Crossbench	Opposition	Boycott, Rosel	F	-
ParlaMint-GB_2021-01-11-lords.u9	Minutes of the House of Lords, Daily Session 2021-01-11	2021-01-11	2021-01-11	Upper house	58					COVID	Regular	notMP	CON	Conservative	Opposition	Grimstone, Gerald	M	-
ParlaMint-GB_2021-01-11-lords.u10	Minutes of the House of Lords, Daily Session 2021-01-11	2021-01-11	2021-01-11	Upper house	58					COVID	Regular	MP	LAB	Labour	Opposition	Reid, John	M	-
