ParlaMint-GB_2021-01-19-commons.u1	What steps he is taking to ensure his Department prioritises poverty-focused aid.
ParlaMint-GB_2021-01-19-commons.u2	Happy new year, Mr Speaker. The Foreign, Commonwealth and Development Office has a new strategic framework for official development assistance that focuses on poverty and delivery of sustainable development goals. Specifically, our priorities will be climate, biodiversity, covid, global health, girls’ education, science and research, open societies, conflict, humanitarian assistance directly and trade.
ParlaMint-GB_2021-01-19-commons.u3	I am grateful to the Minister for his response. With international development spending already falling in line with the country’s drop in gross national income, and given the Chancellor’s deplorable plan to slash the UK’s commitment to the world’s poorest still further, it is more important than ever that UK ODA spending directly reaches developing countries and the communities and individuals in those countries who need it most. Could the Minister explain what criteria are being used to ensure that poverty alleviation is prioritised in decisions on spending? How are the Government planning to consult civil society on this?
ParlaMint-GB_2021-01-19-commons.u4	I can reassure the hon. Lady that the UK Government remain one of the most generous donors in relation to ODA, with more than £10 billion focused on poverty reduction. Clearly, we will consult with civil society and non-governmental organisations; Lord Ahmad has recently done that, and we will all continue to do that. In addition, £1.3 billion has been focused specifically on covid, and more than 300 programmes have been repurposed to deal with covid issues.
ParlaMint-GB_2021-01-19-commons.u5	Global poverty has risen for the first time in more than 20 years, and by the end of this year, it is estimated that there will be more than 150 million people in extreme poverty. Against that backdrop, the UK Government recklessly abolished the Department for International Development, they are reneging on their 0.7% of GNI commitment, and they do not even mention eradicating poverty in the seven global challenges that UK aid is to be focused on. Can the Minister explicitly commit to eradicating poverty within the new official development assistance framework, rather than pursuing inhumane and devastating cuts as part of the Prime Minister’s little Britain vanity project?
ParlaMint-GB_2021-01-19-commons.u6	The hon. Gentleman knows that we share a passion for international development. These specific targets do aim to alleviate and eradicate poverty, but the causes of poverty and the solutions to it are complex. That is why the merger of the Departments works, dealing with development and diplomacy alongside one another to overcome the scourge of poverty, which, sadly, has increased not decreased as a result of covid. The joined-up Department will help in the objectives that he and I care so passionately about.
ParlaMint-GB_2021-01-19-commons.u7	What steps he plans to take at the UN Human Rights Council in March 2021 in response to (a) Sri Lanka’s recent withdrawal from its human rights obligations under resolution 30/1 and (b) forced cremations of people who die from covid-19 in Sri Lanka.
ParlaMint-GB_2021-01-19-commons.u8	We are disappointed at Sri Lanka’s withdrawal of support for resolution 30/1; we made that clear in statements at the United Nations Human Rights Council in February, June and September 2020. We are working with international partners and have had discussions with the Sri Lankan Government on how to take this forward at the UNHRC in March. We are committed to the principles of the resolution, and our approach to Sri Lanka will be a priority for the UK at the HRC over the next few months.
ParlaMint-GB_2021-01-19-commons.u9	The UK’s leadership on the issue of human rights in Sri Lanka, in terms of both historical and ongoing human rights abuses, has been critical. We saw, whether through David Miliband as Foreign Secretary or David Cameron as Prime Minister, the importance of leadership at the very highest level. What specifically will the Foreign Secretary and the Prime Minister do as leaders of the core group ahead of that crucial UN Human Rights Council in Geneva in March to ensure that the perpetrators of human rights abuses in Sri Lanka do not go unpunished, and that we can look forward to a future based on truth, justice and reconciliation for all the peoples of Sri Lanka?
ParlaMint-GB_2021-01-19-commons.u10	As I pointed out in my response, we are absolutely committed to the principles of the resolution. My ministerial colleague, Lord Ahmad, discussed human rights and accountability with the Sri Lankan Foreign Minister and the high commissioner in November and December respectively. We have spoken with Sri Lankan officials and with Geneva over the last week on these very issues.
ParlaMint-GB_2021-01-19-commons.u11	We on the Opposition Benches believe that the Government’s foreign policy should be rooted in our country’s commitment to human rights and the rule of law. Therefore, we deeply regret that in February 2020 the Sri Lankan Government withdrew from their Human Rights Council obligations to promote reconciliation and accountability following the country’s devastating civil war. More recently, the Sri Lankan Government have introduced forced cremation for covid-19 victims, a policy that has absolutely no basis in science, rides roughshod over the traditional practices of Sri Lankan religious minorities and has rightly caused hurt and outrage among Muslim and Christian communities across the UK. So I ask the Minister: what steps has he taken to persuade the Sri Lankan Government to end forced cremations, what work is he doing with international partners ahead of the next Human Rights Council session in March to ensure that the Sri Lankan Government re-engages with the peace, reconciliation and accountability process, and what discussions has he had about human rights in the context of UK-Sri Lankan trade deal negotiations?
