ParlaMint-GB_2021-02-01-commons.u1	What steps his Department is taking to make the most effective use of the defence estate.
ParlaMint-GB_2021-02-01-commons.u2	I would like to take the opportunity, on behalf of everyone in Defence, to send Captain Sir Tom Moore our best wishes for his recovery from covid. He continues to be an inspiration to us all, embodying the “Trust, Courage, Team Spirit” motto of the Army Foundation College in Harrogate, for which he is the honorary colonel. From the newest recruit upwards, we all wish him a very speedy recovery We are taking several steps to ensure that we are using the estate in a most effective way. They include updating our infrastructure strategy plans; implementing an asset management system across the estate; and increasing investment in the estate to implement the defence estate optimisation portfolio, reducing our footprint and modernising our infrastructure.
ParlaMint-GB_2021-02-01-commons.u3	My constituents are very proud of the role RAF Linton-on-Ouse has had in the defence of our realm, all the way from the second world war to the current day—or near to it. Will my right hon. Friend update the House on any other potential purposeful military uses he has for the base?
ParlaMint-GB_2021-02-01-commons.u4	At the urging of my hon. Friend—the RAF have been in the process of drawing the base down, as he said—we did look at exploring other military uses for that base, but at the moment no long-term military requirement has been identified. Defence is, I am afraid, therefore completing the final assessment, with disposal details to be announced in due course.
ParlaMint-GB_2021-02-01-commons.u5	May I join the Secretary of State in sending our best wishes to Sir Tom for a speedy recovery? It is a well-known fact that in the 21st century we need to modernise our defence estates to compete, given changing world needs. The Government have announced the closure of 90 sites across the country, so will the Secretary of State update this House as to how his Department aims to ensure that the British taxpayer is not left paying huge rents on a great number of empty properties, as has already happened, when these sites are closed? How many of these defence estate sites will be affected by the Crichel Down rule?
ParlaMint-GB_2021-02-01-commons.u6	The hon. Gentleman makes an important point. The defence estate optimisation programme was and is planned to unlock £1.4 billion, to be reinvested in an overall plan of a £5.1 billion investment in the defence estate across the board, helping soldiers, sailors and air force personnel with better quality accommodation and a better training estate. He is right to point out the challenges relating to historical problems with both private finance initiatives and the Annington home deal at the end of 1997. Some of the PFI schemes introduced under his Government lay a heavy burden on the defence budget. We are both examining and negotiating on a number of those areas to try to reduce the overall burden on the taxpayer.
ParlaMint-GB_2021-02-01-commons.u7	Which overseas armed forces have received military training in the UK since 1 January 2020.
ParlaMint-GB_2021-02-01-commons.u8	In this period, about 2,000 personnel, from more than 100 countries, have received some form of defence training in the United Kingdom.
ParlaMint-GB_2021-02-01-commons.u9	The Biden Administration have halted the sale of arms to Saudi Arabia, with many Democrats citing the killing of civilians, including children, by Saudi forces in Yemen. A freedom of information request by The Guardian revealed that the Government provided training on UK soil for Saudi military. Will the Minister ensure that the Government expose the widely documented crimes committed by Saudi personnel with US counterparts as they undertake this review? Will he take a leaf out of the American book and reassess whether we should be enabling the Saudi regime, given the awful crimes it has committed?
ParlaMint-GB_2021-02-01-commons.u10	The hon. Gentleman will know from the many parliamentary questions that have been asked on this that much of the information relating to licensing is subject to ongoing legal proceedings, but our defence relationship with Saudi Arabia on training includes courses, advice and guidance. This supports the efforts of Saudi Arabia to protect national and regional security, as well as its military’s compliance with international humanitarian law. The UK is not a member of the Saudi-led coalition and we played no role in setting Saudi-led coalition policy.
ParlaMint-GB_2021-02-01-commons.u11	What regional support his Department has provided in tackling the covid-19 outbreak.
ParlaMint-GB_2021-02-01-commons.u12	What regional support his Department has provided in tackling the covid-19 outbreak.
ParlaMint-GB_2021-02-01-commons.u13	What regional support his Department has provided in tackling the covid-19 outbreak.
ParlaMint-GB_2021-02-01-commons.u14	As part of the national covid-19 response, Defence has been active in all regions of the UK, providing support in a variety of ways, including through the distribution of personal protective equipment and diagnostic equipment; the planning, construction and staffing of Nightingale hospitals; conducting school and community testing; and providing military support to NHS trusts and support to the vaccine programme. As of 27 January, there are approximately 14,500 personnel committed or at readiness, and service personnel are deployed in every region of the UK.
ParlaMint-GB_2021-02-01-commons.u15	In the south-east, we are lucky to have more than 300 defence personnel working in a mixture of medical and non-medical roles in our NHS. On Friday, I heard directly from my local trust about how important that has been as a boost to our NHS workforce. Does my hon. Friend agree that we should extend our deepest gratitude to the hard-working men and women who have been working on the frontline of this pandemic?
ParlaMint-GB_2021-02-01-commons.u16	I certainly do. I am delighted that defence personnel have been of such use to the local authorities in the south-east. Personnel from all three services are employed in a range of roles to support frontline NHS services, both providing direct clinical care and undertaking support roles to free up NHS staff. I know from everything that I have heard from nursing directors and clinicians across the country that their contribution has been of enormous benefit and we are very grateful to them all.
ParlaMint-GB_2021-02-01-commons.u17	Having volunteered at a new local vaccine centre in Bishop Auckland, I have seen the looks of joy and relief on people’s faces. I was pleased to hear that the Ministry of Defence is standing up more than 40 vaccine quick reaction forces, ready to help ensure that the vaccine roll-out reaches even the most remote areas of the UK. Could my hon. Friend update the House on how many of these teams have been deployed and to where?
ParlaMint-GB_2021-02-01-commons.u18	With pleasure: 42 vaccine quick reaction force teams comprising 252 defence personnel are deployed across seven NHS England regions to locations determined by NHS priorities. As my hon. Friend says, their primary effort is to ensure that the roll-out of the vaccine is equally paced across the country. Where we can reinforce the efforts of local NHS trusts, that is exactly what these quick reaction teams are there to do.
ParlaMint-GB_2021-02-01-commons.u19	I thank my hon. Friend for his earlier answer and for the three military planners who are currently supporting the Staffordshire local resilience forum with their covid-19 related planning. Will he expand on the diverse roles that the military planners have carried out in the pandemic so far?
ParlaMint-GB_2021-02-01-commons.u20	I have been speaking to our joint military commanders in every region and they have all been clear about the value that these planners and their liaison officers have brought in helping the local authorities to understand what it is that the military could do and in helping us in the MOD to get ahead of that demand so that we can get troops lined up. It is clear that, whatever the lessons learnt about the covid response more generally, one of the biggest lessons for the Ministry of Defence is that those relationships at local level are of huge importance and I hope that we can institutionalise them as we go forward.
ParlaMint-GB_2021-02-01-commons.u21	May I also put on record my best wishes, and those of my party, to Captain Sir Tom Moore and wish him a speedy recovery I have mentioned before that we are extremely grateful for the effort of the armed forces in Scotland, but I must mention the effort that they are making in my constituency at the Castlemilk vaccine centre. It is so good that it even managed to bring the Prime Minister out of Downing Street to my constituency—against all advice, but there we go. What plans does the Minister have to recognise the extraordinary effort and the extraordinary work of those in the armed forces working on the pandemic alongside such brilliant NHS staff up and down the country?
ParlaMint-GB_2021-02-01-commons.u22	I am not sure whether I agree that the Prime Minister of the United Kingdom visiting the United Kingdom armed forces hard at work in all parts of the United Kingdom is in any way an inappropriate activity for him to undertake. The great thing about our nation’s armed forces is that they get on with the job at hand and do not seek any recognition at the time. This is their priority; it is our priority. Of course, we have an eye on how we might recognise their contribution when all this is done.
ParlaMint-GB_2021-02-01-commons.u23	I can tell the Minister that my inbox tells a rather different story. What they want is to be paid properly, to have decent working conditions and employment conditions, and their families to be supported better. But let me ask this. All those NHS and social care workers they are working alongside in Scotland will receive a £500 thank you payment from the Scottish Government. Will he match that for all UK personnel working here and abroad to help fight the pandemic in the upcoming Budget—yes or no?
ParlaMint-GB_2021-02-01-commons.u24	I will, of course, have a look at what that might mean, if, in return, the hon. Gentleman will consider taxing the armed forces less than the Scottish Government currently do.
ParlaMint-GB_2021-02-01-commons.u25	What recent discussions he has had with representatives of military charities on strengthening the armed forces covenant; and if he will make a statement.
ParlaMint-GB_2021-02-01-commons.u26	What recent discussions he has had with representatives of military charities on strengthening the armed forces covenant; and if he will make a statement.
ParlaMint-GB_2021-02-01-commons.u27	This Government are committed to strengthening the armed forces covenant with measures to further incorporate it into law introduced last week in the Armed Forces Bill. Service charities play an integral role for the armed forces community. We have regular dialogue, and they also provide observations on our progress each year in an unadulterated version of the covenant annual report.
