ParlaMint-GB_2021-02-09-commons.u1	What steps his Department is taking to support UK research and development.
ParlaMint-GB_2021-02-09-commons.u2	I call the Secretary of State—and congratulations.
ParlaMint-GB_2021-02-09-commons.u3	Thank you very much, Mr Speaker We announced at the spending review an investment of £14.6 billion in R&D for 2021-22. This will no doubt cement our status as a science superpower here in the UK. We are taking forward the ambitious commitments in the R&D road map, which was published only last year, and we are of course continuing co-operation with the EU through association with the Horizon Europe programme.
ParlaMint-GB_2021-02-09-commons.u4	Apprentices have played a key role throughout this pandemic, including working on the Oxford-AstraZeneca vaccine, which is helping the country overcome this virus. Can my right hon. Friend confirm that, in National Apprenticeship Week, he will be working with and encouraging more R&D-based businesses to provide apprenticeship opportunities so that more young people can gain the skills they need to progress in this field?
ParlaMint-GB_2021-02-09-commons.u5	Absolutely. I thank my hon. Friend for the great work he is doing as co-chair of the all-party parliamentary group on apprenticeships. He will know that apprenticeships are a key part of this Government’s plan for jobs as we build back better from the pandemic, and that is why we are offering employers cash payments of up to £2,000 when they hire a new apprentice, until 31 March this year.
ParlaMint-GB_2021-02-09-commons.u6	We are all grateful to Britain’s world-leading scientists for blazing a trail of hope in this terrible pandemic, but how are Government protecting science’s future? Medical charity research is predicted to fall by over £4 billion after Government refused support. University research has only been offered loans to cover losses from international students, while 90% of UK researchers are excluded from support, even though the virus prevents them from finishing their research. Postgraduate research students from the nine doctoral training programmes have written to demand action, given the escalating scale of the crisis, and there is a massive reduction in funding for early career researchers. Why are Government not protecting the future of the science that is protecting us?
ParlaMint-GB_2021-02-09-commons.u7	The hon. Lady seems to be living in a parallel universe. If we look at the vaccine roll-out—we have seen 12.3 million, or nearly 12.3 million, people vaccinated as of this morning—we can see that the strength of the UK science base is really impressive. It is looked on throughout the world as something to aspire to. We are a world-leading science power—a science superpower. I have already mentioned the £14.6 billion that we have committed to R&D, and this is an area where we are confident and world-beating.
ParlaMint-GB_2021-02-09-commons.u8	What assessment his Department has made of the effect of the closure of post offices operated by CJ Lang & Son Ltd on the post office network in Scotland.
ParlaMint-GB_2021-02-09-commons.u9	Post offices and postmasters have played an absolutely key role in our communities, especially at this particular time, and I am pleased to report that, of the 25 CJ Lang branches due to close—while discussions continue—CJ Lang has agreed to keep 18 open. Post Office Ltd is actively working on alternative arrangements to ensure continuity of services for affected locations.
ParlaMint-GB_2021-02-09-commons.u10	My constituents in Eastriggs, Thornhill, Gretna and the Georgetown area of Dumfries will be pleased to hear that their local post offices are not to close at this time, particularly during a pandemic. Can the Minister reassure me, however, that in the negotiations or discussions that are to take place between the Post Office and CJ Lang—or SPAR, as it is known locally—the Post Office will have the flexibility to look at new models of operation of a post office in such a retailer so that that model can meet the needs of the retailer, the needs of the Post Office and, most importantly, the needs of the post office customer?
ParlaMint-GB_2021-02-09-commons.u11	My right hon. Friend has been a big champion for post offices in his constituency and across Scotland, including the world’s oldest post office in Sanquhar. I am glad to report that, yes, the Post Office does want to be flexible in delivering postal services across the country, including different models, according to demand.
ParlaMint-GB_2021-02-09-commons.u12	What recent discussions he has had with (a) employers and (b) trade unions on the use of dismiss and re-engage tactics in negotiations with employees.
ParlaMint-GB_2021-02-09-commons.u13	Using threats of firing and rehiring as a negotiating tactic is completely unacceptable. That is why this Government have asked ACAS to look into this matter. It is talking to businesses and employee representatives to gather evidence of how fire and rehire has been used in practice.
ParlaMint-GB_2021-02-09-commons.u14	I refer the House to my entry in the Register of Members’ Financial Interests GoNorthWest bus workers, many of them my constituents, are balloting for industrial action against shameful fire and rehire tactics that would see 10% cuts to wages and jobs and sickness protection policies shredded, all in the middle of a pandemic. With British Airways recently forced to back down from similar threats against cargo staff after targeted strikes by Unite the union, does the Minister agree that Government inaction against this exploitative legal loophole has meant that industrial action and trade union organising are working people’s only defence against disreputable employers?
ParlaMint-GB_2021-02-09-commons.u15	This Government have an unprecedented record in looking after employee rights, and we expect all employers to treat employees fairly in a spirit of partnership.
ParlaMint-GB_2021-02-09-commons.u16	What steps his Department is taking to support businesses during the covid-19 outbreak.
ParlaMint-GB_2021-02-09-commons.u17	What discussions he has had with the Chancellor of the Exchequer on increasing support to businesses affected by the covid-19 outbreak.
ParlaMint-GB_2021-02-09-commons.u18	What steps his Department is taking to support businesses during the covid-19 outbreak.
ParlaMint-GB_2021-02-09-commons.u19	What discussions he has had with the Chancellor of the Exchequer on increasing support to businesses affected by the covid-19 outbreak.
ParlaMint-GB_2021-02-09-commons.u20	What steps his Department is taking to support businesses during the covid-19 outbreak.
ParlaMint-GB_2021-02-09-commons.u21	What discussions he has had with the Chancellor of the Exchequer on increasing support to businesses affected by the covid-19 outbreak.
ParlaMint-GB_2021-02-09-commons.u22	It is well known that we spent over £280 billion on an unprecedented package of support for businesses, including the job retention scheme, support grants and Government-backed loans. I speak regularly with my right hon. Friend the Chancellor of the Exchequer on all the support measures available for businesses, including in the next stage when we try to lead and help them through the pandemic and towards recovery.
ParlaMint-GB_2021-02-09-commons.u23	Hundreds of my local hospitality businesses are extremely grateful for the Government support grants they have received. As the success of the vaccine roll-out allows those businesses to start planning reopening, will my right hon. Friend continue to speak with the Chancellor about helping hospitality businesses, including the wedding industry, as they get back on their feet, perhaps by extending help with VAT and business rates?
ParlaMint-GB_2021-02-09-commons.u24	As my hon. Friend knows, we speak all the time not only to my right hon. Friend the Chancellor of the Exchequer but to the sector; indeed, ministerial colleagues spoke to the sector just yesterday and I have dipped in on roundtables as well. We are very concerned about this; we fully recognise the great efforts my hon. Friend is making on behalf of his constituents, but we are in regular contact with our colleagues in the Treasury.
ParlaMint-GB_2021-02-09-commons.u25	Almost 24,000 retail, hospitality and leisure businesses in Scotland are currently supported by 100% rates relief. That support has been extended until the end of July, but the Scottish Government want to go further and Scottish businesses need us to go further. However, due to borrowing constraints placed on Scotland’s Parliament, the funding necessary to extend further can only come from the UK Government, so does the Secretary of State agree that his Government should step up and fund this relief for another year?
ParlaMint-GB_2021-02-09-commons.u26	What I do agree with is the fact that we have extended an unprecedented range of support and measures. I am in regular contact with my right hon. Friend the Chancellor; he has taken a nimble approach, and I look forward to engaging with him on what further support we can supply.
ParlaMint-GB_2021-02-09-commons.u27	The hospitality supply chain has remained open despite a significant loss of earnings to continue supplying the NHS and schools that have to be open. Here in North Devon, Philip Dennis and Savona delivered to people’s homes and operated pop-up click and collect venues when many vulnerable households struggled for supermarkets slots. However, these companies are not eligible for the same support as the hospitality businesses they normally service; will my right hon. Friend ensure that they have the support they need so they are still trading when our hospitality sector reopens?
ParlaMint-GB_2021-02-09-commons.u28	As my hon. Friend knows, in January the Chancellor announced an additional £500 million in grant funding to local authorities for the additional restrictions; this discretionary funding enables local authorities to support businesses, including, as she pointed out, those in supply chains that have been adversely impacted by restrictions but are ineligible for other measures. This funding comes on top of the £1.1 billion allocated in November 2020.
ParlaMint-GB_2021-02-09-commons.u29	If the furlough scheme is not extended beyond April, Scotland, like the rest of the UK, will face mass unemployment, with the consequent damage to businesses, communities, families and the mental health of hundreds of thousands of people. Will the Secretary of State therefore urge the Chancellor to take urgent action to ensure that this is avoided by extending furlough?
ParlaMint-GB_2021-02-09-commons.u30	I am absolutely mindful of the immense pressures our businesses right across the UK are suffering under at the moment. I am in regular contact with my right hon. Friend the Chancellor, who has acted in an unprecedented way; as I have said, he has put £280 billion into the economy to help our struggling businesses. But of course we are looking at the situation as it evolves, and we are very keen to help our economy through this.
ParlaMint-GB_2021-02-09-commons.u31	May I congratulate my right hon. Friend again on his new position and on behalf of the 3,700 businesses across Beaconsfield that have benefited from the £200 million-worth of Government-backed loans since the start of the pandemic? Will he join me in paying tribute to Buckinghamshire Council for its excellent work in ensuring that businesses are supported during the pandemic, and confirm that he will continue to offer all the support he can to protect jobs and keep businesses afloat so that we can look to not only restart our economy but build back better from the pandemic?
ParlaMint-GB_2021-02-09-commons.u32	Throughout this crisis, as I am sure my hon. Friend is aware, the Government have stood by businesses, as she mentioned, and worked tirelessly to protect people’s jobs and livelihoods across the entirety of our country. As we emerge from the pandemic, we will ensure that we seize the initiative, as she put it, to build back better, greener and faster from this pandemic.
ParlaMint-GB_2021-02-09-commons.u33	Does the Secretary of State not accept that, if people who are excluded from support packages are forced to wind up their businesses and move to universal credit or social security, that is more costly to the Government and damaging to the economy in the long run? Surely it is better to bring the excluded in from the cold now than to pay the long-term costs of exclusion in the future.
